Hash,NodeName,PL,TR,Notes
6A5FBB7A492D1D6F0B829B91920F91FB,CinematicNode_Choice_5,Powiedz o spopielonym liściku.,Yanmış küçük pusuladan söz et.,
77E945524956D77E290001A7C76B419E,CinematicNode_Choice_5,Wspomnij jej romans z twoim ojcem.,Babanla ilişkisinden bahset.,
C18E5EDA40E16A10DBC83F9AD1F49DB5,CinematicNode_Choice_5,Nadmień podróżny kufer.,Seyahat sandığından söz et.,
183691474274EB927E05AAA1E8A0A428,CinematicNode_Choice_6,"Przejdź dalej. Zapytaj, kiedy otrzymała liścik.",Sonraki adıma geç. Pusulayı ne zaman aldığını sor.,
640D01484C9C715A3B93679EADA53C03,CinematicNode_Choice_6,Dopytaj najpierw o Ochranę.,Önce Ohrana hakkında sorgula.,Ohrana = Rus gizli polisi
599E0B394F4D2EF48D035CBE814364A6,CinematicNode_Choice_7,"Przejdź dalej. Zapytaj, co to znaczy.",Sonraki adıma geç. Bunun ne anlama geldiğini sor.,
36D441D74029CEA8DCFE2F965C2195C3,CinematicNode_Choice_7,"Dopytaj najpierw o tę ""ludzką"" twarz ojca.",Önce babanın ""insani"" yüzünü sor.,
C62321C4472F49CDA356DEB2EFB96571,CinematicNode_Choice_8,Przejdź do sedna. Szukasz zaginionego grymuaru.,Sadede gel. Kayıp grimuarı arıyorsun.,
E4BC41A24FCB88465D78E08D71216BF7,CinematicNode_Choice_8,Drąż dalej o roli ojca w tym wszystkim.,Babanın bu işteki rolünü kurcalamaya devam et.,
7761894C45B9B4F12D0C2EA8098F9CB3,CinematicNode_Choice_8,Porozmawiaj o sznurze pereł.,İnci dizisi hakkında konuş.,
7484490349126AFDBAC64486ED15B288,CinematicNode_Choice_8,Porozmawiajcie o jej wyrzutach sumienia.,Vicdan azabı hakkında konuşun.,
15CD9C99446C84A1C9D3D7B2AEE25E14,CinematicNode_Choice_9,Przejdź do sedna. Szukasz zaginionego grymuaru.,Sadede gel. Kayıp grimuarı arıyorsun.,
85BCD36D46EFC29A9A38DEA5A987AB3D,CinematicNode_Choice_9,"Zapytaj, czy Ochrana mogła zabić ojca.",Ohrana'nın babanı öldürmüş olabileceğini sor.,
A4C49C9F4B07830BAB3EC5A01D25971D,CinematicNode_Choice_9,"Dowiedz się, co teraz zamierza.",Şimdi ne yapmaya niyetli olduğunu öğren.,
1B08F3AE4FF377A5B02E528E52764F67,CinematicNode_Response_22,Szukałem pani.,Sizi arıyordum.,
967593774814950868D19C85E9A97C02,CinematicNode_Response_22,Pali pan?,Sigara içer misiniz?,
901FFEFF4D190F6DBC518B94D8CEC6C8,CinematicNode_Response_22,Rzuciłem.,Bıraktım.,
3CF3DA594CA99424111D45804E73EA95,CinematicNode_Response_22,W świetle nadchodzącej rozmowy proponuję porzucić konwenanse. Swietłana.,Gelecek sohbetin ışığında biçimciliği bir kenara bırakmayı öneriyorum. Swietłana.,
FDD320114C77A84BA0C847A47F739E9B,CinematicNode_Response_22,Wiktor.,Wiktor.,
AC0F6F9C419DB0D79B3DD3AE7AF6A8B3,CinematicNode_Response_22,Pytaj.,Sor.,
47A6BCE5419990C1C765D18A40C8198F,CinematicNode_Response_23,Spalony liścik - kto go nadał? Wyczułem jedynie interesowną życzliwość.,Yakılmış pusula — kim yolladı? Yalnızca çıkarcı bir iyilik hissettim.,
EEE030DF41057E78537567A9F7CE5E14,CinematicNode_Response_23,"<ru>Da.</> Ochrana. Nie wiem, kto z nich dokładnie, jeśli o to pytasz.",<ru>Da.</> Ohrana. Soruyorsan tam olarak hangisi bilmiyorum.,
4B958A9045CDA836ECB20BB8F62A2176,CinematicNode_Response_23,Zapracowałam sobie na to.,Bunu hak edecek kadar çalıştım.,
F5FCEA39416221B5E156A898AB3CDC55,CinematicNode_Response_24,"Nie wiem jeszcze, czemu ten ""życzliwy"" liścik do ciebie trafił.","Hâlâ o ""iyi niyetli"" pusulanın sana neden ulaştığını bilmiyorum.",
E35DE7DF49B78B60437BB2BEB0E91661,CinematicNode_Response_24,"Ale za to znalazłem piękny sznur pereł, a na nim twoje wyrzuty sumienia.","Ama güzel bir inci dizisi buldum, üzerinde de vicdan azabını.",
C05DC3A44735B6061BDC108714869D04,CinematicNode_Response_24,"Wasza moc jest przerażająca, wiesz?","Sizin gücünüz dehşet verici, biliyor musun?",
9AD7774B4076A31BA2980A944A1E379A,CinematicNode_Response_25,Mieliście romans.,İlişkiniz vardı.,
E01B18634CFD53E1BA426EA01F1BC218,CinematicNode_Response_25,"Dwoje dorosłych, samotnych ludzi znalazło chwilowy komfort w swoich ramionach.","İki yetişkin, yalnız insan birbirinin kollarında anlık bir avuntu buldu.",
356C3A0C4E858BA91DE0BA9FBD02AF92,CinematicNode_Response_25,Ale to nie romans napędzał tę znajomość.,Ama bu tanışıklığı ilerleten ilişki değildi.,
D0A53D6F4DE5BF8602F96180A3632E93,CinematicNode_Response_25,"Tylko to, że oboje patrzyliśmy w tym samym kierunku.",Her ikimizin aynı yöne bakıyor olmamızdı.,
530AE75D4E349A76952B6CA572FA6FB3,CinematicNode_Response_26,"Ten wielki, podróżny kufer. Zmieniałaś zdanie...","O büyük, seyahat sandığı. Fikrini değiştiriyordun...",
6D0807C54E4A7DFF56C75786FAA0EF12,CinematicNode_Response_26,"...czy się pakować, czy nie.","...toparlanmak mı, toparlanmamak mı diye.",
E386977C47A4A565558B86AE6B9E7413,CinematicNode_Response_26,"Chciałam wtedy uciekać, bardzo. Ale to by miało swoje konsekwencje.","Çok kaçmak istiyordum o sırada. Ama sonuçları olurdu.",
FA36C0D940AED4BCCF0232829D259E26,CinematicNode_Response_26,To w grze pozorów jestem najlepsza.,Görünüş oyununda en iyiyim.,
754BE70642EAB7CDE52E71A54392C1C4,CinematicNode_Response_27,Ochrana?,Ohrana?,
DBF07CED4F0111998156A2813CAFE375,CinematicNode_Response_27,"To znaczy <ru>Otdeleniye po okhraneniyu obshchestvennoi bezopasnosti i poryadka</>. Słowem, tajna policja.","Yani <ru>Otdeleniye po okhraneniyu obshchestvennoi bezopasnosti i poryadka</>. Kısacası, gizli polis.",
652649DC4490DB81B74EA3AD1502F399,CinematicNode_Response_27,"Wiedzy. Carskie ucho i oko musi czuwać. Infiltrują nie tylko miasto, ale przede wszystkim dwór.","Bilgi. Çarlığın kulağı ve gözü uyanık olmalı. Sadece şehri değil, her şeyden önce sarayı sızıyorlar.",
8132F29A4A7B38B1498DD58309DD8FD2,CinematicNode_Response_27,"Jestem pewna, że także i moje <fr>soirée</>.",<fr>Soirée</>lerime de sızdıklarından eminim.,
9E7D51974514400449A91A9CD92D6161,CinematicNode_Response_28,Kiedy dostałaś ten liścik?,Bu pusulayı ne zaman aldın?,
5BA15B1C4E7D994F84B31C82AB1C21E7,CinematicNode_Response_28,Kilka tygodni temu. Jeszcze zanim twój ojciec...,Birkaç hafta önce. Daha baban...,
891559B54A0DBFB11E8AB18E394CBAEA,CinematicNode_Response_28,Rozumiem.,Anladım.,
D8A331124C001D09AA6C25AE3C97CAD8,CinematicNode_Response_29,Nie miałem okazji poznać go jako <i>człowieka.</> Tym bardziej skłonnego do takiego... uczucia.,Onu bir <i>insan</> olarak tanıma fırsatım olmadı. Böyle bir duyguya meyilli olanı hele hiç.,
6CEF7FC34A8D81E24ECC28B49A18DDA6,CinematicNode_Response_29,"Masz na myśli miłość, <ru>da</>?","Aşktan söz ediyorsun, <ru>da</>?",
3011266349DC3F6420438EA4F9237387,CinematicNode_Response_29,To była miłość?,Bu aşk mıydı?,
8D6A8BD04D1084FA9BA4EAB58312AF00,CinematicNode_Response_29,Tęsknię za nim. Po prostu.,Onu özlüyorum. Sadece bu.,
F339EAF948B7343E30B095BE83DB3237,CinematicNode_Response_30,"Co masz na myśli przez ""patrzeć w tym samym kierunku""?",""" Aynı yöne bakmak"" derken ne kastediyorsun?",
FC9BEDF5460916A12CE7D69469B536A6,CinematicNode_Response_30,...,...,
C5DD41D5417E600409B1A692B816E750,CinematicNode_Response_31,Te perły podarowała ci caryca Aleksandra. Jesteście blisko.,Bu incileri sana Çariçe Aleksandra hediye etmiş. Yakınsınız.,
1C0890034E39CBE9AEA09DBE3712E3AA,CinematicNode_Response_31,"Jestem jej powierniczką, mogę się nazywać jej przyjaciółką. Widzę, ile ona poświęca dla rodziny i państwa.","Ben onun sırdaşıyım, dostu diyebilirim kendime. Aile ve devlet için ne çok şey feda ettiğini görüyorum.",
C0DA5F63417654EF23EB3BA955C8ECCA,CinematicNode_Response_31,Jednak coś się zmieniło.,Yine de bir şeyler değişti.,
