"Key","Value"
"ChainsDescription","Umiejętność stanowi część <tag>Sekwencji</> - ciągu ataków, które, wykonywane jeden po drugim, zadadzą wrogom dotkliwsze rany. Elementy <tag>Sekwencji</> możesz wykupić na drzewku rozwoju."
"ChangeActiveUnit","Możesz przeglądać umiejętności zarówno swoje, jak i salutora. Pozwoli ci to zaplanować każdy atak."
"ChangingPosition","Oddaleni wrogowie potrzebują jednej rundy, aby się do ciebie zbliżyć. Spróbuj ich osłabić, zanim zaatakują."
"ChooseFocusAttack","Wybierz umiejętność <tag>Rozproszenie,</> aby obniżyć [FOCUS] wroga."
"ChoosingAbility","Zaplanuj atak. Wybierz ikonę <tag>Umiejętności</> nad przeciwnikiem."
"Conclusions","Zebranie kompletu Spostrzeżeń pozwala wyciągnąć <tag>Wniosek,</> który stanowi nieocenione źródło wiedzy. Te informacje pozwolą też czasem na <tag>Manipulowanie</> ludźmi przy użyciu mocy."
"DeclaringFastAction","Umiejętność <tag>szybka.</> Użyjesz jej już w najbliższej rundzie."
"DeclaringMediumAction","Umiejętność <tag>wolna.</> Użyjesz jej dopiero w następnej rundzie. "
"DeclaringSalutorAction","<tag>Ty i salutor</> dysponujecie własnymi, odrębnymi zestawami umiejętności. Zaplanuj, której z nich użyć i wydaj salutorowi odpowiedni rozkaz."
"FourDimensions","Thaumaturgowie operują czterema Wymiarami: <tag>Sercem, Czynem, Umysłem i Słowem.</> Stanowią one podstawę thaumaturgii, wprowadzają klasyfikację salutorów, mają zastosowanie w walce oraz w <tag>Manipulacji i Percepcji</>. Rozwijaj je więc rozważnie. To od nich zależy twoja potęga."
"Imprint","Na niektórych przedmiotach zostaje <tag>Ślad</> osobowości osoby. Przyjmuje formy:<br><tag>Nieznany</> - widzisz go po raz pierwszy.<br><tag>Znajomy</> - widzisz go znowu, ale nie masz pewności, do kogo należy.<br><tag>Pewny</> - dokładnie wiesz, kto go zostawił.<br><br><tag>Ślady</> ujawnią się tylko wtedy, gdy zdasz test <tag>Percepcji</> na przedmiocie."
"InbornStates1","Wrogowie mogą posiadać <tag>Cechę,</> która uodparnia ich na twoje ataki. <tag>Cechy</> są przypisane do poszczególnych <tag>Wymiarów</> i mogą zostać <tag>Uśpione</>."
"InbornStates2","Aby <tag>Uśpić Cechę</> wroga, zaatakuj go salutorem, który pochodzi z tego samego <tag>Wymiaru,</> co ta <tag>Cecha</>. Uwaga, jeżeli nie posiadasz wymaganej siły wymiaru, możesz odebrać przeciwnikowi całe [FOCUS] i wyprowadzić <tag>Silny atak.</>"
"Insights","<tag>Spostrzeżenia</> są informacjami, które zdobywasz wchodząc w interakcje z ludźmi i przedmiotami. <tag>Spostrzeżenia</> składają się we <tag>Wnioski,</> źródła cennej wiedzy o świecie i wydarzeniach, które pomogą ci w różnych sytuacjach."
"Insights2","Thaumaturgowie władają <tag>Percepcją</>, która pozwala im odczytywać pozostawione na przedmiotach emocje, czyny, słowa i myśli innych ludzi. Żeby je poznać, musisz wystarczająco rozwinąć <tag>Wymiary: Serca, Czynu, Słowa lub Umysłu</>."
"Manipulation","Dzięki thaumaturgii możesz <tag>Manipulować</> innymi ludźmi. Musisz najpierw poznać sekrety danej osoby, w czym pomogą ci zebrane <tag>Wnioski</>. Jeżeli <tag>Manipulacja</> będzie dostępna, zmieni się ikona interakcji z postacią, a obok postaci pojawi się <tag>Upyr</>."
"ManipulationsDialogues","Salutory dadzą ci znać, jeżeli <tag>Manipulacja</> stanie się dostępna."
"ManipulationSmall","<tag>Zmanipuluj</> woźnicę."
"MovementSmall","Możesz swobodnie poruszać się po wszystkich lokacjach."
"PerceptionGeneral","Jako thaumaturg dysponujesz nadzwyczajną <tag>Percepcją</>. Dostrzegasz to, co niewidoczne dla ludzkiego oka, przewidujesz działania wrogów, śledzisz ślady emocji, myśli, czynów i słów oraz łatwiej odnajdujesz drogę do celu."
"PerceptionTrackingSmall","Użyj <tag>Percepcji</>, aby śledzić drogę do celu."
"PositionDescription","Twoi wrogowie mogą trzymać się na dystans i atakować przy użyciu broni palnej. Możesz im odpowiedzieć tym samym lub nakazać atak salutorowi."
