"Hash","NodeName","PL"
"87E670F64CB389029E42BFAE03AB1460","CinematicNode_Choice_3","Zapytaj, w jakiej sprawie telefonuje."
"892A85584D24470F918E77B61DB06409","CinematicNode_Choice_3","Opowiedz, co robiłeś do tego czasu."
"4DC1A827473906DFFCCF1FA97D244A1E","CinematicNode_Choice_3","Zapytaj, co u niego."
"29FBD1734A383B6EB3E905AB3449DD0D","CinematicNode_Choice_3","1"
"6677B7CB46287229B38340B86CB31BBF","CinematicNode_Choice_3","2"
"F7FFC6724315240A602714B382FC1687","CinematicNode_Choice_3","3"
"587E5832489F8020C1736F8E3F063930","CinematicNode_Choice_4","Potwierdź, że to ty."
"D4741B32499D740341E143AF0FD78BDE","CinematicNode_Choice_4","Powiedz, że to pomyłka."
"7EB6B05144E93569D9E9A4A308CF6746","CinematicNode_Choice_4","1"
"331CB29C492944F5489E03AAFD17356C","CinematicNode_Choice_4","2"
"360FD7694375690848CAA79755CF8337","CinematicNode_Choice_5","Powiedz, że się postarasz."
"83CBE13C461CDC1114FF909AAD24CE71","CinematicNode_Choice_5","Powiedz, że może ci powiedzieć przez telefon."
"F338A2ED4763FD5CACC8C888E1D3664D","CinematicNode_Choice_5","1"
"7F9E93244D675FA264A1A28016FC7F27","CinematicNode_Choice_5","2"
"BB2EA43E417BE8793494DD808429F7EB","CinematicNode_Response_14","Słucham?"
"4B944D674F489A4148221FA6FCBD35F8","CinematicNode_Response_14","Halo? Halo! Wiktor?"
"76BD8067404CB5ADD0D846A0BD02B167","CinematicNode_Response_15","Zgoda. To gdzie się zobaczymy?"
"C96A3A734760125D6430508EB6C0D96D","CinematicNode_Response_15","Pamiętasz, gdzie was dzieciaki zabierałem na pączki?"
"B28128B949D4286D170A92BC70D3CDEB","CinematicNode_Response_15","Pamiętam."
"DE44F5AB4D8D4EEECCD1CA986CA98D6F","CinematicNode_Response_15","No, to tam. Może powspominamy stare czasy. Lepsze czasy. Do zobaczenia Wiktor. Dziękuję."
"0A5C9E3F4309D7C3D96188959E48A3C9","CinematicNode_Response_16","Wiktor, tu wujek Sasza."
"5955B12E48F6763DFA943FB475D90D54","CinematicNode_Response_16","Co u ciebie, rozeznałeś się już po starych kątach?"
"1C4847B5458A49174B2E93864BB2FC8E","CinematicNode_Response_17","Przy telefonie."
"9E7C224144FEC7F6DC64949156437A1F","CinematicNode_Response_18","Pomyłka."
"0674CC1D4FD83CBDA86A4AB5F7A1563F","CinematicNode_Response_18","Psia mać, znowu mnie źle przełączyło!"
"5C5CE2F7409F5E7E5E55268C192A725D","CinematicNode_Response_19","Tak?"
"317CAB61455E0CE62D50EB8E9F3C9851","CinematicNode_Response_19","O, teraz!"
"D4620CFB4E2B7B28E2ECD79BBB1C1FE4","CinematicNode_Response_20","Tak, u mnie wszystko w porządku, dziękuję. A co u ciebie, wujku?"
"F431384F4D379EF5AFFD87BA86033AA7","CinematicNode_Response_21","Nie uwierzysz, wujku. Spotkałem Abaurycego."
"D7C9AC4C444C36E1EC12C280A3F61E1B","CinematicNode_Response_21","Niedzica? Wiktor, ten chłopak to kłopoty. Pamiętaj..."
"A580CC8547FAD7D99DC3669E48F03324","CinematicNode_Response_21","Będę pamiętał. Sądzę jednak, że nawet udało nam się znaleźć wspólny język."
"67A6ECCE4968ECC8C43C6FACC1D8684B","CinematicNode_Response_22","Niektóre rzeczy, jak wygodne łóżko, odkrywam na nowo. Miasto bardzo się zmieniło. Jak my wszyscy."
"8ADE47BC4A918EB60BFD97A04295C33E","CinematicNode_Response_22","Najważniejsze jest chyba teraz dla mnie odzyskanie grymuaru ojca."
"5DE768C4466E3101F6B9EBB7BD90DC2E","CinematicNode_Response_22","Twojego grymuaru. Trzymam kciuki, chłopcze."
"EC6FD043416BAEBF275C6B9DC4F5D555","CinematicNode_Response_23","Dzwonisz w jakiejś konkretnej sprawie?"
"38D6C65947A00900AEC40BBD48EAE306","CinematicNode_Response_24","Chciałem... Potrzebuję. Potrzebuję twojej pomocy, chłopcze. To bardzo delikatna sprawa."
"35176F754FAE2F55DF2953B0EAC1B55E","CinematicNode_Response_24","Może znajdziesz chwilę dla wujka?"
"07FFA14E40D1898E75B22EBDFE7E05AC","CinematicNode_Response_25","Może teraz jest dobry moment, żeby mi to wyjaśnić? Skoro dzwonisz."
"2370C25140187D13F8765C93BC3DD66E","CinematicNode_Response_25","To nie na telefon."
"D910DAFE4AFF1D49FD80A88E2F4697C9","CinematicNode_Response_26","Przed chwilą mnie połączyli z jakimś gamoniem."
"350D282C4D3F2FA2F21C21B9F6C5D697","CinematicNode_Response_27","Co chwila przełączają te linie, nie wiadomo, kto tego słucha."
