"Hash","NodeName","PL","TR","Notes"
"3649093449C760DF3127779E4759AF10","lw_smc03_01a_forgery_chats","O, maszyna Hammonda. Dobra marka.","Oo, Hammond marka daktilo. İyi marka.","Hammond — dönem daktilo markası"
"0E81D96045E8E67FBDA0DCAD79321C41","lw_smc03_01a_forgery_chats","Wygląda na wysłużoną. No tak, wujek ma raczej ciężką rękę.","Yıpranmış görünüyor. Evet tabii, amcanın eli ağırcadır.",""
"FE93A55B4E3ACD423D9DE2B2DF16B858","lw_smc03_01a_forgery_chats","No i gotowe.","İşte, tamam.",""
"83DF21A740D712CB9156E8BB5BAE5383","lw_smc03_01a_forgery_chats","Grzech nie skorzystać.","Fırsatı değerlendirmemek günah olur.",""
"733A6804491161EE856262B2155F8D75","lw_smc03_01a_forgery_chats","Wszystko tam w porządku, panie...?","Her şey yolunda mı, beyefendi…?","hizmetçi"
"B41186044A90BD5E733FB88283636CEE","lw_smc03_01a_forgery_chats","Sędziego Woronina nie ma.","Yargıç Woronin yok.",""
"CB314F404754EEA315BF2880FAAB0E66","lw_smc03_01a_forgery_chats","Wiem. Jestem jego siostrzeńcem, poczekam tu.","Biliyorum. Ben yeğeniyim, burada beklerim.","kimlik yalanı"
"5F482BBF429738F46009909F62B213D9","lw_smc03_01a_forgery_chats","Jak pan sobie życzy.","Siz nasıl isterseniz.",""
"BECDA9C1443DD52755812D8802F518C4","lw_smc03_01a_forgery_chats","Tak, w porządku.","Evet, yolunda.",""
"032C8747486FAB3396D785A540D54229","lw_smc03_01a_forgery_chats","Może się pan czegoś napije?","Bir şeyler içmek ister misiniz?",""
"5341169D41AA8DED004E2DA3D1AED954","lw_smc03_01a_forgery_chats","Nie trzeba. Ja dosłownie na moment.","Gerek yok. Bir anlığına uğradım sadece.",""
