"Hash","NodeName","PL","TR","Notes"
"7FB4D92C4D62B7C03A02EE872EB715A9","CinematicNode_Choice_0","Eskaluj konflikt.","Çatışmayı tırmandır.",""
"D28C516E4E4BD158F9AA31B856F86140","CinematicNode_Choice_0","Spróbuj uspokoić alfonsa.","Pezevengi yatıştırmaya çalış.",""
"12EBE75F4C8191039A3432AF31E7DBE7","CinematicNode_Choice_0","Zapłać mu.","Ona para öde.",""
"7EF3670F4AE781E3CD91639E8FCD818B","CinematicNode_Choice_0","1","1",""
"5E43BBDE4F600EE57D24B8B720343214","CinematicNode_Choice_0","2","2",""
"3ACD9D0C41278AF8464C6E8026363E40","CinematicNode_Choice_0","3","3",""
"F7EFAB8747108CEC65304F91E30CEFC8","CinematicNode_Choice_1","Powołaj się na Piotrka.","Piotrek'in adını öne sür.",""
"EEFC734D4E44DC30C59F9992DFAA8BCA","CinematicNode_Choice_1","Porozmawiajcie o pogodzie.","Hava hakkında konuşun.",""
"85B91E47488C683475900D82872C52A1","CinematicNode_Choice_1","Odejdź.","Çek git.",""
"6696A17F4C5E222F9915999207EA99AE","CinematicNode_Choice_1","1","1",""
"4B69F3A74F23A4E21527F3806544E001","CinematicNode_Choice_1","2","2",""
"5F329BC04840E586867B93B616D7A943","CinematicNode_Choice_1","3","3",""
"B89744224CEC2689C4FAA2A749CC51A5","CinematicNode_Choice_2","Wypytaj o Rybaka.","Balıkçı'yı sorgula.",""
"27A9EE4048B203FCFB5DB0AC749AEC27","CinematicNode_Choice_2","Wypytaj o ofiarę.","Kurbanı sorgula.",""
"2C5ACC2C41078A559AF3A9A16956CAA8","CinematicNode_Choice_2","Odejdź.","Çek git.",""
"8E881D1442C1A77E8B3D63B3C27CC525","CinematicNode_Choice_2","1","1",""
"D8A1611E4667B373E466A1AA43090B8F","CinematicNode_Choice_2","2","2",""
"84BF6D8D4F4F666339E70EB7780DE277","CinematicNode_Choice_2","3","3",""
"9DEB7A334A9E400761BAE58EA3901D6C","CinematicNode_Response_0","Wiem, że nie ma. Dlatego proszę. Zapłacę za rozmowę.","Bedavanın olmadığını biliyorum. O yüzden rica ediyorum. Konuşma için ödeyeceğim.",""
"F4085C134C119ED68A2E4CA64851C9F4","CinematicNode_Response_0","E... no. Dobra.","Eee… tamam.",""
"9E7E5FAE4AAB133C910EECAF9E42B009","CinematicNode_Response_0","Dorzucę oczywiście bonus za całe nieporozumienie.","Tüm bu yanlış anlaşılma için elbette üste de koyacağım.",""
"29977F304E4F8153075A469AB5AE3F3C","CinematicNode_Response_0","Bardzo dobrze. No to, ten... miłej nocy. A ty wracaj do pracy.","Çok güzel. O zaman, şey… iyi geceler. Sen de işine dön.",""
"7D2C18BC4120252A5120308495D491A3","CinematicNode_Response_1","Pozwolę pani pracować. Do widzenia.","İşinizin başına dönün. Hoşça kalın.",""
"2A988C40466E464EB6FB3184C6B2F79C","CinematicNode_Response_10","Czego jeszcze chcesz? Namyśliłeś się?","Daha ne istiyorsun? Karar verdin mi?",""
"819D32A946D9326DE39119953BF1EAD4","CinematicNode_Response_11","Rybak. Słyszałaś coś na jego temat?","Balıkçı. Onun hakkında bir şey duydun mu?",""
"4A6BD2B1426901AAE28DA886AF38957B","CinematicNode_Response_11","Tyle tylko, co wszyscy gadają. Ale jak szuka informacji, to se gazetę kupi! Dwie kopiejki.","Sadece herkesin söylediği kadarını. Ama bilgi arıyorsa kendine bir gazete alsın! İki kapik.",""
"67E342ED4C9092AD0A99438D01C977B1","CinematicNode_Response_12","Tadeusz Pielecha. Wiesz coś na jego temat?","Tadeusz Pielecha. Onun hakkında bir şey biliyor musun?",""
"3B46DDA74CDB02765274729859E3FE5A","CinematicNode_Response_12","Straszny ponurak. Nigdy nie dawał się rozweselić. Jego żonie musi być teraz bardzo ciężko.","Korkunç bir asık suratlıydı. Hiç eğlendirilemiyordu. Karısına şu an çok ağır geliyor olmalı.",""
"83AC9B424922C473BD0B0FA0EC6FDEF7","CinematicNode_Response_12","Wiem, gdzie to jest.","Nerede olduğunu biliyorum.",""
"731F9FF9408AE5A138B5D792A5A4ACBC","CinematicNode_Response_12","Jeszcze coś?","Başka bir şey?",""
"2BEA10FC48819BBB4860E79A47206A6D","CinematicNode_Response_14","Dziękuję, że byłaś skora porozmawiać. Do widzenia.","Konuşmaya istekli olduğun için sağ ol. Hoşça kal.",""
"C6DC4E884CB2757B5A689C944A3443D4","CinematicNode_Response_14","Pozdrów Piotrusia!","Piotruś'a selam söyle!",""
"5309519B4D11611A49D04EBFEB2D5203","CinematicNode_Response_15","Kolega Piotrusia. Pytaj, tylko dyskretnie.","Piotruś'un yoldaşı. Sor, ama ihtiyatlı.",""
"025F503349E8334E0A8A7AA82417D2AF","CinematicNode_Response_2","W życiu jeszcze nie musiałem płacić za rozmowę z piękną kobietą. I dziś się to nie zmieni.","Hayatımda hiçbir zaman güzel bir kadınla konuşmak için para ödemek zorunda kalmadım. Bugün de değişmeyecek.",""
"2115FC854877713910E4D181DA3BB424","CinematicNode_Response_2","Gadane masz, co?","Çenen düşük, değil mi?",""
"C4A44FA24F320361B2ECD0988964E297","CinematicNode_Response_3","Ja tylko zadałem pani kilka pytań. Już odchodzę.","Yalnızca birkaç soru sordum. Gidiyorum zaten.",""
"897FE949403A89515EEA94A98E8A3C5A","CinematicNode_Response_3","Po moim trupie.","Cesedimi çiğnemeden olmaz.",""
"AD66560C45480A53C25FBE8578F20A0F","CinematicNode_Response_4","Ja od Piotrka Józty, miły z niego dzieciak.","Beni Piotrek Józta yolladı, sevimli bir çocuk.",""
"A41F7D2248CFA37979346E9C7077BD35","CinematicNode_Response_4","Piotruś przysłał? A, no to trzeba było tak od razu! To rabacik dam.","Piotruś mu yolladı? O zaman hemen söyleseydin! Bir indirim yaparım.",""
