"Hash","NodeName","PL"
"BC5114B346990FDA01CC61A531073F39","CinematicNode_Choice_0","Powiedz, że otrzymałeś jej wiadomość."
"8DDA5AD5450892F173B3BD88E36831CB","CinematicNode_Choice_0","Opowiedz o incydencie z Czesławem."
"5583DBB84E5A74A3A2E21890712BF685","CinematicNode_Choice_0","Powiedz, że ty zawiadomisz Dicksteina."
"7B32FF98456D27C9D4D232AC5EA28327","CinematicNode_Choice_0","Powiedz, że byłeś u Dicksteina."
"E709869C409C348014428F91D270D7D8","CinematicNode_Choice_0","1"
"98847D9E408F0B00EA806A81C6E39EA6","CinematicNode_Choice_0","2"
"39F5F5CE4F77D770BD2E469F9199E6C2","CinematicNode_Choice_0","3"
"2DCE4ABB4AC39D203F4DCB9FA3983C10","CinematicNode_Choice_0","4"
"0DEB0B1B419FF201FDB55D9618846614","CinematicNode_Choice_2","Przejdź do rzeczy."
"EFE4C99142DED907E573D593C43D86BF","CinematicNode_Choice_2","Pochwal ją."
"D54CA90F4F31C7373C1D769D324D04CC","CinematicNode_Choice_2","1"
"A186E72D4B9760E6DBF0248F2487875F","CinematicNode_Choice_2","2"
"2B87E2054F3534BDE4DDDCB66EFEF52B","CinematicNode_Response_0","Żołnierze dzisiaj po mnie przyszli. Udało mi się uciec i przybiegłam od razu tutaj. Zaczęły się aresztowania, jestem pewna, że chcą zamknąć Uniwersytet Latający."
"ABFA7D8C4D49C4A2B8588680AF8096B5","CinematicNode_Response_0","Muszę ostrzec, kogo tylko zdołam. Dicksteina przede wszystkim."
"170C775149D699C23BB62BA7D520495C","CinematicNode_Response_0","Musimy zorganizować zebranie w antykwariacie."
"130E1FFA44AEC4251666149C1A3765A4","CinematicNode_Response_1","Panie Wiktorze jak dobrze, że pan jest!"
"60169A004248EA1DE4BBDEBAEDB23492","CinematicNode_Response_1","Wszystko w porządku?"
"EC9D86A643229710A42F9ABF4DF32162","CinematicNode_Response_10","Zawiadomimy, kogo zdołamy."
"5C38A427486BED7A76DECFBF097218B0","CinematicNode_Response_10","I spotkamy się w antykwariacie za Placem Zielonym. To umówione miejsce na takie wypadki."
"C2B51ACA43585121794437A977D9E7BD","CinematicNode_Response_11","To była świetna robota. Zwłaszcza jak na kogoś, kto nie ma thaumaturgicznych mocy. Brawo."
"A19FEA6049B58A78770F66B27A669F65","CinematicNode_Response_11","Jestem pilną studentką, to wszystko."
"33E20FC3430C55165FE4A480F282EE85","CinematicNode_Response_12","Pewnie gra w tym swoim <i>klubie brydżowym</>, to drzwi obok wejścia do mieszkania Dicksteina."
"911851C149CC9D1F3C1607AFF78E241C","CinematicNode_Response_12","Dobrze, pójdę po nią."
"624CED3A43B47CEE0377B9B3A2C733B0","CinematicNode_Response_13","Rozmawiałem już z nią. Będzie w antykwariacie."
"22A1156E45AA550BB81A2B946D72E7A3","CinematicNode_Response_14","A pan przewodniczący?"
"0A9C15444CB057EA907E598FE437D4B0","CinematicNode_Response_15","Z kim?"
"C0AC7AE049B8A554518590B27E29D6E1","CinematicNode_Response_15","Rosjanka, która z nami tu uczęszcza. Niezbyt popularna."
"25FA8AD64D148E1B39B9D4819C2DA383","CinematicNode_Response_2","Przewodniczącego nie będzie. Jest już w drodze do Wiednia."
"7FBDE3D9407B22DD2A4B158277E50707","CinematicNode_Response_2","Nie potrafię mieć mu tego za złe. Wiem, że czeka tam na niego jego rodzina."
"2B8178B746C91D296E08C4B99E53ECDB","CinematicNode_Response_2","A ja tego nie rozumiem, ale nie czas teraz na to. Co z Poliną?"
"8A8B325E424ABE3E3A36F08AAEA285F6","CinematicNode_Response_3","Nie traćmy czasu. Ja pobiegnę najpierw do Lukrecji. We dwie zawiadomimy resztę."
"10CBC1034F5ECC104BA484A4855B828A","CinematicNode_Response_3","Liczymy na pana, panie Wiktorze."
"B8B4826E4BA68F7165E0CE8B53DDA869","CinematicNode_Response_4","Miałam już wychodzić. Trzeba zawiadomić resztę! Jest pan pewny, że nikt pana nie śledził?"
"F6C2856F4E2D05BE23B002BBC136A6A9","CinematicNode_Response_4","Spokojnie. Powiedz Wiktorowi to, co mnie."
"01B79400499E36D14B198DA779C65157","CinematicNode_Response_5","Wiem, wiem wszystko. Dostałem twoją wiadomość."
"47E762CF4B59B2883B3E928EE96C3467","CinematicNode_Response_5","Naprawdę? O Boże, ja nie wierzyłam, że to się uda."
"984885064AE399B552C01A8E2ADF1686","CinematicNode_Response_6","O wszystkim już wiem od Ochrany. Czesław okazał się ich <i>kapusiem</>. "
"AB3B4F3D4E6B8D0B18D953A2E68C3968","CinematicNode_Response_6","Ale aresztowania trwają, musimy coś zrobić."
"CEBCDC874B4AB8A62CBCD7AD82781067","CinematicNode_Response_7","Ja zawiadomię Dicksteina."
"719FDE60444539A5A0B7DE941993B3B4","CinematicNode_Response_8","Dickstein wszystko wie. Już z nim rozmawiałem."
"349B7EA744BA8B9D8370E09675449D06","CinematicNode_Response_9","Doskonale. A Polina?"
