"Hash","NodeName","PL","TR","Notes"
"774188434AECB916F297C18F0BA4F31C","CinematicNode_Choice_0","Wybierz najpierw złą.","Önce kötüyü seç.",""
"A3AF7C1D48044ACC111BFB9912FF1E04","CinematicNode_Choice_0","Wybierz tą drugą.","Diğerini seç.",""
"06FDE825439A7A4C51BD048D30ADB003","CinematicNode_Choice_0","1","1",""
"F7CB02C64D61B6F0F019B8A04747DFEB","CinematicNode_Choice_0","2","2",""
"84C477B846717CF0525EBEA783E1F6DC","CinematicNode_Choice_1","Wyznaj, że WTA nie będzie już problemem.","WTA'nın artık sorun olmayacağını söyle.",""
"470A4D3240E0B19F5337FB8B2F7C98B5","CinematicNode_Choice_1","Zapytaj, co to jest WTA.","WTA'nın ne olduğunu sor.",""
"525AA8C14E58156FA7026B9B2D38FBC7","CinematicNode_Choice_1","Zeznaj, co ustaliłeś na temat wstających zwłok.","Dirilen cesetler hakkında öğrendiklerini anlat.",""
"EF3254AD42047C4EDE7E34AF050D0BA8","CinematicNode_Choice_1","Powiedz, że na cmentarzu grasują złodzieje zwłok.","Mezarlıkta ceset hırsızlarının dolaştığını söyle.",""
"78A54B7D4CD665FA437A81B71F82C3F6","CinematicNode_Choice_1","Zapytaj, czy lubi swoją pracę.","İşini sevip sevmediğini sor.",""
"27E36AFA4A64C11DFB72F48607EBEFED","CinematicNode_Choice_1","Odejdź.","Çek git.",""
"EF79F583414981F818B2A9AEF594F6D7","CinematicNode_Choice_1","1","1",""
"1F6C43654876DA2A5E31BD806EB45964","CinematicNode_Choice_1","2","2",""
"0F25358841D82FEFBA0112B95413DA8C","CinematicNode_Choice_1","3","3",""
"A06437DD4B17BEB9A6EF7D9BE301C174","CinematicNode_Choice_1","4","4",""
"0259E06548D877B5FA75E1B9C0EA4EE1","CinematicNode_Choice_1","5","5",""
"C48D3DCD44107CA76FDB87B759235847","CinematicNode_Choice_1","6","6",""
"E2967EE6420C91CBF7896191E30BD959","CinematicNode_Choice_2","Powiedz, że pójdziesz zobaczyć grobowiec.","Mezarı görmeye gideceğini söyle.",""
