"Hash","NodeName","PL","TR","Notes"
"0F77E1934A38C7435D3FCDA96D3AFA93","CinematicNode_Choice_0","Przyznaj, że wyjaśniasz sprawę zamachu.","Suikast meselesini araştırdığını kabul et.",""
"89C9E3F0446E2879BB81B98AFAC48F11","CinematicNode_Choice_0","Pokaż jej przepustkę.","Ona geçiş izninizi göster.",""
"EF7849A64AE0489ABBBD5BA4D26E6D1B","CinematicNode_Choice_0","Powołaj się na pseudonim Fejgina - Kmicic.","Fejgin'in kod adı Kmicic'i kullan.",""
"4E75EDD74F9866912D176B9D6E0777CF","CinematicNode_Choice_0","Powiedz, że jesteś thaumaturgiem.","Tılsımkâr olduğunu söyle.",""
"9B169D814E9CE994168373BC7B9FF8EF","CinematicNode_Choice_0","1","1",""
"B224FCB1485801B145C2118557E37198","CinematicNode_Choice_0","2","2",""
"855E41854AC1D86ABB24CAA3B21513F6","CinematicNode_Choice_0","3","3",""
"8DDF3BDA4EDCA72FEA22D7B1C6EA9478","CinematicNode_Choice_0","4","4",""
"2C12E7EA4BEB8D473230B4A49CDDDBE8","CinematicNode_Choice_1","Zapytaj, czy może ci opowiedzieć o mężu.","Kocasından bahsedip edemeyeceğini sor.",""
"CCEE904D4977427995350CA160D352E0","CinematicNode_Choice_1","Zauważ, że mąż zachował wojskową rogatywkę.","Kocasının askeri şapkayı sakladığına dikkat çek.",""
"44C2C74A43909F5C3F8B468388625373","CinematicNode_Choice_1","Nawiąż do obrazu Czarnej Madonny.","Kara Madonna tablosuna değin.",""
"E181C47B45D57622C2D362974AC4AA01","CinematicNode_Choice_1","Zdradź ostatnią myśl Ignacego przed śmiercią.","Ignacy'nin ölüm öncesi son düşüncesini paylaş.",""
"E07C6BDD4FA1A4B28930B48F268BFEA1","CinematicNode_Choice_1","Odejdź.","Çek git.",""
"812C35984DA11B9316B3728DFDF5240E","CinematicNode_Choice_1","1","1",""
"A6B08AC540E02C31D19A3CACA3C0639B","CinematicNode_Choice_1","2","2",""
"9FF039DB454633CC7ACBC28E208F4FC9","CinematicNode_Choice_1","3","3",""
"02CBC2F944195830D8F5619D41DE490C","CinematicNode_Choice_1","4","4",""
"C5C7DA24446CD5633DF23A95C70DEDFB","CinematicNode_Choice_1","5","5",""
"03F1684849B6895901905AA41B46A6E2","CinematicNode_Response_0","Jestem thaumaturgiem. Mogę pomóc w znalezieniu sprawców tej tragedii.","Tılsımkârım. Bu trajedinin faillerini bulmaya yardım edebilirim.",""
"97F330DC46DC732A1D53AEAAFAFD8050","CinematicNode_Response_0","Cóż... Zawsze dzieliłam się tymi eklerkami z mężem. Szkoda, żeby się zmarnowały.","Eh… Bu ekler kekleri hep kocamla paylaşırdım. Boşa gitmesi yazık.",""
"CF7CD1D14763703C93A849854EC13A77","CinematicNode_Response_1","Chcę wyjaśnić sprawę śmierci pani męża i innych ofiar z dworca.","Kocanızın ve gardaki diğer kurbanların ölümünü aydınlatmak istiyorum.",""
"6D2712764556048B6FD186BD7149A124","CinematicNode_Response_10","Dowiedział się pan czegoś? Mogę jeszcze jakoś pomóc?","Bir şey öğrendiniz mi? Yardımcı olabilir miyim hâlâ?",""
"9DD904EB46732619F3FA0F9EE11296B9","CinematicNode_Response_11","Dziękuję. Pójdę już.","Sağ olun. Ben gideyim.",""
"3A63497E4051BF6CCE451682097B8ACD","CinematicNode_Response_11","To ja dziękuję.","Asıl ben teşekkür ederim.",""
"1522208741FE25BA902253A86F98E847","CinematicNode_Response_12","Oboje byliście wierzący?","İkiniz de inançlı mıydınız?",""
"2C25133749A38FEF37B30085C99C70D7","CinematicNode_Response_12","Ignaś bardziej. Ja, po tym co się stało...","Ignaś daha fazla. Ben, olanlardan sonra…",""
"0C2CA60C4EB8121D2077D49ADA3D923F","CinematicNode_Response_12","Nie wiem.","Bilmiyorum.",""
"A2B3FE214E7854590CFA86874D698A00","CinematicNode_Response_13","Czemu po ponad czterdziestu latach od upadku powstania, wciąż trzymał tę rogatywkę? Przecież byle wizyta Ochrany i poszlibyście siedzieć.","Ayaklanmanın bastırılmasından kırk yıl sonra hâlâ neden bu şapkayı saklıyordu? Ochrana'nın küçük bir ziyareti yetse içeri tıkılırdınız.",""
"E74A2A0242F0D9D8648042B2422DD98F","CinematicNode_Response_13","Trzymał ją w ukryciu. Przyniosłam ją tu wczoraj. Mam jeszcze jego szablę i dwa bagnety.","Onu gizli tutuyordu. Dün buraya getirdim. Hâlâ kılıcı ve iki süngüsü var.",""
"094D295D49DA8DF63009CE8DE7812A76","CinematicNode_Response_13","Ignacy nigdy nie przestał walczyć o Polskę. Pisali do siebie z Piłsudskim.","Ignacy hiçbir zaman Polonya için savaşmaktan vazgeçmedi. Piłsudski ile mektuplaşırdı.",""
"29DFF33F4CDBA3508D5CFA874191BD4F","CinematicNode_Response_13","Te plany już upadły...","O planlar artık çöktü…",""
"D53E6A6043C9496B67B0B09B3621BD8A","CinematicNode_Response_14","Jeśli to niezbyt bolesne, chciałbym, żeby pani opowiedziała mi trochę o swoim mężu.","Çok acı vermiyorsa kocanızdan biraz bahsetmenizi rica edeceğim.",""
"D0CB1C43476BA53E17F93D9A800D93F4","CinematicNode_Response_14","Cóz... Poznaliśmy się zaraz po upadku Powstania Styczniowego.","Eh… Ocak Ayaklanması'nın bastırılmasından hemen sonra tanıştık.",""
