"Hash","NodeName","PL","TR","Notes"
"58F5EADD44EFBF2DD18DFE8D9020BAD8","CinematicNode_Choice_0","Obiecaj mu to.","Ona söz ver.",""
"76DC14424D1F31EC849101BBC8598CF1","CinematicNode_Choice_0","Powiedz, że pozdrowisz Wandę.","Wanda'ya selam ileteceğini söyle.",""
"7E0560224EC4492A09B9B1A10F1EDFBA","CinematicNode_Choice_0","Nic nie mów.","Bir şey söyleme.",""
"035EF3E64B7AACA8228C3F88C48CC840","CinematicNode_Choice_0","1","1",""
"8164CA6345F63334E2456D9C3FB8EF20","CinematicNode_Choice_0","2","2",""
"9E56F24F453BF30BDCABFBA3F2A5111C","CinematicNode_Choice_0","3","3",""
"5006EAC04C9312D4CE4997B582778748","CinematicNode_Choice_3","Spróbuj uspokoić Janka.","Janek'i sakinleştirmeye çalış.",""
"6E0D6DCA45D7455160DBAEB5F641E8F7","CinematicNode_Choice_3","Zadrwij z jego strachu.","Korkusuyla alay et.",""
"A49F20D649CFAAA4699A17911CCD5EF6","CinematicNode_Choice_3","Nie wtrącaj się.","Araya girme.",""
"59CD7F7B43CBB6DB3C538DB5DDF435F3","CinematicNode_Choice_3","1","1",""
"68FF3994452841B6557BD39AE4B59881","CinematicNode_Choice_3","2","2",""
"DFC5930F401E1EE72017508CC838CC78","CinematicNode_Choice_3","3","3",""
"CC15815644484A2C93543EBC7E7D6278","CinematicNode_Choice_4","Powiedz, że uratowałeś dziecko.","Çocuğu kurtardığını söyle.",""
"5EF6C40442CC43DB45E0B294E86A8C04","CinematicNode_Choice_4","Sypnij Rasputina.","Rasputin'i ele ver.",""
"BB3749F04BD0CA7BE07CC8ADF437B392","CinematicNode_Choice_4","Najpierw dopytaj, jak Wanda ma im pomóc.","Önce Wanda'nın onlara nasıl yardım edeceğini sor.",""
"7E801D5E4C457EB7BF67D387BDA3F7C4","CinematicNode_Choice_4","1","1",""
"07AE233146FAE1A1040AB381A58F9169","CinematicNode_Choice_4","2","2",""
"788894094C2989E04573298079C1E93F","CinematicNode_Choice_4","3","3",""
"18B80594405735E2BAA9938DA3568AE0","CinematicNode_Response_0","Znasz kogoś, kto wyszedł z Cytadeli?","Sitadel'den çıkmış birini tanıyor musun?",""
"BB2FE92F40503266662612BC279A4F46","CinematicNode_Response_1","W Cytadeli. Stąd się nie wychodzi!","Sitadel'deyiz. Buradan çıkılmaz!",""
"C0772E274CEA5E524172E7995BB2DF7F","CinematicNode_Response_10","Wydaje mi się, że byłem pierwszą osobą, która poznała jego naturę. Dużo bym dał za taką pomoc... kiedyś.","Sanırım onun doğasını anlayan ilk kişi bendim. Bir zamanlar bu tür bir yardım için çok şey verirdim.",""
"700A60684E08B99C37F6168792BDDB41","CinematicNode_Response_10","I gdzie skończyłeś, bohaterze?","Ve nerede bitirdin bunu kahraman?",""
"5F9D3D094191D0048708BB8D8BB141F3","CinematicNode_Response_11","Modlić mi się zachciało. A mogłem sobie pić piwko u Berka.","Dua etmek istemişim. Oysa Berk'te bira içebilirdim.",""
"0C9E76F342E711BD62485DBB5443B642","CinematicNode_Response_12","Chociaż płaszcz mogliście mi zostawić. Chłodno tu.","Bari paltomu bıraksaydınız. Burası soğuk.",""
"6951489B44B609898E4365A8FD9E35C8","CinematicNode_Response_12","Zginiemy.","Öleceğiz.",""
"D0E482D140E923B343170CA2345156F9","CinematicNode_Response_12","Wyjdziemy z tego.","Bu işin içinden çıkacağız.",""
"4B4C2B3D434A22D75243A2A747EC80D1","CinematicNode_Response_12","Ciekawe jak?","Nasıl acaba?",""
"A2B0C2A444AA1EBB2FBD9C91C3E259E3","CinematicNode_Response_13","Ty nie wiesz, gdzie jesteśmy, co?","Nerede olduğumuzu bilmiyorsun, değil mi?",""
"5DCBEDC24E05711D83170FA7ECA486F5","CinematicNode_Response_13","Janek.","Janek.",""
"A1A3D9E947F56C584C5F2CA257E18838","CinematicNode_Response_14","Opanuj się. Mów ciszej.","Kendine gel. Daha sessiz konuş.",""
"1312890A42D2ED578DE34D8914E441BA","CinematicNode_Response_15","Najpierw cię Ochrana bierze na krwawe spytki, a potem na dziedziniec...","Önce Ochrana seni kanlı sorguya çeker, sonra avluya…",""
"7F2B18C744D069A933EAFA95EBED5CBF","CinematicNode_Response_15","Ej, młody, popatrz na mnie. Wanda nas stąd wyciągnie, musimy tylko dać jej czas. Nauczyłeś się już gwizdać?","Hey genç, bana bak. Wanda bizi buradan çıkaracak, sadece ona zaman tanımalıyız. Islık çalmayı öğrendin mi?",""
"05F7CB85496C8FF0DEE5ABB8118CDF07","CinematicNode_Response_15","...","…",""
"06024F234723FF9C4A685593FACBC09D","CinematicNode_Response_15","I pamiętaj, byliśmy na mszy. Nic nie wiemy, jasne? W przeciwieństwie do niego.","Unutma, biz ayine gitmiştik. Hiçbir şey bilmiyoruz, tamam mı? Onun aksine.",""
"DA9504274AE55190C8684BAD5BE97F81","CinematicNode_Response_19","Białek! Idziesz ze mną.","Białek! Benimle geliyorsun.",""
"2FEC36664AFE185DEE9D2093289F2CD8","CinematicNode_Response_19","Powiedz, żeby nie tęskniła.","Özlemesin de.",""
"D1CB1BC840B81851161665A1872C83B5","CinematicNode_Response_19","A ty ćwicz to gwizdanie.","Sen de ıslığını çalış.",""
"12EB497945A3DF99CCF4D6B0F116061F","CinematicNode_Response_2","...","…",""
"2C8EA0F74877ABB4C0D85BB3B274084F","CinematicNode_Response_24","Jan Białek!","Jan Białek!",""
"BD3F55B24C7D24E94A4031A154779387","CinematicNode_Response_24","Nie, proszę, nie.","Hayır, lütfen, hayır.",""
"733A508E4DB622B22E000F903D1EA46A","CinematicNode_Response_24","Tutaj! To ja!","Burada! Benim!",""
