"Hash","NodeName","PL","TR","Notes"
"066FFE7645537FE3B9F70198912873EA","CinematicNode_Choice_3","Zapytaj o jego wersję wydarzeń.","Olayların onun sürümünü sor.",""
"AE39A5F84C9FB225084476B87678E694","CinematicNode_Choice_3","Skoncentruj się na Skazie Pietii.","Pietia'nın Kusur'una odaklan.",""
"1C7D34CF4809E6272F1F98B5FD7D6255","CinematicNode_Choice_3","Zapytaj, jak on rozwiązałby tę sprawę.","Bu meseleyi onun nasıl çözeceğini sor.",""
"936630FC4B13BA40B8BA08BFA140A0D5","CinematicNode_Choice_3","Porusz temat jego relacji z Ludwikiem.","Ludwik ile olan ilişkisini gündeme getir.",""
"A79B39514FBF75B70F140CAEDC1AFB89","CinematicNode_Choice_3","Odejdź.","Çek git.",""
"F21F9AA0403BFBF031D4DB843B3835FE","CinematicNode_Choice_3","1","1",""
"204BCC42409C0334499D99A766D54168","CinematicNode_Choice_3","2","2",""
"395756CE4A8A8AE543F36198B53B32D6","CinematicNode_Choice_3","3","3",""
"85670827473C817F2CBC7093F1F99C58","CinematicNode_Choice_3","4","4",""
"FA2F63984C4C13F323053FB3317A345F","CinematicNode_Choice_3","5","5",""
"795356A042C814775BC3FC97638DFAC2","CinematicNode_Choice_4","Drąż temat zaniedbanej Anny i dziecka.","İhmal edilen Anna ile çocuğu konusunu derinleştir.",""
"333868494232AC2A9A2DA595D7166412","CinematicNode_Choice_4","Drąż temat egoistycznej przyjaźni.","Bencil arkadaşlık konusunu derinleştir.",""
"2D0BD0134091179CF3E195B1C2721092","CinematicNode_Choice_4","Porusz temat kontraktu.","Kontrat konusunu gündeme getir.",""
"9DCF3DBF48716BAB095FA88FD0D6179B","CinematicNode_Choice_4","Odpuść.","Boş ver.",""
"F31C2D9B4CE3C64482A0D381C50C696C","CinematicNode_Choice_4","1","1",""
"2B3D90F449499706B674EA921814823A","CinematicNode_Choice_4","2","2",""
"A7DA2FD348D9A1C6DA4B738832DC478D","CinematicNode_Choice_4","3","3",""
"6D6D8162493306C2D3F5918AC6C9AF3F","CinematicNode_Choice_4","4","4",""
"86E4853E4020B72131054DBA15120916","CinematicNode_Choice_5","Zakończ rozmowę.","Konuşmayı bitir.",""
"206492C84A7E984DC6577792A9A8AA26","CinematicNode_Choice_5","Zapytaj, jak się czuje.","Nasıl hissettiğini sor.",""
"B560740342BC9A8DA0FB29BE70C52BFC","CinematicNode_Choice_5","Zapytaj, jak było naprawdę z Ludwikiem.","Ludwik'le aslında nasıl olduğunu sor.",""
"E186C3A44CFF60B30070CEA8739881BA","CinematicNode_Choice_5","Powiedz, że masz ich umowę.","Sözleşmelerinin sende olduğunu söyle.",""
"7F6BE7174F5D975CAC90B9A4209A7463","CinematicNode_Choice_5","1","1",""
"C2B5064040C7634F67EBCEAD44114283","CinematicNode_Choice_5","2","2",""
"E792C3A14669DA892637D19656CAE77F","CinematicNode_Choice_5","3","3",""
"4F813C944E05DD05C909D281CDC2559C","CinematicNode_Choice_5","4","4",""
"5C37BF764D63BB8EE239BAAD12BAD362","CinematicNode_Response_20","Jak widzisz potrafię być uparty.","Gördüğün gibi inatçı olabilirim.",""
"18AFD2E7433496450B56918329E81355","CinematicNode_Response_20","Winszuję. Franz i Tomas to twardzi zawodnicy.","Tebrikler. Franz ve Tomas çetin rakiptir.",""
"E0F2A6D84234644D0A800788BA9B5656","CinematicNode_Response_20","No, mówże, nie mam całego dnia.","Hadi söyle, bütün gün vaktim yok.",""
"382439604F0B846E7C787E8EDF09E6E0","CinematicNode_Response_21","Potrzebujesz czegoś jeszcze?","Başka bir şeye ihtiyacın var mı?",""
"26619B9046101CAB835198A69F14C36C","CinematicNode_Response_22","Co się wtedy wydarzyło? Z twojej perspektywy.","O zaman ne oldu? Senin bakış açından.",""
"A48AB586452E7481140ED3A6A064C499","CinematicNode_Response_22","Dzięki, kuzynie. Ciężko mi do tego wracać, to był mój przyjaciel.","Sağ ol kuzen. O konuya dönmek bana ağır geliyor, o benim arkadaşımdı.",""
"25498E2548D2DE91A923F59D4CE2061F","CinematicNode_Response_22","Bawiliśmy się. Whisky, cygara i... Inne atrakcje. Ludwik się wstawił, wyszedł na balkon.","Eğleniyorduk. Viski, puro ve… Başka cazibeler. Ludwik kafayı buldu, balkona çıktı.",""
"17C478834D43FD1D6248B8A27C3EBB00","CinematicNode_Response_22","Krzyczał stamtąd coś, że chce być wyżej, jeszcze wyżej... I nagle krzyki i piski z dołu.","Oradan bir şey bağırdı, daha yükseğe, daha yükseğe çıkmak istediğini… Birden aşağıdan çığlıklar ve haykırışlar.",""
"5342FF6A4211318BD4792A931ADB92EA","CinematicNode_Response_22","Wyglądam na balkon, a Ludwik... Już był na dole. Nie żył.","Balkona bakıyorum, Ludwik… Çoktan aşağıdaydı. Ölmüştü.",""
"A59C8EC3482CE65223492C88E17E1DAB","CinematicNode_Response_23","Rozejrzę się jeszcze.","Biraz daha bakacağım.",""
"EF21757D4FEEF3A718B5ADAB42574536","CinematicNode_Response_23","Jak sobie chcesz.","Sen bilirsin.",""
"3960B60C49BE42D5B87E0FA11E4B6788","CinematicNode_Response_24","Wiem o waszym kontrakcie.","Sözleşmenizi biliyorum.",""
"AE581F8D469B13A21AA6D392A17C2707","CinematicNode_Response_24","Spisaliście go z Ludwikiem, zanim zaczął uczyć się latać. Zawarty na wypadek, gdybyś miał się nie wypłacić.","Onu Ludwik ile uçmayı öğrenmeye başlamadan önce yazdınız. Senin parayı vermeme ihtimaline karşı yapıldı.",""
"E1ED858B4C8519268C91018BE1FB5101","CinematicNode_Response_24","I co zamierzasz z nim zrobić?","Onunla ne yapmayı düşünüyorsun?",""
"BB2EC6D14F0F82822D54F78A760A3039","CinematicNode_Response_24","Może dam go prasie? Albo wujkowi. Może być?","Belki basına veririm? Ya da amcaya. Olur mu?",""
"F471D5B1415AAD630A43B28426B955A2","CinematicNode_Response_25","Jak chcesz to zakończyć? Twój przyjaciel nie żyje. To był czyjś syn.","Bunu nasıl bitirmek istiyorsun? Arkadaşın öldü. O birinin oğluydu.",""
"D01D1A39439AD82193B2FDB3660F5387","CinematicNode_Response_25","Tak, Krajewscy. Wiem, że są biedni. Ale w tym mogę im pomóc.","Evet, Krajewski ailesi. Yoksul olduklarını biliyorum. Ama bu konuda onlara yardım edebilirim.",""
"AD305360431F8ABF294B1A99D8E30A20","CinematicNode_Response_25","Podobno prasa się nimi interesuje.","Söylenenlere bakılırsa basın onlarla ilgileniyor.",""
"8F790D4C4F4FDCC106468B921581CF14","CinematicNode_Response_25","Słyszałem. O siebie się nie martwię, ale reputacja papy poważnie by ucierpiała. A na Krajewskich jeszcze się to może odbić.","Duydum. Kendim için endişelenmiyorum, ama babamın itibarı ciddi zarar görür. Ve bu Krajewski ailesine bile yansıyabilir.",""
"4697F83845F1AECCE42F3AB65EEFDA47","CinematicNode_Response_25","Chcę ich chronić. Kwota nie gra roli.","Onları korumak istiyorum. Rakam önemli değil.",""
"9669DF224D648583DF4DCF9907D144E6","CinematicNode_Response_26","Ty ją tu wpuściłeś? Rozum ci odjęło?","Onu içeri sen mi aldın? Aklını mı kaçırdın?",""
"B7A4EE014F9882EB815B7E957B99054E","CinematicNode_Response_26","Chyba tobie! Nie zachowuj się, jak smarkacz, będziesz ojcem.","Sen kaçırmışsın galiba! Sümüklü gibi davranma, baba olacaksın.",""
"2C83EDBD4FD83218FEFA3FA646DD7E41","CinematicNode_Response_26","Wynocha stąd! Mówiłem już, zapłacę. Daj mi spokój!","Defol buradan! Söyledim, ödeyeceğim. Beni rahat bırak!",""
"36C0466545DD4AFB9BFD2ABC19D5BC67","CinematicNode_Response_26","Mam nadzieję, że życie da ci w końcu kiedyś nauczkę.","Umarım bir gün hayat sana bir ders verir.",""
"030C7C3943C4B8339C17F2AD8D487002","CinematicNode_Response_26","Co tak stoisz?","Niye öyle dikiliyorsun?",""
"DB1EE31345C4C53A3EAE8A8CEEEAFCC4","CinematicNode_Response_27","Halo?... Kto przyszedł?... Przedstawiła się?","Alo?… Kim geldi?… Kendini tanıttı mı?",""
"B77969944B993A940C24648737432846","CinematicNode_Response_27","Nie! Pod żadnym pozorem macie jej tutaj nie wpuszczać!","Hayır! Hiçbir bahaneyle onu içeri sokmayacaksınız!",""
"978855C14BCED0761E6182BEE6A37B4A","CinematicNode_Response_27","Szlag.","Lanet olsun.",""
"8EF22AC8432B91D4740F619E95590ED2","CinematicNode_Response_27","Masz nieproszonego gościa?","Davetsiz misafirin mi var?",""
"1F572FE94C50FD7A85EDF7AAD3B55245","CinematicNode_Response_27","Pilnuj własnych spraw, kuzynie.","Kendi işine bak kuzen.",""
"96F5326049F85C70DA0DB6B51A2BA6E8","CinematicNode_Response_28","Widzę w tobie interesującą rzecz, kuzynie.","Sende ilginç bir şey görüyorum kuzen.",""
