"Hash","NodeName","PL"
"D9BAEB6644F6F7CBABA024A6CA903469","CinematicNode_Choice_3","Opowiedz mu o Skazach i salutorach."
"D44DD2104CDF1B3616F97D828B5165ED","CinematicNode_Choice_3","Wyjaśnij, czym są Ślady."
"6631189540410C4BF5F6048D9FF94819","CinematicNode_Choice_3","Opowiedz, czemu posiadanie wielu salutorów jest niebezpieczne."
"A0B12AD648EDCD6C744828A58E80740F","CinematicNode_Choice_3","Zapytaj, czemu z tobą pojechał."
"6EF23482413E4EBB0374F8B11ADB9433","CinematicNode_Choice_3","Odejdź."
"1B0DA238460EA8BE94D2018C4ABC796B","CinematicNode_Choice_4","Powiedz, jaką Skazę skrywasz."
"5F3B5B934BF5F3D19A7647A55D067455","CinematicNode_Choice_4","Nie zdradzaj mu swojej Skazy. Zmień temat."
"E3B8762744A41D977B5477B805914553","CinematicNode_Choice_5","Powiedz, że inni to tchórze."
"D0A8EA9048A90BA830F71E94268A7971","CinematicNode_Choice_5","Opowiedz, co cię spotkało, kiedy podjąłeś taką próbę."
"98166FBF4616844CE6E58CB6F051CF61","CinematicNode_Response_16","Co spodziewasz się tu znaleźć? Pożar był prawie rok temu."
"1BECEC634EBB05F7596EF5AA4440F721","CinematicNode_Response_16","Czas nie ma tu takiego znaczenia. Szukam wskazówek i osobistych Śladów, one naprowadzą mnie na kogoś, kto nosi Skazę, która zwabiła tutaj salutora."
"BC91FE344E1EE022B01E81A042F81DCE","CinematicNode_Response_16","Mhm... Myślałem, że mogę ci być pomocny, ale..."
"13C878F249493B81B3345E9920A4EEC5","CinematicNode_Response_16","Nie bardzo rozumiem, co do mnie mówisz."
"B525FD5E4CAA6D39308AA5A4E72CD291","CinematicNode_Response_17","Tak, od ""przybysza"". Ludzie od zawsze pojmowali salutory jako duchy, demony lub chochliki."
"FE41F8DE46BC6CD985A94FB74B9F9808","CinematicNode_Response_17","Jak z tych bajek, które miejscowym opowiada szeptucha i inne stare baby?"
"DFAEE9A9430A1234C299B99D65AD0509","CinematicNode_Response_17","Czasem takie bajki i legendy opisują, jak ludzie postrzegają salutory. One nie przyjmują fizycznej formy."
"2BBB823741FD0DEA614FF1905111551F","CinematicNode_Response_17","Salutory lgną do Skaz ukrytych w ludziach. Thaumaturg odkrywa te Skazy w człowieku, wydobywa je na powierzchnię i przejmuje, aby zwabić do siebie salutora."
"C7E7C4E14D8A90BEBF4906B0EF47FF6C","CinematicNode_Response_17","W tych momentach zazwyczaj zawodziłem... Nie potrafiłem zatrzymać salutora przy sobie. Nie umiałem go ze sobą związać."
"1E40ACF84501BB57F73EB08581FDF5BC","CinematicNode_Response_17","A ty? Masz jakąś Skazę?"
"4FFA4B584ABF0B27EFC42A8CDC7A0E93","CinematicNode_Response_18","Przede wszystkim Skazy to głęboko ukryte piętno, które odciska się na ludzkich duszach. "
"3D149D494A3BA8767A94D6B41607B701","CinematicNode_Response_18","Rodzi się pod wpływem dramatycznych wydarzeń."
"5236832744CF697BC0831D8CAA3710BB","CinematicNode_Response_18","Jak to się ma do tych... salutorów. To z łaciny?"
"E7DE953D46E8BC9B2279A7A4E1A6749F","CinematicNode_Response_19","Czy nie takie właśnie myślenie zesłało na ciebie problemy, które doprowadziły cię do mnie?"
"BD1376974A2B1F840495EF8BA2B88279","CinematicNode_Response_19","To już nie jest istotne."
"353C460E473219578A6488A4483EFA35","CinematicNode_Response_20","To nieistotne."
"E75CC7CB466CB08A48BB67946FDA586F","CinematicNode_Response_20","Ważne, że teraz mogę schwytać mojego kolejnego salutora."
"E42306A041A9F835FD8EEBB61E4F00AB","CinematicNode_Response_20","Stworzyć z nim kolejną więź i dzięki jego mocy, będę mógł zacząć wpływać na ludzi."
"2954EBF9410CE25AEE82C2B05E2A490F","CinematicNode_Response_21","Straciłem poczucie tego, co rzeczywiste. Nie wiedziałem, co jest prawdą."
"9CF0DB534CC05BACC51AE4BE80244D87","CinematicNode_Response_21","Ale wiem, że potrafię to zrobić. Jestem prawie... Na sto procent pewny."
"A22054FE409A3BD8EF9ED7B82259348B","CinematicNode_Response_22","Bo się boją."
"24A00FBF486D4271CFF587B705904F81","CinematicNode_Response_22","Jak ci, którzy twierdzili, że człowiek nie nauczy się latać, ani nigdy nie dotrze na biegun."
"F81E50B7444B5BE3573E729B0C332E98","CinematicNode_Response_22","Ale porażki innych nie świadczą o tym, że mają rację. Przeciwnie. To znaczy, że gdzieś popełnili błąd."
"5DD6814644081509D21458BFD591236A","CinematicNode_Response_23","Złapałeś już tego przywołańca?"
"309A8321407A0ABAA35722A26B9AD48D","CinematicNode_Response_23","Jeszcze nie, dopiero badam pewne tropy."
"A02E95574964D3120AB88682030AA5B8","CinematicNode_Response_24","Muszę się tu jeszcze rozejrzeć."
"2CE4AA0C488BF9EC845CEAB295E7A5D4","CinematicNode_Response_24","Nie zatrzymuję cię."
"88DEBADA413304CA61E207A7F96C8BEF","CinematicNode_Response_25","Ludzie zawsze zostawiają po sobie indywidualne cząstki swojej osobowości. Nawet na prozaicznych przedmiotach, rzeczach."
"8CD58D7C420218F6738DE592B9102693","CinematicNode_Response_25","Ja mogę odczytać zapisane na tych przedmiotach myśli i uczynki, a potem dopasować je do osoby, która je zostawiła."
"954AC76D427D53094BA59EADC4A27DAF","CinematicNode_Response_25","To pomaga zebrać ogromną wiedzę na temat człowieka. Zwłaszcza, jeśli trzeba kogoś znaleźć."
"96E1035046A7A088CC63DE9C95B4BC40","CinematicNode_Response_25","Co jeszcze potrafisz?"
"26FD50444FB32AC3DF72389CFFF3CA68","CinematicNode_Response_26","Dlaczego chciał mi pan tutaj towarzyszyć?"
"CC1133574E5AA5380F7413B3A03866E3","CinematicNode_Response_26","Nigdy nie poznałem tak blisko żadnego thaumaturga."
"75B841884DFE5810210C22916F418107","CinematicNode_Response_26","Chciałbym dowiedzieć się jak najwięcej o twoich umiejętnościach."
"EA3EC62A4A622D9E9A9DBFB89FBEAECC","CinematicNode_Response_27","Noszę Skazę Dumy."
"D42E8B3F4190A158DA5CECBDCBF64F1C","CinematicNode_Response_27","Hmm... Nie domyśliłbym się."
"D70295A6420A892394D9A4B1481B6872","CinematicNode_Response_27","A teraz..."
"B1E7CBCF4C2D3035978801A0292B029A","CinematicNode_Response_28","Jeśli uda mi się pochwycić drugiego salutora, będzie to w zasadzie bardzo rzadkie wydarzenie."
"41A468E7400C4F8E1965B98D429BA278","CinematicNode_Response_28","Zwykły thaumaturg nawet nie podejmuje kolejnych prób. Tylko nieliczni mają kilka salutorów."
"28B2E2364BD6EE788E54778CCF068F0E","CinematicNode_Response_28","Dlaczego?"
"D7A446DD40C1D8C3AF183DA9DD4E414F","CinematicNode_Response_29","Dzięki pańskiej pomocy mogę znowu odkrywać w ludziach Skazy i kryjące się za nimi salutory."
"09FA0C3C455FC06D608083BD773740A6","CinematicNode_Response_29","I myślę, że jestem w stanie schwytać mojego drugiego salutora."
"B3AD0E8E45D69455A73534975109932A","CinematicNode_Response_30","Niektórzy umarli, kiedy spróbowali, niektórzy postradali zmysły..."
"EA00A9E6422C0C9F1F71C9A1C7EEE483","CinematicNode_Response_30","Ja byłem bliski obłędu."
"A963BDAB450B4A243EC5E28CD4446643","CinematicNode_Response_31","A co się zmieniło?"
"8E4BEEBF4BDEF8A3D5876292EC2DC2C7","CinematicNode_Response_31","Tym razem pan jest przy mnie."
