"Hash","NodeName","PL"
"17202ACE43633A1F00DB8C84AAE7F09A","CinematicNode_Choice_1","Odnieś się do słów Cecylii."
"661B5B2E4FB78C8B961540802258F790","CinematicNode_Choice_1","Nastrasz Lukrecję."
"43D44194451385268D31AE87569EDC37","CinematicNode_Choice_1","1"
"39E2C3D24CFD166065652AAE91B61443","CinematicNode_Choice_1","2"
"56AB04624E450F83B30DEA9C0DC2196D","CinematicNode_Response_4","Chciała pani ze mną rozmawiać?"
"7887D0394E5A733A4E4E82B3777361CF","CinematicNode_Response_4","Mam całą listę pytań i bardzo liczę, że pan na nie odpowie."
"8C4EAA6F47F158374FE6F4824C2758BB","CinematicNode_Response_4","Hamuj proszę entuzjazm. Ty i twoja suknia zabieracie nam wszystkim tlen."
"2C8A0CDA44118E8EA607CBBE416604D1","CinematicNode_Response_4","Lukrecjo, tylko mali ludzie boją się dociekliwości, a thaumaturg nie może być mały."
"A62D1C864B81E8213E049090F88F297C","CinematicNode_Response_4","Moc którą pan posiada ingeruje w samą tkankę rzeczywistości i najbardziej subtelne aspekty ludzkiej psychiki. Jest... "
"B344807145B3F018AC964C9460FB12B4","CinematicNode_Response_4","...w najlepszym przypadku przereklamowana, a w najgorszym, zmyślona."
"BDD3698A4D0E0CAE99B98F806F6A78E8","CinematicNode_Response_5","Podzielam zachwyt nad thumaturgią."
"752E560F4E724D84EB9C2DBE7F46AE00","CinematicNode_Response_5","Szkoda, że ludzie są zbyt ciemni, żeby ją docenić. Mam nadzieję, że to się zmieni."
"E9E794434A4835A9EB07429ACC9FD69D","CinematicNode_Response_6","Może przekonałbym panią do mojej mocy, gdybym jej użył?"
"2B27CC9A4947BF66154302AFE199273D","CinematicNode_Response_6","Tak!"
"C16D70AD4E398AF64BFDEB9304A8A13C","CinematicNode_Response_6","Na przykład wmówiłbym pani, że jest... papugą."
"69AB49AB4362C64FCD2CB493C32785F0","CinematicNode_Response_6","O mój Boże!"
"093F2995499E218E12D8CEA1BDA2FD19","CinematicNode_Response_7","Antykwariusz oszalał! Pomóżcie!"
"12508F0544D5F6066794CDBAD83E61D8","CinematicNode_Response_7","To pana sprawka?"
"456F2BED4710042DCC8350882A35BC4F","CinematicNode_Response_7","Teraz nagle wierzy pani w thaumaturgię?"
"58C1946F4075E3DA354AA28909D0674C","CinematicNode_Response_7","Panie Wiktorze, proszę nie zwracać na nią uwagi. Lepiej chodźmy, mogą pana potrzebować."
