"Hash","NodeName","PL","TR","Notes"
"BF27A638469C0F73A53DE0852BF0E302","q301_readables","Kurjer Warszawski","Varşova Kuryesi","Başlık"
"1E72326147A9C1A440956396275C8833","q301_readables","Carewicz Aleksy kończy roczek!

My, dziennikarze redakcji Kurjera Warszawskiego, korzystając z przywileju jaki nam daje nasza gazeta, chcielibyśmy w imieniu całego Wdzięcznego Narodu, złożyć najszczersze życzenia urodzinowe przyszłości Wielkiego Imperium Rosyjskiego, Aleksemu Mikołajewiczowi Romanowowi w dniu jego pierwszych urodzin. Jako redakcja życzymy, żeby odbywający się na cześć carewicza bal urodzinowy obfitował we wspaniałe prezenty, które pozwolą mu zrozumieć swoją doniosłą rolę i spełnić wszelkie oczekiwania jakie z dziedzicem wiąże Jego Cesarska Mość Cesarz i Samodzierżca Wszechrosji car Mikołaj II, któremu deklarujemy naszą wdzięczność, za nieprzerwane działanie naszej gazety od 1821 roku. Pijemy nieprzerwane sto lat, za carat i Wieczne Imperium Rosyjskie.","Çareviç Aleksy bir yaşında!

Biz Varşova Kuryesi yazı işleri gazetecileri, gazetemizin bize tanıdığı imtiyazdan yararlanarak, Müteşekkir Milletimiz adına Büyük Rus İmparatorluğu'nun geleceği Aleksey Mikołayeviç Romanov'a ilk yaş gününde en içten doğum günü dileklerimizi sunmak isteriz. Yazı işleri olarak, Çareviç'in onuruna düzenlenen doğum günü balosunun, onun yüce rolünü anlamasına ve Majesteleri İmparator ve Tüm Rusların Hükümdarı Çar Mikołaj II'nin bu vârise bağladığı tüm beklentileri karşılamasına yardım edecek muhteşem armağanlarla dolu olmasını diliyoruz. Kendilerine, gazetemizin 1821'den bu yana kesintisiz işlemesi için minnettarlığımızı sunuyoruz. Kesintisiz yüz yıl, çarlık ve Ebedî Rus İmparatorluğu şerefine içiyoruz.","Resmî gazete övgüsü"
"CC78805F43E58890A3636C84B7531129","q301_readables","Kurjer Codzienny","Günlük Kurye","Başlık"
"A897FF70430D2CD4D0C7BF8D9533DB48","q301_readables","Uciekinierzy wciąż na wolności!

Policja zawodzi, jak zwykle. Takiemi oto słowy można by podsumować działania funkcjonariuszy w sprawie głośnej ucieczki kilku więźniów z Cytadeli Warszawskiej. Policja, nieudolnie zasłaniając się tajemnicą państwową, odmawiaja podania personaliów zbiegłych kryminalistów, przez co skazują niewinnych mieszkańców Warszawy na niebezpieczeństwo i śmierć niechybną w ciemnych zaułkach miasta. Ale czy my się jeszcze takiej nieudolności dziwimy? Niech to pytanie pozostanie retorycznym.","Kaçaklar hâlâ serbest!

Polis her zamanki gibi başarısız. Varşova Sitadeli'nden birkaç mahkumun sansasyonel kaçışı meselesinde yetkililerin çabasını özetlemek için bu sözler yeter. Polis, beceriksizce devlet sırrının arkasına saklanarak kaçan suçluların kimliklerini açıklamaktan kaçınıyor; böylece masum Varşova sakinlerini şehrin karanlık sokaklarında kaçınılmaz tehlike ve ölüme mahkûm ediyor. Peki bu tür bir beceriksizliğe hâlâ şaşırıyor muyuz? Bu soru retorik olarak kalsın.",""
"AE884DF24D8CA00125C05FAA84E32950","q301_readables","Biuletyn","Bülten","Başlık"
"4FA7D0534D4EB61A20ED68A5DC4F6447","q301_readables","Magicy atakują twoich bliskich. Broń się!

Źle sypiasz? Masz problemy finansowe? Czujesz się nieszczęśliwy i osowiały? To może być znak, że twoim życiem manipulują magicy, zwani thaumaturgami. Jak sprawdzić czy ty i twoi bliscy znajdujecie się pod ich wpływem? Odpowiedz na pięć prostych pytań.

- Czy czujesz się zmęczony, nawet w ciągu dnia i po dobrze przespanej nocy?
- Borykasz się z problemami finansowymi? Wypłata znika z twojej kieszeni zaraz po jej otrzymaniu?
- Twoi bliscy, na przykład żona, dzieci, koledzy czy współpracownicy, pyskują i się wykłócają, bez żadnego powodu, pomimo że to ty masz rację?
- Czujesz się rozdrażniony lub osowiały? Raz jest ci smutno, a raz wesoło, albo przeciwnie, czujesz się wyprany z emocji?
- Generalnie nie układa ci się? Jesteś nieszczęśliwy i masz poczucie, że “coś nie gra”?

Jeżeli odpowiedź na choć JEDNO z tych pytań brzmi TAK jest to poważny znak, że magicy przejęli CAŁKOWITĄ kontrolę nad twoim życiem. Nie pozwól im sterować swoim losem. Dołącz do nas. Razem oczyścimy Warszawę!
","Sihirbazlar yakınlarına saldırıyor. Kendini savun!

Kötü uyuyor musun? Mali sorunların mı var? Kendini mutsuz ve çökmüş mü hissediyorsun? Bu, hayatının tılsımkâr denilen sihirbazlar tarafından manipüle edildiğinin bir işareti olabilir. Sen ve yakınlarının onların etkisi altında olup olmadığını nasıl anlarsın? Şu beş basit soruyu yanıtla.

- Gündüz bile, üstelik iyi uyumuş bir geceden sonra, kendini yorgun mu hissediyorsun?
- Mali sorunlarla mı boğuşuyorsun? Maaşın, alır almaz cebinden uçuyor mu?
- Yakınların — eş, çocuklar, arkadaşlar ya da iş arkadaşları — sen haklı olduğun halde, sebepsizce ağız yapıp didişiyor mu?
- Sinirli ya da çökmüş mü hissediyorsun? Bir kederleniyor, bir neşeleniyor musun; ya da tersine, duygudan yoksun mu hissediyorsun?
- Genelde işlerin yolunda gitmiyor mu? Mutsuz musun ve “bir şeyler ters” gibi mi hissediyorsun?

Bu sorulardan BİR tanesine bile EVET yanıtını verdiysen, bu, sihirbazların hayatının TAMAMI üzerinde kontrol ele geçirdiğinin ciddi bir işaretidir. Kaderini onlara yönettirme. Bize katıl. Birlikte Varşova'yı temizleyeceğiz!
","WTA propaganda"
"900FA8694CD926F1DD3D0FA8B6D0AD5F","q301_readables","Ulotka antythaumaturgiczna","Tılsımkâr Karşıtı Broşür","Başlık"
"F3E7217044991E944D8115A4F77C6973","q301_readables","Czy magik to człowiek?
<br>
Słyszałeś ostatnio, że magicy, to tacy sami ludzie jak ty? Oszczędzę ci czytelniku bólu i powiem, to kłamstwo i jak ktoś jest bystry, to od razu wie, co się dzieje. Magicy to nie ludzie. To napędzane siłą diabelską biesy, które czyhają tylko na twoją nieuwagę. Bo czy prawdziwi ludzie dodają sobie krwi do piwa? Albo oprawiają książki w skórę nieboszczyków? Nie! Żaden człowiek tak nie robi, ale każdy magik takie świństwa bezecne wyprawia, pod osłoną nocy i jak nikt nie patrzy. Każdy mądry, racjonalny człowiek to wie i każdy tylko kiwa głową i się zgadza. A czas zawalczyć o czystość tego miasta. Wypędzić magików, póki jeszcze możemy.
","Sihirbaz insan mıdır?
<br>
Son zamanlarda sihirbazların senin gibi insanlar olduğunu mu duydun? Okuyucum, seni acıdan kurtarayım ve söyleyeyim: bu yalandır; uyanık biri olayın ne olduğunu hemen anlar. Sihirbazlar insan değildir. Yalnız senin dikkatsizliğini kollayan, şeytanî güçle çalışan cinlerdir. Çünkü gerçek insanlar biralarına kan katar mı? Ya da kitaplarını ölü derisiyle kaplar mı? Hayır! Hiçbir insan bunu yapmaz; ama her sihirbaz, geceye saklanarak ve kimse bakmazken bu iğrenç işleri yapar. Her akıllı, rasyonel insan bunu bilir; herkes başını sallayıp doğrular. Ve artık bu şehrin temizliği için savaşma vakti. Mümkün olduğunca sihirbazları def etme vakti.
",""
"CC2D0E60418927D3B221C89679175F0C","q301_readables","Notatka","Bildiri","Başlık"
"DAB81D8E4FB713FA432570A19DDD5CE5","q301_readables","UWAGA! MIASTO OBJĘTE STANEM WYJĄTKOWYM!<br>
Z rozkazu generał-gubernatora warszawy Gieorgija Skałona, miasto zostaje objęte stanem wyjątkowym. Pod karą więzienia zakazuje się wychodzenia z domu po zmroku oraz uczestniczenia w zgromadzeniach publicznych. Zachowaj spokój i przestrzegaj zaleceń przedstawicieli caratu.","DİKKAT! ŞEHİR OLAĞANÜSTÜ HAL ALTINDADIR!<br>
Varşova General-Valisi Gieorgij Skałon'un emriyle şehir olağanüstü hal altına alınmıştır. Karanlık çöktükten sonra evden çıkmak ve kamusal toplantılara katılmak hapis cezası altındadır. Sakin olun ve çarlık temsilcilerinin emirlerine uyun.",""
