"Hash","NodeName","PL","TR","Notes"
"D1D02218464FD223F64E0EB55ED20CE7","q104_journal","W pył się obrócisz","Toza Dönüşeceksin","Görev başlığı; ""pulvis es et in pulverem reverteris"""
"1CAF72994F29589795276E85101A9546","q104_journal","Rasputin chętnie pozna Swietłanę. Przywiozę ją do Nadarzyńskich. Kolejna wizyta w Imperialnym.","Rasputin, Swietłana ile tanışmaya can atıyor. Onu Nadarzyńskilere getireceğim. Imperialny'ye bir ziyaret daha.",""
"FFE18876415F2ACC18860B97CA3965DA","q104_journal","Swietłana musi umknąć Ochranie z Warszawy. Może Abaurycy pomoże?","Swietłana, Ochrana'dan kaçıp Varşova'dan çıkmak zorunda. Abaurycy yardım eder mi acaba?",""
"522268D44248B16F88F1FA9A441B7A25","q104_journal","Abaurycy poradził, żebym szukał niejakiego Javiera. Jest przemytnikiem, znajdę go na Powiślu, mieszka na barce o wdzięcznym imieniu ""Maleńka"".","Abaurycy, Javier diye birini aramamı salık verdi. Bir kaçakçıymış; onu Powiśle'de bulurum, ""Maleńka"" adlı zarif bir mavnada yaşıyormuş.","""Maleńka"" bot adı aynen"
"18B866AC4C11767FE5265FA91930F21D","q104_journal","Abaurycy poradził, żebym szukał Javiera. Jest przemytnikiem, żyje w ukryciu. Poszukiwania mam zacząć na Powiślu, od przepytania Brygadzisty Romka. Do dzieła.","Abaurycy, Javier'i aramamı salık verdi. Bir kaçakçıymış, saklanarak yaşıyormuş. Aramalara Powiśle'de, Ustabaşı Romek'i sorguya çekerek başlayacakmışım. Haydi işe.","brygadzista → ustabaşı"
"42725D3D4AC4F1EE826298AA5A25EFF4","q104_journal","Wypytywanie Romka było naruszeniem dzielnicowej etykiety, o czym Abaurycy doskonale wiedział. Dzięki stary, zapamiętam… A Javiera odnajdę sam.","Romek'i sorguya çekmek mahalle âdâbını ihlâl etmek anlamına geliyormuş; Abaurycy bunu gayet iyi biliyordu. Sağ ol dostum, aklımda kalsın… Javier'i kendim bulurum.",""
"7DAADECF46410782C4817AA5966673A5","q104_journal","A więc Javier jest amatorem boksu. Interesujące. Powinienem rozejrzeć się w okolicy i poszukać klubu sportowego albo ringu.","Demek Javier boksa meraklı. İlginç. Etrafa bakınıp bir spor kulübü ya da ring aramalıyım.",""
"EA9F6E67431154457458B1822BE2D69D","q104_journal","Szukajcie a znajdziecie! A przynajmniej zostaniecie znalezieni. Wpadłem na Ariela Rofe, powiślańskiego thaumaturga o dość szorstkich manierach. Niemniej, obiecał zaprowadzić mnie do Javiera, więc nie narzekam.","Arayın, bulursunuz! En azından sizi bulurlar. Powiśle'li bir tılsımkâr olan Ariel Rofe'ye çattım; terbiyesi epey kaba. Gelgelelim beni Javier'e götürmeye söz verdi, şikâyet etmem.",""
"0D0F7172400250181417DFB94DCD9F83","q104_journal","Javier przeszmugluje Swietłanę do Wiednia. Dyskretnie odpłynie z Portu Praskiego.","Javier, Swietłana'yı Viyana'ya kaçıracak. Praga Limanı'ndan sessizce yola çıkacaklar.","Wiedeń → Viyana"
"8E2E6A5B440701BAB4AF838DB115A6FD","q104_journal","Swietłana zdradziła mi, że ojciec wspierał sprawę niepodległościową i spotykał się z ludźmi o podobnych poglądach. Nie mogę w to uwierzyć. Szkoda, że Swietłana nie zna personaliów tych osób..","Swietłana, babamın bağımsızlık davasını desteklediğini ve aynı düşüncedeki insanlarla görüştüğünü açıkladı. Buna inanamıyorum. Yazık, Swietłana bu kişilerin isimlerini bilmiyor..","Kaynakta sonda iki nokta var"
