"Hash","NodeName","PL","TR","Notes"
"CA8D5FDC47A554F1CA800D8C3D8AB10F","CinematicNode_Choice_1","Rusz za nią.","Onun peşinden git.",""
"B08A718E47E15AFF67E2A289DFA8D577","CinematicNode_Choice_1","Powiedz, że dołączysz do niej za chwilę.","Biraz sonra ona katılacağını söyle.",""
"16F0EDA844C0854530E60C964092BA2F","CinematicNode_Choice_1","1","1",""
"006CD3CF44D6BEB3CC553FA12087468B","CinematicNode_Choice_1","2","2",""
"E4BE7D444DBDB8A6CCFC808EA121F380","CinematicNode_Response_0","Przyjdę za chwilę.","Birazdan gelirim.",""
"5A5C104044DB70906E1E72A0563084F3","CinematicNode_Response_1","...","…",""
"97788B4A43D81B2D431AD5A6DDBBC8A8","CinematicNode_Response_1","...","…",""
"1D1C7F0A49625A2EDCA91284CCD30389","CinematicNode_Response_11","Zapraszam, wejdźcie.","Buyurun, girin.",""
"96B4CDA3414E216F1FD26FABFF1244C3","CinematicNode_Response_11","Nikt nie powinien w takiej chwili stać sam.","Böyle bir anda kimse yalnız dikilmemeli.",""
"A6E596E74EA523AF43415D8E4243AEEF","CinematicNode_Response_12","Emir, oni zabili Michała.","Emir, Michał'ı öldürdüler.",""
"C1F51CF74B7F2BCE90A73AAF2595C074","CinematicNode_Response_12","Nie wszystek przepadł, pamiętaj.","Hepsi kaybolmadı, unutma.",""
"336DB1FC4AE64C1037F5BABCF2FA1BA5","CinematicNode_Response_13","Emir, oni zabili chłopców.","Emir, çocukları öldürdüler.",""
"1ADCA6D346C15300B35E53AE42EE9EC0","CinematicNode_Response_13","Nie wszystek przepadli, pamiętaj.","Hepsi kaybolmadı, unutma.",""
"02C356754B1ABE233F89FBA62AA1E48B","CinematicNode_Response_14","Idę do Berka, reszta powinna wiedzieć.","Berk'e gidiyorum, geri kalanlar bilmeli.",""
"E40F0DF14D5DEE98C143CEA35F1D6E5E","CinematicNode_Response_15","Chodź, Janek.","Gel Janek.",""
"14808DDC43E04F7B3A0809B43B792434","CinematicNode_Response_16","...","…",""
"2F620B404F7B7E7BBBD58CBDF36F4082","CinematicNode_Response_18","Tak.","Evet.",""
"B1E677394ED44A8AAA626B9464B40A8D","CinematicNode_Response_4","Słynna <i>Madame Samira</> zaszczyciła moje skromne progi.","Ünlü <i>Madame Samira</> mütevazı kapımı onurlandırdı.",""
"5AA871F8473172DFBBBB259A9B2789A9","CinematicNode_Response_4","Dziękuję, że nas przyjąłeś.","Bizi kabul ettiğin için teşekkürler.",""
"DC2C95474F82B2BA332A2D809D490937","CinematicNode_Response_4","Musicie być wykończeni. Zapraszam na pokoje, schodami do góry. Za chwilę dołączę.","Bitkin olmalısınız. Odalara buyurun, merdivenden yukarı. Birazdan katılırım.",""
"11816E164BF9EA7DFB29169E60A56F8B","CinematicNode_Response_4","Idziesz?","Geliyor musun?",""
