"Hash","NodeName","PL","TR","Notes"
"1E20BC064C25231CC273E1BC235FBB7A","IC_lw_SMG_POIs","Egzotyczne przyjęcie u Hrabiego Orkowskiego","Kont Orkowski'nin Egzotik Daveti",""
"0CE26542462D9908723901B43A9989CA","IC_lw_SMG_POIs","Bogaty fircyk, hrabia Orkowski, wieczorem urządza przyjęcie z motywem ""Baśni tysiąca i jednej nocy"" w swoim apartamencie na ul. Erywańskiej 15. Wśród atrakcji wieczoru będzie między innymi możliwość spróbowania zagranicznych przysmaków. Aby dostać się na przyjęcie, wystarczy podać na wejściu hasło ""Szeherezada"".","Zengin züppe Kont Orkowski, akşam Erywańska Sokak 15'teki dairesinde ""Binbir Gece Masalları"" temalı bir parti veriyor. Akşamın cazibeleri arasında yabancı lezzetlerden tatma imkânı da var. Partiye girmek için kapıda ""Şehrazat"" parolasını söylemek yeterli.",""
"E7CD7E8A452EAF97B47042A50F522A60","IC_lw_SMG_POIs","Zgubione zaproszenie","Düşmüş Davetiye",""
"6E2FE4D348CC06C14A7657825B9AB64A","IC_lw_SMG_POIs","Gdzieś odbywa się przyjęcie z nielegalnymi rozrywkami. Aby tam wejść, wystarczy podać hasło ""Szeherezada"".","Bir yerde yasadışı eğlencelerin yer aldığı bir parti yapılıyor. Oraya girmek için ""Şehrazat"" parolasını söylemek yeterli.",""
"782A6C2047BCF6634A78E28F86773DA9","IC_lw_SMG_POIs","Pamiętnik dewotki","Dindar Kadının Hatıra Defteri",""
"8FDA7844439AEA2631CBA28B74B37F5F","IC_lw_SMG_POIs","Odręcznie zapisana kartka, brzeg jest przetarty. Musiała wypaść wskutek wielokrotnego wertowania. Według słów autorki w apartamencie przy ul. Erywańskiej 15 odbywają się przyjęcia, których charakter jest dla autorki wątpliwy.","Elle yazılmış, kenarı yıpranmış bir kâğıt. Çok kez sayfa çevrildiği için düşmüş olmalı. Yazara göre Erywańska Sokak 15'teki dairede, yazarın gözünde karakteri şüpheli partiler düzenleniyor.",""
"66D388D34491DF83FEBF1EAC042FDAC5","IC_lw_SMG_POIs","Dyspozycja dla kuriera","Kuryeye Talimat",""
"5CE93CB84CEB59EEB482A3868BD8A056","IC_lw_SMG_POIs","Jakaś tajemnicza paczka ma zostać dostarczona wieczorem do apartamentu na ul. Erywańską 15. ","Akşam Erywańska Sokak 15'teki daireye gizemli bir paket teslim edilecek. ",""
"13DCECC94B0A7464107C03B8252E9467","IC_lw_SMG_POIs","Szary papier","Gri Kâğıt",""
"3F43E13744B9B7E2031B82B0C5A2CB43","IC_lw_SMG_POIs","Szary papier pachnie strachem i czujnością. Sznurek wokół pakunku wiązały wprawne ręce, przez które przechodził słaby impuls stresu. A co, jeśli tym razem paczka wpadnie w niepowołane ręce...","Gri kâğıt korku ve tetiklik kokuyor. Paketin etrafına ipi, içlerinden zayıf bir stres titreşimi geçen usta eller bağlıyordu. Ya bu sefer paket yanlış ellere düşerse…",""
"857C447D4D6FDE83FDF844824A85895E","IC_lw_SMG_POIs","Egzotyczna ceremonia","Egzotik Tören",""
"4E4D7DC240394EC8D867AE9EF813E463","IC_lw_SMG_POIs","Na ul. Erywańskiej 7 mieszka Lady Dragonfly, luksusowa kurtyzana, która dużo podróżuje. Oferuje swoim klientom niezwykłe doznania podczas ceremonii rozpieszczającej zmysły.","Erywańska Sokak 7'de, çok seyahat eden lüks kurtizan Lady Dragonfly oturuyor. Müşterilerine duyuları şımartan tören sırasında olağanüstü deneyimler sunuyor.",""
"49E6415A4C8D7B5D80CC0B8CE9D39B08","IC_lw_SMG_POIs","Odważna fotografia","Cesur Fotoğraf",""
"361E255A4462550F2F3B93BBE92EE046","IC_lw_SMG_POIs","Zdjęcie przedstawiające kobietę w negliżu. Lady Dragonfly jest atrakcyjną i niezbyt skromną kobietą.","Soyunuk hâlde bir kadını gösteren fotoğraf. Lady Dragonfly çekici ve pek de alçakgönüllü olmayan bir kadın.",""
"039A9E3842E2B250E47E719610BE02F2","IC_lw_SMG_POIs","Pamiętnik dewotki ","Dindar Kadının Hatıra Defteri ",""
"A51DC2AB4D63EB09EF7579B1EEF45781","IC_lw_SMG_POIs","Strona zapisana odręcznym pismem, z przetartym brzegiem. Wygląda, jakby wypadła na skutek wielokrotnego, gwałtownego wertowania. Z treści wynika, że przy ulicy Erywańskiej 7 mieszka ""artystka operowa"", która słynie z zamiłowania do zagranicznych podróży.","Elle yazılmış, kenarı yıpranmış bir sayfa. Çok kez, sertçe sayfa çevrildiği için düşmüş gibi görünüyor. İçeriğinden anlaşılıyor: Erywańska Sokak 7'de yabancı yolculuk tutkusuyla ünlü bir ""opera sanatçısı"" oturuyor.",""
"02FFA8934F334EEEDB3112A9FE1A3736","IC_lw_SMG_POIs","Ulotka","El İlanı",""
"9D4355364D2975479504098A1A62193C","IC_lw_SMG_POIs","Wydruk reklamujący usługi kurtyzany. Większość tekstu zamazała się pod wpływem wilgoci i błota.","Kurtizan hizmetlerini tanıtan bir baskı. Metnin büyük kısmı nem ve çamur yüzünden silinmiş.",""
"854FA25E4015B9F908BA06B8F379F4D5","IC_lw_SMG_POIs","Brutalna sesja terapeutyczna","Sert Tedavi Seansı",""
"2ED88B52423DFD42AF9504BDD75B111E","IC_lw_SMG_POIs","Doktor Konstanty Jasiński mieszka na ul. Plebańskiej 4/7. Jest masażystą, który nie patyczkuje się z pacjentem, za to potrafi wyleczyć różnorakie bóle. Można się do niego udać codziennie między 16.00 a 19.00.","Hekim Konstanty Jasiński, Plebańska Sokak 4/7'de oturuyor. Hastayla nazlanmayan ama çeşitli ağrıları iyileştirebilen bir masözdür. Her gün 16.00 ile 19.00 arasında ona gitmek mümkün.",""
"78736F2B4B271358E50BD39E4906680A","IC_lw_SMG_POIs","List","Mektup",""
"040F04E447A6A5A18332E59E9A048D24","IC_lw_SMG_POIs","Wiadomość z poradami dla cierpiącego przyjaciela: Jan poleca Konstantego Jasińskiego, który mieszka pod numerem 7 i ""potrafi doprowadzić człowieka do ładu"".","Acı çeken bir dosta tavsiyeler içeren mesaj: Jan, 7 numarada oturan ve ""insanı yola getirebilen"" Konstanty Jasiński'yi öneriyor.",""
"405217324CDC7E08925E5594C5397927","IC_lw_SMG_POIs","Skarga","Şikâyet",""
"0C3AB7A54653487466FC33913D9A6E53","IC_lw_SMG_POIs","Skarga na sąsiada adresowana do stróża - mieszkańcy kamienicy uskarżają się, że między 16.00 a 19.00 z mieszkania nr 7 dobiegają dziwne jęki.","Bekçiye hitaben yazılmış komşu şikâyeti — konak sakinleri, 16.00 ile 19.00 arasında 7 numaralı daireden tuhaf inlemeler geldiğinden şikâyetçi.",""
"1E93B1DB40F629136557DD9FA8E6FBF6","IC_lw_SMG_POIs","Strona z czasopisma ""Kolce""","""Kolce"" Dergisinden Sayfa",""
"8B36A6384E10E385B1BA30A9A5099EBB","IC_lw_SMG_POIs","Kartka wycięta z pisma, z zakreśloną piórem krótką satyrą na doktora Jasińskiego. Znany w całej Warszawie masażysta mieszka na ul. Plebańskiej.","Dergiden kesilmiş, kalemle çevrelenmiş hekim Jasiński hakkında kısa bir hicvi taşıyan bir sayfa. Tüm Varşova'da tanınan masöz, Plebańska Sokak'ta oturuyor.",""
"3D7C67534437FFF3483132B97A1CA073","IC_lw_SMG_POIs","Niezwykły instrument","Olağanüstü Enstrüman",""
"6897B5C5475DA956EF3EB7B5B39A1F7C","IC_lw_SMG_POIs","15 września o 20.00 odbędzie się urodzinowa kolacja pianisty Jana Rockiego w jego mieszkaniu na ul. Próżnej 11. Z tej okazji wszyscy melomani z wyższych sfer będą mogli podziwiać jego najcenniejszy skarb - wyjątkowy fortepian, niegdyś własność Franza Liszta. Jubilat zapewne pozwoli chętnym zagrać na instrumencie i przekonać się, jak piękne dźwięki można z niego wydobyć.","15 Eylül 20.00'de Próżna Sokak 11'deki dairesinde piyanist Jan Rocki'nin doğum günü yemeği düzenlenecek. Bu vesileyle yüksek tabakanın bütün müziksever takımı onun en değerli hazinesini izleyebilecek — bir zamanlar Franz Liszt'e ait olan eşsiz bir piyanoyu. Jubile sahibi, isteyenlere enstrümanı çalmaya ve ondan ne güzel sesler çıkarılabileceğini görmeye izin verecek herhalde.",""
"7E549F5B4A7C80093386C0B2BC841AD6","IC_lw_SMG_POIs","Zaproszenie","Davetiye",""
"4DEAFA8A4608B73F5BDF16928FBD4F12","IC_lw_SMG_POIs","Elegancka kartka ukryta w zapieczętowanej kopercie. W piątek wieczorem odbywa się urodzinowa kolacja pianisty Jana Rockiego, na której pokaże on swój największy skarb.","Mühürlü bir zarfta saklı, şık bir kart. Cuma akşamı piyanist Jan Rocki'nin doğum günü yemeği yapılıyor; en büyük hazinesini orada gösterecek.",""
"CD9E5CFF48AFDDE4DAA02DA4D764736B","IC_lw_SMG_POIs","Referencje","Referans",""
"6FF37B824F429825720C4796383E0E46","IC_lw_SMG_POIs","Odręcznie zapisana rekomendacja polecająca stroiciela fortepianów oraz dołączona notatka. Jan Rocki zamówił na piątek najlepszego strociela fortepianów.","Bir piyano akortçusunu öneren elle yazılmış tavsiye ve ona iliştirilmiş bir not. Jan Rocki cuma günü için en iyi piyano akortçusunu çağırmış.",""
"5E8E4FCB465B9CD036599B9092848B51","IC_lw_SMG_POIs","Rachunek","Fatura",""
"A3A01DD64D7F7E117E1433BA8881B5B5","IC_lw_SMG_POIs","Lista produktów zamówionych w składzie towarów. Na Próżnej 10 ktoś szykuje wystawne przyjęcie.","Bir bakkaldan sipariş edilen ürünlerin listesi. Próżna 10'da biri görkemli bir parti hazırlıyor.",""
"E8A0FCF443EE89C2EF18A393F149E94E","IC_lw_SMG_POIs","Botaniczne skarby","Botanik Hazineleri",""
"70B06B444D1B96AF852107B3422D8ACF","IC_lw_SMG_POIs","Jan Notecki jest botanikiem, który podróżuje do Ameryki Południowej i przywozi stamtąd różne okazy storczyków. Jego kolekcję można obejrzeć 16 września między 14.00 a 19.00 pod pretekstem zwiedzania domu Noteckich, wystawionego na sprzedaż. ","Jan Notecki, Güney Amerika'ya seyahat edip oradan çeşitli orkide örnekleri getiren bir botanikçi. Koleksiyonunu 16 Eylül'de 14.00 ile 19.00 arasında, satışa çıkarılmış Notecki evini gezmek bahanesiyle görmek mümkün. ",""
"12F7B0CE4099903682566DBCD7F6148A","IC_lw_SMG_POIs","Pocztówka","Kartpostal",""
"75AFC33C4853DF3A7AA218B8A4A65DFC","IC_lw_SMG_POIs","Kartka pocztowa ze zdjęciem przedstawiającym Limę. Jan Notecki ma kolekcję niezwykłych zdobyczy z Ameryki Południowej.","Lima'yı gösteren bir fotoğraflı kartpostal. Jan Notecki, Güney Amerika'dan olağanüstü kazançlardan oluşan bir koleksiyona sahip.",""
"A585D49244DEB27DF62AE193E2BAB9B3","IC_lw_SMG_POIs","""Wskazówki do pielęgnowania roślin egzotycznych""","""Egzotik Bitkilerin Bakımı İçin İpuçları""",""
"C88BF64D48EDE5A2E3821CBD5A13F9B8","IC_lw_SMG_POIs","Podręcznik opatrzony ex librisem na pierwszej stronie. Właścicielką podręcznika opisującego pielęgnację storczyków jest Łucja Notecka.","İlk sayfasında ex libris bulunan bir el kitabı. Orkide bakımını anlatan el kitabının sahibi Łucja Notecka.",""
"CE96E1C24BFEC82C71438DBE2B7A92E1","IC_lw_SMG_POIs","Kurjer Codzienny","Kurjer Codzienny",""
"0C279C8943CD2F7791ED209B13FABC18","IC_lw_SMG_POIs","Zwinięta gazeta, na wierzchu widoczna rubryka z ogłoszeniami. Na ul. Erywańskiej 14 znajduje się dom Noteckich, który można obejrzeć 16 września od 2 do 7.","Rulo edilmiş bir gazete; üstünde ilanlar köşesi görülüyor. Erywańska Sokak 14'te Notecki evi var; 16 Eylül'de 2 ile 7 arasında gezilebiliyor.",""
"4728B724442C1808D2C7DB857017CEDF","IC_lw_SMG_POIs","Dyskusja o sztuce","Sanat Üzerine Tartışma",""
"75242B02403BEDF88E9F338203315E0C","IC_lw_SMG_POIs","Codziennie po południu w kawiarni ""La Plume"" na ul. Plebańskiej 5 można spotkać Zenona Przesmyckiego. Wystarczy go zagadnąć, aby zostać wciągniętym w porywającą dyskusję o sztuce.","Her gün öğleden sonra Plebańska Sokak 5'teki ""La Plume"" kahvehanesinde Zenon Przesmycki'yi görmek mümkün. Onunla bir laflamak yeter; sanat üzerine sürükleyici bir tartışmaya çekilirsin.",""
"26F61672440D3537CAD4FE9C30081036","IC_lw_SMG_POIs","Artykuł w ""Kolcach""","""Kolce""deki Makale",""
"C3E499BF42BDB7B3BEBC9E94B7E31BAC","IC_lw_SMG_POIs","Czasopismo satyryczne otwarte na stronie z pamfletem na znanego literata - według autorów Zenon Przesmycki ostatnio często przesiaduje w kawiarniach i restauracjach. Zagadnięty, potrafi długo dyskutować.","Tanınmış bir edebiyatçı hakkında bir hicviye taşıyan sayfada açık duran mizah dergisi — yazarlara göre Zenon Przesmycki son zamanlarda sık sık kahvehanelerde ve lokantalarda oturuyor. Sözünü açtığında uzun süre tartışabiliyor.",""
"81E3784B40D05A40A0AD2AB8E9B997BA","IC_lw_SMG_POIs","Zażalenie","Şikâyet",""
"F3B3DB3749C9490828F9649F2185F33E","IC_lw_SMG_POIs","List od niezadowolonego klienta adresowany do kawiarni ""La Plume"". Pan Maycher narzeka na to, że codziennie po południu najlepszy stolik przy oknie jest zarezerwowany dla pana Przesmyckiego.","""La Plume"" kahvehanesine hitaben yazılmış memnuniyetsiz bir müşterinin mektubu. Bay Maycher, her gün öğleden sonra pencere kenarındaki en iyi masanın Bay Przesmycki için ayrıldığından şikâyetçi.",""
"CC0D973F46DD288ADD72AFAD77AC9D60","IC_lw_SMG_POIs","Plakat reklamowy","Reklam Afişi",""
"F938E7784FB7A7C4D79EFCA2454FC6C3","IC_lw_SMG_POIs","Wydruk zachęcający do odwiedzenia cukierni """"La Plume"""" na ul. Plebańskiej 5, której stałym gościem jest między innymi Zenon Przesmycki.","Plebańska Sokak 5'teki ""La Plume"" pastanesini ziyaret etmeye davet eden bir baskı; müdavimlerinden biri de Zenon Przesmycki.",""
"079A0B3A494501CEE7E50A86F16E3314","IC_lw_SMG_POIs","Gra w karambol","Karambol Oyunu",""
"8D87C23D4A9B64A796E424815DA2401D","IC_lw_SMG_POIs","W barze ""La Fourchette"" można stoczyć pojedynek za pomocą kijów i kul - podczas gry w karambol. Dziś wieczorem zwolniła się rezerwacja, jest to więc doskonała okazja, by spróbować tej gry.","""La Fourchette"" barında ıstaka ve toplarla — karambol oyunu sırasında — bir düello kapışılabilir. Bu akşam bir rezervasyon iptal oldu; o yüzden bu oyunu denemek için kusursuz bir fırsat.",""
"6D294A104AD2E325B6BE07910A78403D","IC_lw_SMG_POIs","Wyzwanie na pojedynek","Düelloya Davet",""
