"Hash","NodeName","PL","TR","Notes"
"9E321B9346E7693C030FACBB512B1B98","CinematicNode_Choice_3","Zapytaj, o co chodzi.","Ne olduğunu sor.",""
"B6B9679F485C3CBF9B1FBAB911D94161","CinematicNode_Choice_3","Odwarknij antykwariuszowi.","Antikacıya dik tavırla cevap ver.",""
"1C17CF634A7305EC4045228DB0B52AFA","CinematicNode_Choice_3","1","1",""
"812B7C234402BFB5B740B39AA6E8C348","CinematicNode_Choice_3","2","2",""
"EB28AA3A4BE226D60D0AEAB6C660A2B5","CinematicNode_Choice_4","Przytaknij. Możesz to zrobić.","Onayla. Yapabilirsin.",""
"7913CB5144FBA3FC8A2CFE9DFDA6BDCB","CinematicNode_Choice_4","Zapytaj, skąd to przekonanie.","Bu kanaatin kaynağını sor.",""
"17F5A97B44FD691C33C0F481D86BC3BC","CinematicNode_Choice_4","1","1",""
"1143EA2D410F1A499F61D68BB187CFB5","CinematicNode_Choice_4","2","2",""
"CA149B6C45395E662D88E196BF8FE266","CinematicNode_Choice_5","Zaprzecz.","Reddet.",""
"B402BC2048AD63C5269364AE38EEA038","CinematicNode_Choice_5","Potwierdź.","Onayla.",""
"C9FC8E7A450ED2FEEF0ED49AA8D91BAB","CinematicNode_Choice_5","1","1",""
"76BAFF9545F45B08F26B71982BCAE6E4","CinematicNode_Choice_5","2","2",""
"2B1249394D180B5C3A1A679715A70457","CinematicNode_Response_10","Radziłbym ważyć słowa. Nie lubię kiedy nazywa się mnie złodziejem.","Sözlerinizi tartmanızı öneririm. Bana hırsız denmesini hiç sevmem.",""
"B93976A64E461709F2B7E2BF98957957","CinematicNode_Response_10","Pan mi grozi? Pan wie co się stało? Z jakimi emocjami ja się mierzę?","Bana tehdit mi ediyorsunuz? Ne olduğunu biliyor musunuz? Hangi duygularla boğuştuğumu?",""
"571A8CCD4C15DECC59A8A19870C470E6","CinematicNode_Response_11","Co się stało?","Ne oldu?",""
"E299DF894557576E4D578D85AFCED911","CinematicNode_Response_12","Owszem. Mogę to zrobić.","Evet. Yapabilirim.",""
