"Hash","NodeName","PL"
"1CA838624AC9E9B59FE566846EEFA650","CinematicNode_Choice_0","Powiedz, że wiesz już wszystko."
"668764564D82DFAE24A81E8061B08D1D","CinematicNode_Choice_0","Zapytaj, co Chajat pamięta z przywołania."
"37EDDEA143A98D8A87E5A488BEA47FA4","CinematicNode_Choice_0","Powiedz, że musisz się rozejrzeć."
"63854012413A5CF0B4C7E8AB4D068402","CinematicNode_Choice_0","1"
"79EF16904FF634E162AEC5B62D10B674","CinematicNode_Choice_0","2"
"5F5354A84E5A4F4675965F870E8BA3C8","CinematicNode_Choice_0","3"
"AABE205C4B3B889A69F3B59218426D26","CinematicNode_Choice_1","Rozwiąż mu język."
"740669284A3317BA96659E9604AB6630","CinematicNode_Choice_1","Zostaw go w spokoju."
"A5416D7A4CD08333CA963185EE1E5E3B","CinematicNode_Choice_1","1"
"E8FD644E40BA67694B3CE983AF917019","CinematicNode_Choice_1","2"
"988E5190450B6D5F81B54FB2D4D84754","CinematicNode_Choice_10","Wzrusz ramionami."
"C5AA9B77443EC790296F53A6AADD6B18","CinematicNode_Choice_10","Przyznaj, że mogłeś przesadzić."
"FFC4927B4D24FF4D799000AB5850AA79","CinematicNode_Choice_10","1"
"7E795A4D4F384E88742C2C93B49EA824","CinematicNode_Choice_10","2"
"ABAF35A24F81C4D16D37FD8B00FACDC9","CinematicNode_Choice_11","Powiedz, że to nieistotne."
"E384E1DC4F0AB08EF357D888AE972D4D","CinematicNode_Choice_11","Potwierdź."
"E21F33E54CC06FF73778BDBAF19F33FA","CinematicNode_Choice_11","1"
"0A584D894F8A87B5B571B09551BDD28C","CinematicNode_Choice_11","2"
"DC543422432F71786EF749A7605D344B","CinematicNode_Choice_2","Zwróć uwagę na zrujnowaną ścianę."
"0E6040FD4C4637F974056F987CE88D87","CinematicNode_Choice_2","Wskaż na wiadra z gliną."
"566332054EA23C4C6D73BBB00A800531","CinematicNode_Choice_2","Opowiedz o zapisanym kawałku materiału."
"A52FC44746240A5DE342FF83CE20B592","CinematicNode_Choice_2","1"
"762FA3DB4F8AE9F144D1F993407B836E","CinematicNode_Choice_2","2"
"A4A2848E43AF6417B4B8E08F94B7826F","CinematicNode_Choice_2","3"
"04CAA4CC4D2E3AA02A27A0A2C95408A7","CinematicNode_Choice_6","Powiedz, że ojciec nie zasłużył na klątwę."
"1BB90B2440722FA64B87A8A509857D94","CinematicNode_Choice_6","Przyznaj, że ojcu należała się kara."
"BF1B145C4AEB9AB2DD3301AD2FB40996","CinematicNode_Choice_6","Oświadcz, że nie będziesz go teraz oceniał."
"A0384E664D4F4A444B46FEA4AF89CA4C","CinematicNode_Choice_6","1"
"25CE676347B59BE3536FFA895660E161","CinematicNode_Choice_6","2"
"CDD7DBA44ADF06553E9DEEB13F0274C8","CinematicNode_Choice_6","3"
"3AA1E1F8443FEB029A8150B318860E71","CinematicNode_Choice_7","Powiedz, że dał się przyłapać."
"3A8B89FF4441191D305D039E7CCFD104","CinematicNode_Choice_7","Powiedz, że skrzywdził człowieka."
"C17B6B254CA8900B7B5EDCA00362DC12","CinematicNode_Choice_7","Powiedz, że pozwolił, aby klątwa przeszła dalej."
"046D94F941A93F2FD6BC85B73C4AC414","CinematicNode_Choice_7","1"
"84AAE72D488AACFA02BC3CAC66E249D0","CinematicNode_Choice_7","2"
"AB9D4CDF48ECCFFBEBC3C4996712F65B","CinematicNode_Choice_7","3"
"EC04F0714DD8BEF3FBDC07A16E2AB623","CinematicNode_Choice_8","Uważasz, że kara ojca nie powinna dotyczyć jego dzieci."
"2960C3A6476D734B4D0FF59A34C73EC8","CinematicNode_Choice_8","Sądzisz, że ojciec stanął przed wyborem i wybrał słusznie."
"2522EFDB4632B1B697CB1AB11411B2C3","CinematicNode_Choice_8","Powiedz, że żartujesz. Od zawsze życzyłeś ojcu źle."
"42ABB7CC4D410F6142D4BD93B4524E01","CinematicNode_Choice_8","1"
"7346B6BE444B79824234E484C02CF89E","CinematicNode_Choice_8","2"
"07EF357D48F6509999EFE9A87C4B2AFA","CinematicNode_Choice_8","3"
"209F49464D62160B645B85B035F98FCA","CinematicNode_Choice_9","Opuść podziemia."
"8C2DE3414AB06831CC2CCB92E57FCF5D","CinematicNode_Choice_9","Powiedz, że wyjdziesz sam."
"6B81D7EF40AC8232C360A187E7B5CF7D","CinematicNode_Choice_9","1"
"9C37E1C74E13170F2F5070AD95B1D0CC","CinematicNode_Choice_9","2"
"6738E5114B67B24F639899AB29752130","CinematicNode_Response_0","Długo to jeszcze potrwa?"
"1BC2B5834F9891C31AB84C8E214B54C1","CinematicNode_Response_1","..."
