"Hash","NodeName","PL"
"4E82E69F4195215859CACEA093B69857","IC_lw_smg02","Rekwizyt"
"A2B1D3C644BF0F58991630A6850F4DFA","IC_lw_smg02","W przestrzeni ojca znalazłem kilka przedmiotów, które spokojnie mogę wykorzystać do wykładu. O każdym można rozprawiać godzinami. Dokonałem słusznego wyboru."
"199093814DBF04B1556C929524430E77","IC_lw_smg02","Wybierz przedmiot, który posłuży Ci do wykładu."
"1ED4F20D491642EF1C2A4381F6B015E4","IC_lw_smg02","Maska Welesa"
"1A27BD0A41835603BDF31F9A5B2161A2","IC_lw_smg02","Weles zupełnie niepodobny. Może autor tylko ilustrował opis kogoś, kto widział salutora?"
"26CFC8144BF9513D70D6EEBB5DCD8BE4","IC_lw_smg02","???"
"F9F56ACC4C9DC9D46CC52AB02CA474FF","IC_lw_smg02","Wciąż tli się na niej figlarna uciecha Ligii, kiedy wyskoczyła w niej na mnie i przestraszyła niemal na śmierć."
"2EBF50CF42F2934C3741C29E3988E301","IC_lw_smg02","Grzebień Stanisława"
"3C472272460FFA8375261CB88BAFADF1","IC_lw_smg02","Myśli thaumaturga zebrane w niepozornym przedmiocie codziennego użytku. Ohyda. Jeszcze włos został. Strzepnąć go, czy nie strzepnąć?"
"F5860981419934079FD1A785F759EA3B","IC_lw_smg02","???"
"D3B06FB14F6F9A8903CC4C96074DAD52","IC_lw_smg02","Wystudiowane ruchy przeczesują rzednącą czuprynę. Myśli ojca płynęły niekontrolowanym strumieniem. Wahał się między intencjami. Ukarać syna? Wejść w układ? Odesłać go? Jak go ocalić?"
"A41AFC70491FC383E1E9009A2908E12F","IC_lw_smg02","Stara książka antythaumaturgiczna"
"24A5E5A3467F1C58F22C1594BF0006F2","IC_lw_smg02","Paszkwil na thaumaturgów w tradycji ciemnego średniowiecza. Mokry sen inkwizytorów."
"49FBE3AA48E691A03FCF7293A068154A","IC_lw_smg02","???"
"BE9658DC4A8CF7FCE699A995BA268E80","IC_lw_smg02","Ojciec długo szukał tej książki i dopiero matka przez swoje kontakty mu ją sprowadziła. Po książce pełga szczerość. To pewnie z czasów, kiedy jeszcze ze sobą rozmawiali."
"35B1A05F4443B68EB87EDD9C6DB8419F","IC_lw_smg02","Weryfikacja Poliny"
"26FECE3341CFC1C7EDD5CDACD8FE99CF","IC_lw_smg02","Polina nie jest wtyką Ochrany w Uniwesytecie Latającym. Jest szczerze zaangażowana w działalność Dicksteina oraz w brydżowe rozgrywki, które zresztą często wygrywa."
"2EDE97234F1B1CB2649A2E9999593B75","IC_lw_smg02","Zweryfikuj Polinę Gawriłow."
"7EF1E31F42BD7837976EDDAB424AA701","IC_lw_smg02","Nieufność studentów"
"9EAE1F6F4490A3D1A4798CB3A18B72D6","IC_lw_smg02","Polina nie cieszy się zaufaniem. Studenci podejrzewają, że współpracuje z Ruskimi."
"D28A73BB4EB533690E74119D2CE2EF47","IC_lw_smg02","Poczucie odrzucenia"
"0ECA094B49607E3F4D292BBBA65EB60C","IC_lw_smg02","Polina przeżywa krzywdzące podejrzenia. Szczerze?"
"2DA6439147957EEC969E94B0013B2B94","IC_lw_smg02","Moneta Poliny"
"5F804B4645FC0F8C451F98ABCBA48DF9","IC_lw_smg02","Zaśniedziała kopiejka."
"9313990B40EE7675568B3C99400B25FD","IC_lw_smg02","???"
"35D7C55F41CDCC287904A184AF0F1D4F","IC_lw_smg02","Od pierwszego dotyku czuć, że po monecie pełga żal Poliny. Miesza się z obawą, czy aby kopiejka na pewno do niej wróci. Czuć, że zdobyła ją z trudem, ogrywając szulerów na Mirowie. Nauki Dicksteina znalazły praktyczne zastosowanie."
"7FE38B7749DF1E4132B5D8B33C842126","IC_lw_smg02","Podejrzane towarzystwo"
"01EA86A549E24EC868609EB575066FAE","IC_lw_smg02","Wiele wskazuje na to, że wśród studentów Uniwersytetu Latającego ukrywa się ktoś nieprzychylny lub zbierający informacje. Ja i Ligia też wpadliśmy w krąg zainteresowań fałszywca."
"874D6D5A45628683A28C8987FDF7CAC2","IC_lw_smg02","Dowiedz się kim jest agent Ochrany."
"84D92D874281406708765DB92105B29A","IC_lw_smg02","Kieliszek po koniaku"
"98FC066C4F69787F016B63BEDDBD34DA","IC_lw_smg02","Ligia częstuje gości wykwintnym koniakiem."
"ACF5B6CA4CEE6742897B33AAF4C5BBA7","IC_lw_smg02","???"
"D0BCBABA49A741145F7B1C9951B4B727","IC_lw_smg02","Słowa ""dworny smak burżujstwa"" wiszą wciąż na krawędzi kieliszka. Ktoś sączył trunek, patrzył na tłumek i myślał pogardliwie o zebranych. Pysznił się swoim sprytem."
"E6F20019487EF021289EDAA72DF9D782","IC_lw_smg02","Konik na biegunach"
"1D72367A49286AF4D71EA5AEBAED2967","IC_lw_smg02","Wierny towarzysz moich dziecięcych zabaw."
"6FDD70514873C20C95D9A7892C21FC93","IC_lw_smg02","???"
"B652AF3042520F93B8DAA4B2875D60BF","IC_lw_smg02","Kogoś wyraźnie zafrapował widok konika w pokoju dorosłego mężczyzny. ""Ktosia"" spłoszył nagły hałas z pokoju obok."
"957688F949C8CF65A87680BC575BD652","IC_lw_smg02","Framuga pokoju Ligii"
"C50BD1A94544FE7FAB9F67ACF5D4D42D","IC_lw_smg02","Kreski wyryte w drewnie, znaczyły nasz wzrost."
"513B03F047AE8553E86FE989DBBCB221","IC_lw_smg02","???"
"4D8EAE694A518F637F15EF99B46B3242","IC_lw_smg02","Na framudze, przepełnionej rodzinnymi wspomnieniami czuć czyjeś chwilowe wahanie przed wejściem. Ktoś się opierał dłuższą chwilę o framugę, ale ostatecznie zrezygnował. Coś innego musiało go zainteresować."
"30BAE2F24A1D5F816BAE1F9AA32D48F4","IC_lw_smg02","Wielbicielka numer jeden"
"CEC7DE304E37DB5D0CB5FDB2FF20E316","IC_lw_smg02","Moje wątpliwości, co do intencji i potencjalnych uczuć panienki, zostały brutalnie zweryfikowane. Cecylię interesuje wiedza thaumaturgiczna, nie thaumaturdzy. Nieistotne, jak bardzo są przystojni i dowcipni."
"57A5B1AB4FC97D3FC6BB249DD71F1DF9","IC_lw_smg02","Przygotuj się do wykładu"
"23C3460345E55D3698A90AA6F420E641","IC_lw_smg02","Niespodziewany gość"
"B4BC2ABB4F6F237105D8C2841C1C72ED","IC_lw_smg02","Wścibska Cecylia szperała w gabinecie papy!"
"1D0CDD324D96E70F8684DB84E88D4D31","IC_lw_smg02","Moneta Cecylii"
"7CDE2BB8412488103B971D80F6E67106","IC_lw_smg02","Ruski bilon. Symbol opresji zaborcy."
"145B240B48CFAC7ED77F8AA2EBCBA223","IC_lw_smg02","???"
"C4EAF042478B0109499844B41F2247F3","IC_lw_smg02","Nawet w tym kawałku metalu o znikomej wartości czuć wyraźnie ekscytację z powodu tego, że to właśnie Cecylię wybrałem do mojego eksperymentu."
"5CEAC2544FF75383FA5021A6CB017D87","IC_lw_smg02","???"
"3FA179074445777DD2E5EE835C7A94C8","IC_lw_smg02","Zza okna z pobliskiej cerkwi, słychać nabożeństwo. Palce uporczywie obracają monetę, a myśli błądzą pytająco. Czy thaumaturgia jest miła Bogu?"
