"Hash","NodeName","PL","TR","Notes"
"30B7D207492344DED5BA1B919EBB3399","lw_pw02_journal","Konie na niebie","Göklerde Atlar","Görev başlığı; imkânsız şey deyimi"
"0F7E66054C3D5C95C8C36F9552E91683","lw_pw02_journal","Jeśli mam zdobyć Moranę, muszę przekonać Pielewina do wznowienia śledztwa. Trzeba znaleźć prawdziwego mordercę Rybaka i uniewinnić Kajetana.","Morana'yı elde etmek istiyorsam Pielewin'i soruşturmayı yeniden açmaya ikna etmeliyim. Balıkçı'nın gerçek katilini bulup Kajetan'ı aklamam gerek.",""
"A4DDC2B042784871A0C8799A5774F8DB","lw_pw02_journal","Miejscowe dzieciaki, na czele z niejakim Piotrkiem, ukradły haczyk z ciała ostatniej ofiary. To dowód, który z pewnością mógłby pomóc w śledztwie.","Başlarında Piotrek adında biri bulunan yerli çocuklar, son kurbanın cesedinden bir oltayı çalmış. Soruşturmaya yardımı dokunacağı kesin bir delil.",""
"FC3D7B25425BE083FA3EB5B3A7BEF0FB","lw_pw02_journal","Dzięki zdobyciu haczyka i małej pomocy salutora udało mi się nakłonić Pielewina do wznowienia śledztwa w sprawie Rybaka.","Oltayı ele geçirmem ve salutorun ufak bir yardımı sayesinde Pielewin'i, Balıkçı davasının soruşturmasını yeniden açmaya ikna ettim.",""
"12AC1C844745033729B20F89612E3C77","lw_pw02_journal","Mój nowy pomocnik, Piotrek, jest bardzo zaangażowany. Poradził mi wypytać o sprawy śledztwa powiślańskie panny lekkich obyczajów. Można je spotkać w alejkach, po zmroku.","Yeni yardımcım Piotrek fazlasıyla hevesli. Soruşturma meseleleri hakkında Powiśleli hafifmeşrep hanımlara danışmamı salık verdi. Onlara ara sokaklarda, karanlık bastıktan sonra rastlanır.",""
"54496097403F5C5C7A59A39C29776345","lw_pw02_journal","Opłacało się iść za radą Piotrka. Dowiedziałem się, że ""Księżycówka"" była ulubionym barem Pielechy. Warto się tam rozejrzeć.","Piotrek'in tavsiyesine uymaya değdi. ""Księżycówka""nın Pielecha'nın en sevdiği bar olduğunu öğrendim. Orayı bir kolaçan etmeye değer.",""
"F0B9EA9E42358D378B7F36B50B618834","lw_pw02_journal","Obrączka ślubna Tadeusza wylądowała w lokalnym lombardzie. Gdybym ją zdobył, może wyczytałbym z niej coś pożytecznego.","Tadeusz'un alyansı yerel bir rehinci dükkânında bulunmuş. Onu ele geçirirsem belki ondan işe yarar bir şeyler okurum.",""
"52BC57314DB93068C4FD3AB269EFAD5B","lw_pw02_journal","W pokojach lupanaru nie znalazłem niczego nowego na temat Pielechy, ale odkryłem tożsamość Rybaka. To Klara zabija. Muszę ją odszukać.","Genelevin odalarında Pielecha hakkında yeni bir şey bulmadım, ama Balıkçı'nın kimliğini keşfettim. Klara öldürüyor. Onu bulmalıyım.",""
"3297CA544B8985216891B99B181EE937","lw_pw02_journal","Udało mi się zlokalizować kryjówkę Rybaka. Teraz tylko rozważyć wszystkie za i przeciw... Iść tam samemu? Czy może wziąć ze sobą Pielewina?","Balıkçı'nın sığınağını tespit etmeyi başardım. Şimdi yalnız bütün artıları ve eksileri tartmak kaldı… Oraya tek başıma mı gideyim? Yoksa Pielewin'i yanıma mı alayım?",""
"CFB083374C94AC9DF4B7CABB4177B759","lw_pw02_journal","Konfrontacja zakończyła się bez ofiar. Piotrek musi dojść do siebie, a Klara skończy za kratkami. Pielewin zadzwoni do mnie, gdy tylko wypuszczą Kajetana z aresztu.","Yüzleşme kurban vermeden sona erdi. Piotrek kendine gelmeli; Klara ise parmaklıklar ardında son bulacak. Pielewin, Kajetan'ı nezaretten çıkarır çıkarmaz beni arayacak.",""
"0E0EC3D649CA14E9D94394902908486B","lw_pw02_journal","Rybak, czyli ciocia Klara. Tym razem, na jej stole znalazł się Piotrek, ponieważ zbytnio zbliżył się do prawdy.","Balıkçı, diğer adıyla Klara teyze. Bu sefer tezgâhında Piotrek vardı; gerçeğe fazla yaklaşmıştı.",""
"7DB5EE004C0FD87E5AC03EB65534F40A","lw_pw02_journal","Klara była zdeterminowana, żeby zabić Piotrka, na co nie mogłem pozwolić. Chłopak przeżył, ale w wyniku mojej interwencji dziewczyna odebrała sobie życie... Pielewin zadzwoni do mnie, gdy tylko wypuszczą Kajetana z aresztu. ","Klara, Piotrek'i öldürmeye kararlıydı; buna izin veremezdim. Oğlan sağ kaldı, ama müdahalem sonucu kız kendi canına kıydı… Pielewin, Kajetan'ı nezaretten çıkarır çıkarmaz beni arayacak. ",""
"5CE6C5564080E08D5204F8B01D4D93F3","lw_pw02_journal","Oboje, Klara i Piotrek, nie żyją. Nie zdołałem powstrzymać morderczyni. Pielewin był wściekły, ale obiecał zadzwonić do mnie, gdy wypuszczą Kajetana z aresztu. ","Klara da, Piotrek de hayatta değil. Katili durdurmayı başaramadım. Pielewin köpürdü, ama Kajetan'ı nezaretten çıkardıklarında beni arayacağına söz verdi. ",""
"DBC71F3348B29BE32F2DA78FF9864803","lw_pw02_journal","Dzwonił Pielewin. Kajetan został zwolniony z aresztu. Znajdę go pewnie w jego ruderze.","Pielewin aradı. Kajetan nezaretten salıverildi. Onu muhtemelen harabesinde bulurum.","rudera → harabe (glossary)"
"2B8A984E4D9E4628030AA5890EEA1741","lw_pw02_journal","Udało mi się schwytać Moranę i uwolnić od niej Kajetana. Wierzę, że bez jej towarzystwa, malarzowi będzie lepiej.","Morana'yı yakalamayı ve Kajetan'ı ondan kurtarmayı başardım. Onun eşliği olmadan ressamın daha iyi olacağına inanıyorum.",""
