"Hash","NodeName","PL","TR","Notes"
"1CA71E0343E04AB2163515A5E62515A4","CinematicNode_Response_10","...","…",""
"C6D39C7A4B56D739E0D8DE91DC3E40B9","CinematicNode_Response_16","Widzisz? To twój nieuchronny, okrutny koniec.","Gördün mü? Bu senin kaçınılmaz, zalim sonun.",""
"37022CC648F53D3FF33BF9B5083079FA","CinematicNode_Response_17","...","…",""
"8DD9A781482AF46BF00DDD9B8BFA54DB","CinematicNode_Response_18","Zbliża się...","Yaklaşıyor…",""
"49BD0E4447D7C5A6D9BED180B461DEF5","CinematicNode_Response_18","Nie uciekniesz przed nim ani się nie schowasz.","Ondan ne kaçabilir ne de saklanabilirsin.",""
"5ACD3D924CAE64F9EC575684DAA12DC1","CinematicNode_Response_18","Nie chcę umierać.","Ölmek istemiyorum.",""
"A4C7F6E445621E353AF5999CE88B6E08","CinematicNode_Response_18","To nie zależy od ciebie. Czasami musisz przyjąć cios.","Bu senin elinde değil. Kimi zaman darbeyi kabullenmen gerek.",""
"E1F7BB644FCBAD57D4A470A8C76CB32A","CinematicNode_Response_19","...","…",""
"94C5645A4C5B608EA642D49C6B1E6899","CinematicNode_Response_20","Teraz! Wydaj mu rozkaz!","Şimdi! Ona emir ver!",""
"18947C9E4B2998592155099C4EDE4F2B","CinematicNode_Response_20","Od teraz ty... będziesz mi... posłuszny!","Bundan böyle sen… bana… itaat edeceksin!",""
"7CF471C64AC2EE6E219149A407B1A37D","CinematicNode_Response_6","...","…",""
