"Hash","NodeName","PL","TR","Notes"
"E78E6C1D464B5D1350D59389F8344359","CinematicNode_Choice_0","Przyznaj, że masz ważniejsze sprawy.","Daha önemli işlerin olduğunu itiraf et.",""
"CA5E84E94169DAC4C7E965863808EEA9","CinematicNode_Choice_0","Przyznaj, że nie jesteś zainteresowany.","İlgilenmediğini itiraf et.",""
"D6FE87B84A15B5E6ECAEA293509A63E8","CinematicNode_Choice_0","1","1",""
"0FFC36564581352248D6389ECACBB472","CinematicNode_Choice_0","2","2",""
"B06EA2324C78042B9D84F4B21C174C04","CinematicNode_Response_0","W samą porę panicz przyszedł, ja już miałam zakluczyć drzwi, bo wykład się zaczyna.","Tam zamanında geldiniz efendim, kapıyı tam kilitleyecektim, ders başlıyor.",""
"4866938B45ABA9C27A4182AA5DA2F09A","CinematicNode_Response_0","Jaki wykład?","Nasıl bir ders?",""
"49F3800441A6CBCE345534941D1D1803","CinematicNode_Response_0","Panienka Ligia, ona taka ambitna, udziela się w tej <i>szkole fruwającej.</> I nie chce, żeby kto wyfrunął jej z wykładu.","Hanımefendi Ligia, çok azimli biri, şu <i>uçan okulda</> faaliyette. Ve kimsenin dersinden kaçmasını istemiyor.",""
"E1AFA17D45964D5248F98DBA4ADCEE05","CinematicNode_Response_0","Pan jej spyta.","Siz ona sorarsınız efendim.",""
"46417FF141FB42A423631CA6B22AFC2B","CinematicNode_Response_1","Grażynko, Grażynko. Grażynka odkluczy drzwi, proszę.","Grażynka, Grażynka. Grażynka kapıyı açar lütfen.",""
"C5A5F07E417BD798397405BBCB3E17DA","CinematicNode_Response_1","Nie, nie, ja dałam słowo panience, że właśnie tego nie zrobię.","Hayır, hayır, hanımefendiye söz verdim, tam bunu yapmayacağım diye.",""
"AABE6CB24B30DF7A2ABAE7B7FFFD9320","CinematicNode_Response_1","A czemu panicz nie chce zostać na wykładzie?","Peki efendim neden derste kalmak istemiyor?",""
"292F15BA49AE111B7853BE8A0A1AF3D0","CinematicNode_Response_2","Nie mam w tej chwili zbyt wiele czasu i pili mnie kilka spraw na raz, rozumie Grażynka.","Şu an çok vaktim yok ve birkaç iş aynı anda beni sıkıştırıyor, anlıyor musun Grażynka.",""
"11C4998F4B77E6790A7ACA80FDBE2422","CinematicNode_Response_3","To sprawy mojej siostry, nie moje.","Bunlar kız kardeşimin işleri, benim değil.",""
"EAA858474BCB317EDD5AE0BF04705C7C","CinematicNode_Response_4","Dziękuję Grażynko, nawet ja o niej zapomniałem. Może niech to nadal zostanie tylko między nami?","Teşekkürler Grażynka, ben bile onu unutmuştum. Belki bu aramızda kalsın?",""
"170FB4F541A125065290BCB3BF24AE9B","CinematicNode_Response_4","Ja nic nie widziałam, ja nic nie wiem. Ja idę do kuchni, żeby nawet na to nie patrzeć.","Ben hiçbir şey görmedim, hiçbir şey bilmiyorum. Mutfağa gidiyorum, bunu bile görmemek için.",""
