"Hash","NodeName","PL"
"E325C3354A0A14560A987387266501B2","CinematicNode_Choice_4","Powiedz, że wierzysz w jego cudowną moc."
"7C99EF5B4DD8B94EF80B79AF3FDCD291","CinematicNode_Choice_4","Powiedz, że sam chcesz się przekonać."
"D44B2C1E446BACE244C9339F827D1EC7","CinematicNode_Choice_5","Wyjaśnij, jak go odnalazłeś."
"2B7136F5431909BA2893B0902D555A07","CinematicNode_Choice_5","Powiedz, że urodziłeś się w Warszawie."
"BAA64A1042248A5DDA04869AA068B469","CinematicNode_Choice_6","Przyjmij wyzwanie."
"7B8FA4764BFEAD0ADBE9849CDD54973A","CinematicNode_Choice_6","Przyznaj, że nie jesteś w pełni swoich mocy."
"D69FBAA14786D0B86219B08F447DD366","CinematicNode_Choice_7","Powiedz, że masz już wszystko, czego potrzebujesz."
"157845EA46B2BF20EE04928FF82CD9EC","CinematicNode_Choice_7","Przyjrzyj się przedmiotowi."
"BD6613FC46BD4E0EF120108FDB38275A","CinematicNode_Response_15","Proszę wybaczyć, czy pan nazywa się Grigorij Jefimowicz Rasputin?"
"3F9A3865442DC7E9E794CDAA618BFC81","CinematicNode_Response_15","Wybaczam."
"5117643E4467B1728390209EF9390D0E","CinematicNode_Response_15","Przepraszam, po prostu szukam pana od tak bardzo dawna i..."
"DD156BE1485909330518F78EA05C9629","CinematicNode_Response_15","I spodziewałeś się śmierdzącego prostaka, analfabety, który naciąga chorych ludzi i twierdzi, że rozmawia z samym Bogiem. Już mówiłem, że ci wybaczam."
"D02A52C8435890391C6B64A2FDB4A7D5","CinematicNode_Response_15","Tak słyszałem. Zwłaszcza w Petersburgu. Słyszałem też o uzdrowieniach. Nawet beznadziejnych przypadków. Niewytłumaczalnych."
"15C9B40544DD10C8186679B941B753AA","CinematicNode_Response_15","I w co wierzysz?"
"0940F21B42626C44C33DC6BF255D5E6D","CinematicNode_Response_16","W cuda. I w moim stanie mogę liczyć już tylko na cud."
"C8710F3C4A13FB1A81B62AA9850DDAB6","CinematicNode_Response_17","Jeśli mi pan pomoże, uwierzę we wszystko. I proszę mi wierzyć, że wszystkiego poza cudem już próbowałem."
"B53D03E74B554213CBFD1B9A58F68F41","CinematicNode_Response_18","I znam znaczenie tego słowa. Jestem thaumaturgiem."
"C1D4133547812EDD1C5733A4987E5959","CinematicNode_Response_18","Skąd przyjechałeś?"
"EBDD323C47728B78EBD54F835B69A81B","CinematicNode_Response_19","O panu dowiedziałem się w Paryżu. O charyzmatycznym cudotwórcy z Rosji. Nawet od lekarzy, którzy mnie leczyli."
"F1A8CEAA4C6B23A0D7E501BF025006AE","CinematicNode_Response_19","Zanim dotarłem do Petersburga, pana już tam nie było. Przejechałem prawie trzy kontynenty, przez Syberię, Indie i pół Europy."
"B18369994E4A4DD70545EB9F348B9ECA","CinematicNode_Response_19","Ale jeśli pyta pan o moje pochodzenie, to jestem z Polski."
"B5BBA60144437EC99E05EFA4544C8D9F","CinematicNode_Response_20","Jestem z Warszawy."
"1A41442240C28D0E8889489BC2837690","CinematicNode_Response_20","Czyli z Rosji."
"53BD640D48A4D80A800A15A1FA8EE199","CinematicNode_Response_20","Z Polski."
"BE4A0EFE403084A5E4FD20BDFDA56C09","CinematicNode_Response_21","Z której Polski? Z tej rosyjskiej, niemieckiej, czy z tej części, która należy do Austrii?"
"E199F3FB4753C6253F1CFEB8BA87F108","CinematicNode_Response_21","Z Warszawy."
"55EE25E94A7B17DF4BCEA889E275195D","CinematicNode_Response_21","Masz jakieś imię?"
"3EE338BC4148BFB337EE2898BD124A23","CinematicNode_Response_21","Wiktor Szulski."
"A84BD514414A88F25C75029A940E9FF2","CinematicNode_Response_22","Spotykałem już na swojej drodze ludzi, którzy kłamali mi o swoich problemach, a potem rozpowiadali, że jestem szarlatanem."
"EEFD40CB4A356C75A322C7B741EF052B","CinematicNode_Response_22","Po nich pojawiali się kolejni. Z widłami i pochodniami. A ja musiałem znosić szykany, plucie w twarz lub ratować się ucieczką, żeby ocalić życie."
"612762BC46BE08F29276CCB130A5FA02","CinematicNode_Response_22","I teraz ty mówisz, że jesteś czarodziejem z wymyślonej krainy, której nikt nie widział na mapie od ponad stu lat. Wybacz moje rozbawienie, jestem przed pierwszą kawą."
"816D09ED44F1032B04D847A5ECC1D773","CinematicNode_Response_22","Wybaczam. I wciąż proszę o pomoc."
"61601B734E5FD7434090F6BD0FD791D2","CinematicNode_Response_22","Udowodnij, że jesteś thaumaturgiem, a wysłucham, z czym do mnie przyszedłeś."
"D411662D47D4245B06F79885767DA414","CinematicNode_Response_23","Myślę, że już teraz mogę się podzielić pewnymi spostrzeżeniami."
"03149D0048F82138D49DF684202656BD","CinematicNode_Response_23","Poczekaj, muszę usiąść, żeby nie upaść z wrażenia."
"3D003C32407F06D64F55CBA4E1A2A42B","CinematicNode_Response_24","Co pan chce, żebym zrobił?"
"F9129F344310242B34515A8C8C79DEC2","CinematicNode_Response_25","W tym właśnie, po części, tkwi problem, z którym chciałem się do pana zwrócić."
"16E7B3554EEDB7613F1C05AA6F263808","CinematicNode_Response_25","To znaczy, że rezygnujesz?"
"A4762DF34286AA5E06DFCE9C39EC26CD","CinematicNode_Response_25","To znaczy, że spróbuję, ale nie wiem..."
"ED6CD91948AC272B3E2B4DB3258B78C3","CinematicNode_Response_25","Dobrze."
"89C4042244DECA65A99767A3A4C505AB","CinematicNode_Response_26","Poznałem kilku takich, jak ty, więc wiem, co potraficie. Znajdź w tej gospodzie coś, co należy do mnie. I powiedz mi coś, co tylko ja mogę wiedzieć."
"4A23A1004A896FB2A7D432B12DC93B2C","CinematicNode_Response_26","Muszę najpierw mieć coś pańskiego i osobistego, żeby nauczyć się pańskiego Śladu... To taki wzór, po którym rozpoznam pozostałe przedmioty."
"478A710A44D2B19617F9558E36B3FF90","CinematicNode_Response_27","Powąchaj to."
"4292A4F440CA0CE4DAE8C5BB1882F555","CinematicNode_Response_28","Wrócę do pana za chwilę."
"F4624D2B41934271326433BAD29B9EB0","CinematicNode_Response_28","Nie mogę się doczekać."
"FA9FCC8F440C17A194055D9E4A175DE2","CinematicNode_Response_29","Dowiedziałeś się już czegoś?"
