"Hash","NodeName","PL","TR","Notes"
"39D6E3704D14667171AE1486C63A8AEA","CinematicNode_Choice_1","Zakpij z niego i najpierw zamów szampana.","",""
"883BC58845BCE1F68AFEB4ABABC07644","CinematicNode_Choice_1","Zapytaj o pracujące tu kelnerki.","",""
"2BE6C2A74BD89F83BE24C2AC835FCB2B","CinematicNode_Choice_1","Zapytaj o Hanię.","",""
"1E4753EA466EF7591B6DA3A4A3E09C94","CinematicNode_Choice_1","Zażartuj i spytaj, czy mają kawior.","",""
"668659644A04DE04CAF40AA0465DDC87","CinematicNode_Choice_1","Odejdż i jeszcze się rozejrzyj.","",""
"02A8D8AE4214510C0B84FB9B4DF3836D","CinematicNode_Choice_1","1","",""
"0EF5A66F4CD121FE07CA20911474F418","CinematicNode_Choice_1","2","",""
"4F312819461EBA6E7E04248FC45B73B5","CinematicNode_Choice_1","3","",""
"748FBDE34D1D813D507B08AC710F265C","CinematicNode_Choice_1","4","",""
"BEDFC50D4D2133A2D8F6F791C6063FF9","CinematicNode_Choice_1","5","",""
"56B996FF4C3C05F302BEC5A644F8ECAF","CinematicNode_Response_10","Chciałbym zapytać o jedną kelnerkę.","",""
"84FE5A90433FADE5AE489AA1945FA844","CinematicNode_Response_10","A piwo?","",""
"7A838694464EAAEF4B50D8B633A2B8AF","CinematicNode_Response_11","Ma pan może <i>żuglara</>?","",""
"A67E67A44CDC3D431AD389B58DDF44CF","CinematicNode_Response_11","Mam piwo.","",""
"E20D01FA43E41C4F772C0AB7E4590F18","CinematicNode_Response_12","Chciałem zapytać o jedną kelnerkę, która tu pracuje.","",""
"38070922465D6ADDB1159FB741ED52AF","CinematicNode_Response_12","Dwie tu pracują. A kiedy ich nie ma, ja podaję piwo.","",""
"7B4FDCF34F003C9AD02E84AB74D46203","CinematicNode_Response_12","Piwa?","",""
"D6FBDCF44E8A1D33C2D49FB4653B9E1B","CinematicNode_Response_13","Dziękuję za piwo, ale gdyby pan miał może porcyjkę warszawskiego kawioru. Jesiotry obrodziły w tym roku?","",""
"A2443AB9416B97B02A163CBE5B1064C3","CinematicNode_Response_13","Jestem barmanem, nie rybakiem.","",""
"BE2FA58540851984CB5D0BBCE0660582","CinematicNode_Response_13","Piwo?","",""
"9C13E98A495C2E56D098609CB0B3A8B1","CinematicNode_Response_7","Chciałbym zapytać o Hanię.","",""
"70233CEB4919DEB87835E5A8A9EFAC15","CinematicNode_Response_7","Ee! Zdenek! Natręt z pytaniami do Hani przyszedł!","",""
"0FE4C8BB4160563C56FE2FBAFCC4B5A0","CinematicNode_Response_7","Bierz kumpli i zróbcie, żeby już jej głowy nie zawracał.","",""
"F7885D53498CCFD4309A6CB20BF64398","CinematicNode_Response_8","Dziękuję. Porozglądam się jeszcze.","",""
"E94D4E4D4054F98482554F88F5F46A30","CinematicNode_Response_9","Piwo?","",""
