"Hash","NodeName","PL","TR","Notes"
"301F3A1A404E53D465252894CDE97636","CinematicNode_Choice_0","Powiedz, że czas nagli.","Vaktin dar olduğunu söyle.",""
"7247635042AD8A0E3E1E4A90093A3122","CinematicNode_Choice_0","Zauważ, że wciąż trzyma się na uboczu.","Hâlâ kenarda durduğunu belirt.",""
"1409794149D376006756F58ED1070B3E","CinematicNode_Choice_0","1","1",""
"7DA675864064ACAC934577A9186BCE66","CinematicNode_Choice_0","2","2",""
"D6071B2746EA0F0D6656B594B6995057","CinematicNode_Response_0","Dotarłaś.","Gelmişsin.","Wiktor → Polina"
"3D8216FF48D5D2EDDDB4F3A2C0EB352D","CinematicNode_Response_0","Tak. I cieszę się, że pan też. Dziękuję za pomoc w <i>klubie brydżowym</>.","Evet. Sizin de geldiğinize sevindim. <i>Briç kulübündeki</> yardımınız için teşekkürler.","briç kulübü — kumarhane örtmecesi"
"F6E528DA4CCBE732572258B165A9AE2E","CinematicNode_Response_10","Na mnie już czas. Posłuchajmy, co Cecylia ma nam do powiedzenia.","Benim için vakit tamam. Cecylia ne söyleyecekse dinleyelim.",""
"2EEF754C4333940972F93AA392C3873A","CinematicNode_Response_11","Na mnie już pora. Do widzenia, panienko.","Benim için vakit geldi. Hoşça kalın, küçükhanım.",""
"621E1635420A34D5E2749981F9F5E31E","CinematicNode_Response_11","Do widzenia. Proszę na siebie uważać.","Hoşça kalın. Lütfen kendinize dikkat edin.",""
"5F37A1884518A061EC649190F1421DEB","CinematicNode_Response_2","Czas nagli. Posłuchajmy, co Dickstein ma nam do powiedzenia.","Vakit dar. Dickstein ne söyleyecekse dinleyelim.",""
"C0576F0049692D920CFCB29A0E6F78BB","CinematicNode_Response_4","Wciąż stoisz na uboczu. Reszta nadal traktuje cię z dystansem?","Hâlâ kenarda duruyorsun. Diğerleri sana mesafeli mi davranıyor?",""
"701467B8428276EF323A70A3B51C4894","CinematicNode_Response_4","Chyba chodziło panu o ostracyzm. Cóż, nie zapomnieli, że jestem Rosjanką, ale też nie znaczy to, że się nie lubimy.","Sanırım dışlamayı kastettiniz. Eh, Rus olduğumu unutmuyorlar; ama bu birbirimizi sevmediğimiz anlamına gelmez.","Polina — Rus"
"33CB6D514614765FEA8AC69DBFE5C5C2","CinematicNode_Response_5","Wygląda na to, że to koniec naszego uniwersytetu.","Görünüşe göre üniversitemizin sonu.","Uçan Üniversite (glossary)"
"25545B5D48D3FE81930943BD8F7EF7F1","CinematicNode_Response_6","Zobaczymy. Nikt nie wie, co przyniesie przyszłość.","Göreceğiz. Geleceğin ne getireceğini kimse bilmez.",""
"4BEBF2A04689A55C9E05FC944ABDFA7A","CinematicNode_Response_7","Ale przez pewien czas, nie powinnam pokazywać się Wiesławowi na oczy.","Ama bir süre Wiesław'ın gözüne görünmemeliyim.",""
"59D86E1E44966D3461407F8430457207","CinematicNode_Response_9","Przy nastpęnje okazji, pozdrów ode mnie Wieśka.","Bir dahaki sefere Wiesio'ya benden selam söyle.","PL kaynakta tipo: nastpęnje"
"C3912EF2415F3D3D4EAE1CBAFCE7911C","CinematicNode_Response_9","Tak zrobię.","Söylerim.",""
