"Hash","NodeName","PL"
"0A4A71294D83A340DD5CB5805271FF25","CinematicNode_Choice_2","Dowiedz się więcej o Uniwersytecie Latającym."
"3A0B7C5B415CB6A15AF9C086253E2616","CinematicNode_Choice_2","Zapytaj, co sądzi o sytuacji z księgą."
"541F51E841381856160BA6A7EEDB3F0C","CinematicNode_Choice_2","Zapytaj, co sądzi o Ligii."
"9DA4DA9A4B1730DA0E33F5B932E55460","CinematicNode_Choice_2","Odejdź."
"DB4664EE46737A35D35C9EA9CC38C623","CinematicNode_Choice_2","1"
"576B2AE74BE2172DDB8858A63345BDCE","CinematicNode_Choice_2","2"
"8C26F8A743BF6C74304BC290628F4618","CinematicNode_Choice_2","3"
"D201DBB54811836F95881E9CF7D4B7F2","CinematicNode_Choice_2","4"
"4A80C92C417474CFACF822B77C6B8167","CinematicNode_Choice_3","Zaprzecz."
"DFC4B8DD43FF03FE5C5ECCAF2936B7D3","CinematicNode_Choice_3","Przytaknij i zwróć uwagę, że jest uczoną francuską."
"151E081A448D53582F1097A66D73C424","CinematicNode_Choice_3","1"
"D46004AD4067708A8CCC85B8EB8C2916","CinematicNode_Choice_3","2"
"710AD1904CEA114F8B71CFB43D817CC6","CinematicNode_Response_10","Ma pan jakieś podejrzenia odnośnie kradzieży woluminu?"
"CD6C8B47456A022008F108B3B79E8D6F","CinematicNode_Response_10","Nie wierzę, że ktoś ze studentów mógł to zrobić. To musi być nieporozumienie."
"25ABBC80450496B1C1E218BBDC9879F1","CinematicNode_Response_10","Mam nadzieję, że uda się panu dotrzeć do sedna sprawy."
"69FCAA8E4B224430C9B0A1BFAA74D510","CinematicNode_Response_11","Proszę mi opowiedzieć o studiach Ligii."
"5CEFFC89438A44A09FD8EE96FA113BCA","CinematicNode_Response_11","Pana siostra ma niezwykły umysł. Jest jedną z naszych najzdolniejszych absolwentek i mam nadzieję, że po tym wykładzie dołączy do kadry profesorskiej."
"ED0F111741822212AC192F89291A4495","CinematicNode_Response_11","Jej argumenty są percyzyjne i śmiałe, nieskażone społecznymi konwenansami, a jej charyzma!"
"089CA67A45AAA6C378F920BC185EC0F7","CinematicNode_Response_11","Rzeczywiście, jest pan pod wrażeniem."
"EF769BE24D6D1CA3A4B2649423F0E15B","CinematicNode_Response_11","Chciałby pan o coś jeszcze zapytać?"
"CB4397494A1051F10860D4B982E1C9DA","CinematicNode_Response_12","Dziękuję. Do widzenia."
"2CBC479D4FCAFE336C07B9BB99353A12","CinematicNode_Response_13","Nie wydaje mi się."
"AD839DEA4FF017FAE9B475A618BD59C5","CinematicNode_Response_13","Noblistka z dziedziny fizyki, sprzed dwóch lat."
"635FA737409EC2A6F2B52EB85DC8174B","CinematicNode_Response_13","Oczywiście, żeby rozwijać karierę naukową musiała wyjechać do Francji i tam również uczęszczać na uniwersytet. Ale zanim do tego doszło studiowała u nas."
"845E8050494FFE512344709F0A4A4009","CinematicNode_Response_14","Ale przecież ona jest Francuską."
"415FEDF1458D6CDAD139F7BA192620E0","CinematicNode_Response_14","Jedynie po mężu, proszę myśleć szerzej. Zanim udała się do Francji, studiowała u nas."
"4424FF0D42767481DB0A05A522AD36C5","CinematicNode_Response_15","Możemy się pochwalić wieloma znakomitymi absolwentami oraz doskonałą kadrą profesorską. Niestety wszystko to ma swoją cenę."
"FDC2F34C4E37AE198D80FE8178B12671","CinematicNode_Response_15","Tajność."
"40F8312149F9B59A4C002683A3FCF231","CinematicNode_Response_15","Tak. Możemy kształcić jedynie garstkę osób i musimy zmieniać miejsca spotkań. Gdyby policja wpadła na nasz ślad... "
"D90D08B44C12DE5BAA0B9694BAEE730C","CinematicNode_Response_15","Nie chcę nawet o tym myśleć."
"AF67B17448E21E4DB0C908B9771D07F6","CinematicNode_Response_8","Mogę w czymś panu pomóc?"
"BC7B72D541F146D519832D9F11811C33","CinematicNode_Response_9","Chciałem zapytać o pana uczelnię."
"D3C31EC1411C35F9C491A5B623459A23","CinematicNode_Response_9","Naszą uczelnię, ja jestem tylko przewodniczącym."
"FE0E5B1640DEC0F06EDD2696FBFD0D6E","CinematicNode_Response_9","Pewnie pan wie, że wytyczne władz rosyjskich dotyczące edukacji są dość sztywne. Rosjanom nie zależy, żeby Polacy poznawali swoje dziedzictwo narodowe, albo, nie daj Bóg, wywrotowe idee zachodnie."
"46BDE4B745F49DB8E55D22B63C91C0CA","CinematicNode_Response_9","Tutaj nie musimy się tym przejmować. Podejmujemy szerokie tematy i jesteśmy otwarci na edukację kobiet. Do naszych znakomitych absolwentek należy między innymi Maria Skłodowska, może pan o niej słyszał?"
