"Hash","NodeName","PL","TR","Notes"
"2B0C955A4A63FA4519F7AFADEDBD729B","CodexFactionsDT","Ochrana","Ochrana","Başlık; aynen"
"4C68F314432CB6A121A35783721618EB","CodexFactionsDT","Ochrana, tajna policja carska, której macki dosięgną każdego. Jej funkcjonariusze są jak kameleony. To działają z ukrycia, to przybierają maskę przyjaciela. Innym razem torują sobie drogę odznaką i ręką, która nie zawaha się wcisnąć spustu. W ich słowniku nie istnieją pojęcia takie jak ""przestrzeń osobista"", ""prywatność"", ""wolność"". Roszczą sobie prawo do wszystkiego i wszystkich.<br>Swietłana, jako dwórka carycy, przyzwyczaiła się do tego, że wzrok Ochrany wciąż za nią podąża. Przyzwyczajenie nie jest jednak tożsame z akceptacją. Jest w niej tajona wściekłość, której zupełnie się nie dziwię.","Ochrana, Çarlık gizli polisidir; dokunaçları herkese yetişir. Ajanları birer bukalemun gibidir. Kimi zaman gizliden iş görür, kimi zaman dost maskesi takarlar. Başka zamanlarda rozet ve tetiği çekmekten çekinmeyen bir elle yollarını açarlar. Sözlüklerinde ""kişisel alan"", ""mahremiyet"", ""özgürlük"" gibi kavramlar yoktur. Her şeyi ve herkesi kendi hakları sayarlar.<br>Çariçe'nin nedimesi Swietłana, Ochrana'nın gözünün sürekli peşinde olduğuna alışmış. Gelgelelim alışmak, kabullenmekle aynı şey değildir. İçinde saklı bir öfke var; hiç de şaşırtıcı değil.",""
"038C293440290C93404A20A8447C53F6","CodexFactionsDT","W sprawie Swietłany posunęli się dalej, niż dotychczas. Obserwacja i dyskretne groźby ustąpiły miejsca bezpośredniej interwencji. Apartament Rumiancewy został przetrząśnięty, nie okazali jej żadnego szacunku, a przecież jest faworytą samej carycy. Widać, kto tu ma ostatnie słowo.  ","Swietłana meselesinde şimdiye kadarkinden daha öteye gittiler. Gözetleme ve sessiz tehditlerin yerini doğrudan müdahale aldı. Rumiancewa'nın dairesi altüst edildi, ona zerre saygı göstermediler; oysa bizzat Çariçe'nin gözdesi. Son sözü kimin söylediği belli oluyor.  ","Çift boşluk trailing"
"7CDE5D7945C2F095002F1EB11D378673","CodexFactionsDT","Nikt inny nie pasuje na naczelnika Ochrany tak, jak Konieczkin. Powinienem był się tego domyślić. W końcu uosabia wszystko, czym tajna policja jest.<br>Pewnie obserwowali mnie już wcześniej, w końcu ich wnikliwemu spojrzeniu nikt nie umknie, jednak dopiero wydarzenia w porcie zwróciły ich uwagę w moją stronę. Po Konieczkinie mogę się już spodziewać wszystkiego, jasno dał to do zrozumienia, zabijając swojego funkcjonariusza na moich oczach.  ","Ochrana'ya Amir olarak Konieczkin kadar uyan başkası yok. Bunu baştan sezmeliydim. Nihayetinde gizli polisin ne olduğunu o bütünüyle cisimleştiriyor.<br>Muhtemelen daha evvelden de beni gözlüyorlardı, zira o keskin bakışlarından kimse kaçamaz. Ama benim tarafıma dikkatleri gerçek anlamda limandaki olaylarla çevrildi. Konieczkin'den artık her şeyi bekleyebilirim; kendi adamını gözümün önünde öldürerek bunu gayet açık gösterdi.  ",""
"AFFF34204A6E3585A2CBF791F81BB3C3","CodexFactionsDT","No i się doczekałem. Tych dwóch smutnych panów pojawia się w mojej okolicy zdecydowanie zbyt często. Nie trzeba być geniuszem, żeby się domyślić, że to ludzie Konieczkina. Ochrona nie próżnuje, a po sytuacji w porcie widocznie postanowili mieć mnie na oku.","İşte bekleyip gördüm. Şu iki kasvetli adam etrafımda fazlasıyla sık beliriyor. Bunların Konieczkin'in adamları olduğunu anlamak için deha olmaya gerek yok. Ochrana boş durmuyor; limandaki olaydan sonra beni göz altında tutmaya karar vermişler besbelli.","PL tipo: Ochrona → Ochrana"
"9FD0CF3F40959DBAA6D12AA40FA09C4C","CodexFactionsDT","A więc tutaj trafiają ludzie, którzy zadarli z Ochraną. Nie powiem, żeby gościna Konieczkina specjalnie przypadła mi do gustu. Ochrana jest bezwzględna, a jej wrogowie nie opuszczają Cytadeli o własnych siłach.","Demek Ochrana'ya bulaşanlar buraya düşüyor. Konieczkin'in konukseverliğinin pek hoşuma gittiğini söyleyemem. Ochrana insafsızdır; düşmanları Sitadel'den kendi ayaklarıyla çıkmaz.",""
"9C9A598542FA2BA6BBDA13BFD3829233","CodexFactionsDT","Ucieczka z Cytadeli nie przysporzyła mi przyjaciół wśród Ochrany. Jej agenci zrobią wiele, żeby zadośćuczynić Konieczkinowi za swój brak kompetencji. Wystawiony na moje nazwisko list gończy wisi na każdej tablicy ogłoszeń, a ja powinienem zacząć oglądać się za siebie. Nie mam zamiaru wracać pod skrzydła Konieczkina.","Sitadel'den kaçış, bana Ochrana içinde pek dost kazandırmadı. Ajanları, yetersizliklerini Konieczkin'e telafi etmek için ellerinden geleni yapacak. Adımın yazılı olduğu arama ilanı her duyuru panosunda asılı; ben de artık arkama bakarak yürümeye başlamalıyım. Konieczkin'in kanatları altına dönme niyetim yok.",""
"CE7B46334D8C940F5447BDAD66B3819C","CodexFactionsDT","Rewolucjoniści","Devrimciler","Başlık"
"A35AF92C429BA39D44EA46888214ADE5","CodexFactionsDT","Polscy socjaliści to kolorowy i różnorodny tłum, który dzieli się na wiele frakcji i stronnictw. I część z nich ograniczają się do walki o prawa robotników. Niosą oni na sztandarach postulat niepodległości i niezależności Polski od Imperium Rosyjskiego, i trzeba im przyznać, że nie przebierają w środkach. Zamachy, porwania i bomby pojawiają się w ich repertuarze równie często co dystrybucja socjalistycznych broszur, czy organizaowanie wieców i protestów. Są zdeterminowani, żeby osiągnąć cel. Za wszelką cenę.","Polonyalı sosyalistler, sayısız fraksiyona ve hizibe bölünmüş renkli, çeşitli bir güruhtur. Bir kısmı yalnızca işçi haklarını savunmakla yetinir. Bayraklarında Polonya'nın bağımsızlığı ve Rus İmparatorluğu'ndan özerkliği yazılıdır; itiraf etmek gerek, vasıtalarını pek seçmezler. Suikastler, adam kaçırmalar ve bombalar; sosyalist broşür dağıtımı, miting ve protesto düzenlemeleri kadar sık dahildir repertuarlarına. Amaçlarına ulaşmakta kararlıdırlar. Ne pahasına olursa olsun.",""
"614370584178EBD7A48FAFB8C46217C7","CodexFactionsDT","A więc socjaliści rekrutują nie tylko studentów i młodych idealistów. Jest wśród nich również thaumaturg i to taki, który para się medycyną. Bez wątpienia jest potężnym i pożytecznym sojusznikiem.","Demek sosyalistler yalnız öğrencileri ve genç idealistleri saflarına çekmiyor. Aralarında bir tılsımkâr da var, üstelik tıbba el atmış biri. Kuşkusuz güçlü ve faydalı bir müttefik.",""
"48B189A04814817F421EEEB96C802E86","CodexFactionsDT","Wanda jest esencją moich wszystkich wyobrażeń o osobach dołączających do niepodległościowych bojówek. Wazwięta, zdeterminowana i pełna brawury. Cieszę się, że nie jestem jej wrogiem. Nie należy do tych, którzy zadają pytania, przed pociągnięciem za spust.","Wanda, bağımsızlık cephelerine katılan kişiler üzerine tüm hayallerimin özüdür. Ateşli, kararlı ve cüretten yana dolu. Düşmanı olmadığıma seviniyorum. Tetiği çekmeden önce soru sorma tipinden değil.","PL tipo: Wazwięta → Zawzięta"
"6B2A579D45D6649A8CC26097158DC90E","CodexFactionsDT","Każdy kto dołącza do socjalistycznych bojówek musi się liczyć z ryzykiem gwałtownej śmierci. Ale to co stało się z Michałem nie miało nic wspólnego z jego działalnością. Trafił do Cytadeli przypadkiem, po części z mojej winy. I tam umarł. W męczarniach i całkowitym braku nadziei na ratunek. A Janek? Nie chcę wiedzieć, co się z nim stało, ale podejrzewam, że po naszej ucieczce Konieczkin musiał wyładować na kimś frustrację. Mój kolega z celi byłby dość oczywistym wyborem.","Sosyalist cephelere katılan herkes şiddetli bir ölüm riskini göze almak zorundadır. Ama Michał'ın başına gelenin, yaptığı işle hiçbir ilgisi yoktu. Sitadel'e tesadüfen düştü; kısmen de benim yüzümden. Ve orada öldü. Işkenceler içinde, kurtuluş umudu büsbütün yok. Ya Janek? Ona ne olduğunu bilmek istemem, ama kaçışımızdan sonra Konieczkin'in hayal kırıklığını birinden çıkarmak zorunda kaldığını sanıyorum. Hücre arkadaşım gayet bariz bir seçim olurdu.",""
"EAD537014AC0A2476BCD55BB3DFBA826","CodexFactionsDT","Każdy kto dołącza do socjalistycznych bojówek musi się liczyć z ryzykiem gwałtownej śmierci. Ale to co stało się z Michałem nie miało nic wspólnego z jego działalnością. Trafił do Cytadeli przypadkiem, po części z mojej winy. I tam umarł. W męczarniach i całkowitym braku nadziei na ratunek. Dlatego cieszę się, że Samira uwolniła Janka. Jego powrót do domu, będzie stanowił pocieszenie dla wszystkich, którzy są dziś w żałobie.","Sosyalist cephelere katılan herkes şiddetli bir ölüm riskini göze almak zorundadır. Ama Michał'ın başına gelenin, yaptığı işle hiçbir ilgisi yoktu. Sitadel'e tesadüfen düştü; kısmen de benim yüzümden. Ve orada öldü. Işkenceler içinde, kurtuluş umudu büsbütün yok. Bu yüzden Samira'nın Janek'i kurtarmasına seviniyorum. Onun eve dönüşü, bugün yas tutan herkese bir teselli olacak.",""
"B962CD864926275419FB409B70407F7E","CodexFactionsDT","Imperium Rosyjskie","Rus İmparatorluğu","Başlık"
"F100868748E725B5831B768CD0AE923E","CodexFactionsDT","Bestia. Wyciągnij ku niej dłoń, a ją stracisz. Choć tłusta, wiecznie głodna. Rozumiejąca język siły, głucha na racjonalną dyskusję. Takie są imperialistyczne mocarstwa, wśród których Imperium Rosyjskie pragnie wieść prym.<br> Ale kto wie, ile to jeszcze potrwa, historia widziała większe upadki. Ludzie zaczynają zabierać głos, zaczynają działać, burzliwe nastroje zwiastują zmianę. Wojna z Japonią dała obywatelom kolejne argumenty przeciwko nieudolnej polityce caratu, czara goryczy się przelewa. Car nie sprostuje swoim czasom, władza się chwieje, zdaje się bezsilna wobec przyszłości, która lada moment stanie się rzeczywistością.<br> W tym wszystkim trwa, na łasce imperium, Królestwo Polskie. Pozbawione autonomii, przybrało rosyjskie oblicze, ale wewnątrz wciąż bije serce. Wciąż goreje Polska.","Bir canavar. Ona elini uzat, elini yitirirsin. Tombul olsa da daima aç. Güç dilinden anlar, akla uygun tartışmaya sağırdır. Emperyal büyük güçler böyledir; Rus İmparatorluğu da aralarında başı çekmek ister.<br> Fakat bunun ne kadar süreceği kim bilir; tarih daha büyük çöküşlere şahit oldu. İnsanlar söz almaya, harekete geçmeye başlıyor; fırtınalı ruh hali bir değişimin habercisi. Japonya'yla savaş, vatandaşlara çarlığın başarısız siyasetine karşı yeni kozlar verdi; acı kadehi taşmak üzere. Çar, çağının hakkını veremiyor; iktidar sarsılıyor, yakında gerçek olacak bir geleceğin karşısında çaresiz görünüyor.<br> Bütün bunların ortasında, imparatorluğun insafına terk edilmiş olan Polonya Krallığı direniyor. Özerkliğinden yoksun bırakılmış, Rus kılığına büründürülmüş, lâkin içindeki yürek hâlâ atıyor. Polonya hâlâ yanıyor.",""
"2B2A2C1142C05BA67C436094329321BF","CodexFactionsDT","Komitywa","Cemiyet","Başlık; glossary"
"92BFA13B46E1ADEA8DF7839166823166","CodexFactionsDT","Swietłana twierdzi, że ojciec był członkiem czegoś co nazywał ""komitywą"". Organizacja miała rzekomo dazyć do realizacji pełnych ideałów celów jak niepodległość Polski. Nonsens! Nie wierzę, że Stanisław Szulski przyłączyłby się do jakiejkolwiek ogranizacji, która powstała w innym celu niż zaskopakania jego ego.","Swietłana'ya göre babam, ""Cemiyet"" dediği bir şeyin üyesiymiş. Örgüt, güya Polonya'nın bağımsızlığı gibi idealist hedeflerin peşindeymiş. Saçmalık! Stanisław Szulski'nin, kendi egosunu tatmin etmekten başka bir amaçla kurulan herhangi bir örgüte katılacağına inanamıyorum.","PL tipos: dazyć/ogranizacji/zaskopakania"
"1DDD68AB4768C82409B0E5A54B845096","CodexFactionsDT","Konieczkin potwierdził, że ojciec rzeczywiście otaczał się ludźmi o wywrotowych poglądach. Co więcej jest przekonany, że byli oni thaumaturgami. Co planowałeś ojcze? Muszę się dowiedzieć, a żeby to zrobić, będę musiał odnaleźć tych thaumaturgów.","Konieczkin, babamın gerçekten de yıkıcı görüşlü insanlarla çevrili olduğunu doğruladı. Dahası, bunların tılsımkâr olduğuna inanıyor. Neyin planını kuruyordun baba? Öğrenmeliyim ve bunu yapmak için o tılsımkârları bulmam gerekecek.",""
"FC62926D4FE1C2D397151E9CD723E945","CodexFactionsDT","Dotarłem do mieszkania, w którym spotykała się komitywa. Oprócz ojca należało do niej jeszcze dwóch mężczyzn. Jeden z nich był rabinem, drugi lekarzem i ewidentnie miał powiażania z socjalistami. Ciekawy tłum. Chętnie poznam tych przyjaciól ojca.","Cemiyet'in buluştuğu daireye vardım. Babam dışında iki erkek daha üyesiymiş. Biri rabbi, öteki hekim ve aşikârca sosyalistlerle bağlantılıymış. İlginç bir güruh. Babamın bu dostlarını tanımayı dört gözle bekliyorum.",""
"4448C8CD4FDE9DE2C36489864557101D","CodexFactionsDT","Jednym z szemranych przyjaciół ojca okazał się fałdżej Emir Burnakowicz. Opowiedział mi więcej o komitywie i o tym co planowali z ojcem osiągnąć. Chcieli wpływać na władze przy użyciu thaumaturgii i zabiezpieczyć lepszy los nie tylko dla siebie czy innych thaumaturów, ale przed wszystkim dla Polaków. Planowali zakulisową walkę o niepodległość. Szaleństwo! Co gorsza Emir nie wciąż nie porzucił swoich ambicji i chce, żebym kontynuował dzieło ojca. Zobaczymy.","Babamın şaibeli dostlarından biri, fałdżej Emir Burnakowicz çıktı. Cemiyet hakkında ve babamla birlikte neye ulaşmayı hedeflediklerine dair bana daha fazlasını anlattı. Tılsımkârlık yoluyla iktidara tesir etmek, yalnızca kendileri ya da öteki tılsımkârlar için değil, her şeyden önce Polonyalılar için daha iyi bir yazgı sağlamak istiyorlarmış. Perde arkası bir bağımsızlık savaşı tasarlamışlar. Çılgınlık! Üstelik Emir, emellerinden hâlâ vazgeçmiş değil; babamın eserini sürdürmemi istiyor. Bakarız.",""
"586CEC2D403AD807F2AECB880DE3A3E8","CodexFactionsDT","Grymuar, który miał być źródłem mojej potęgi, a okazał się kluczem do odnowienia komitywy. Umożliwi on złączenie umysłów thaumaturgów tak, aby mogli dzielić się wiedzą i mocą. Fałdżej widzi w tym szansę, na osiągnięcie wszystkich celów komitywy i sprawienie, aby stała się ona znaczącą siłą polityczną, która działając z cienia, będzie kształtowała losy Warszawy. Naciska na mnie, żebym pomógł mu osiągnąć ten cel.","Gücümün kaynağı olacağı sanılan Grimuar, Cemiyet'i yenilemenin anahtarı çıktı. Tılsımkârların akıllarını birleştirmelerine imkân tanıyacak; böylelikle bilgi ve gücü paylaşabilecekler. Fałdżej bunda Cemiyet'in tüm hedeflerine ulaşma ve onu, gölgeden iş görüp Varşova'nın kaderini şekillendirecek kayda değer bir siyasi güç haline getirme şansı görüyor. Bu hedefe ulaşması için bana yardım etmem yönünde baskı yapıyor.",""
"9900615C4319B2BA621C4793062CA739","CodexFactionsDT","Czas zacząć myśleć o czymś więcej, niż o własnych interesach. Stanę ramię w ramię z Emirem i wszystkimi, którzy zechcą nas poprzeć, żeby zbudować coś z czego wszyscy będziemy dumni. Niech ścieżka ojca, stanie się moją własną. A komitywa wreszcie stanie się faktem.","Artık kendi çıkarlarımın ötesini düşünmenin vakti. Hepimizin gurur duyacağı bir şey inşa etmek için Emir'le ve bize destek olmak isteyen herkesle omuz omuza duracağım. Bırak, babamın yolu benim de yolum olsun. Cemiyet nihayet vücut bulsun.",""
"6D401AEB42DAF82F6267EEB1BDD3905E","CodexFactionsDT","Nie mam zamiaru iść drogą, którą wyznaczył dla mnie ojciec. Komitywa była jego snem i nie chcę mieć z nią nic wspólnego. Wybieram siebie. Jeżeli Emirowi zależy na realizacji jego planów, będzie to musiał zrobić sam.","Babamın benim için çizdiği yoldan gitmeye niyetim yok. Cemiyet onun rüyasıydı; onunla hiçbir işim olmasın. Kendimi seçiyorum. Emir, planlarının hayata geçmesini umuyorsa bunu kendisi yapmak zorunda kalacak.",""
"3F7BF37F47F5E1A3E569AEA4965FC35A","CodexFactionsDT","Warszawskie Towarzystwo Antythaumaturgiczne","Varşova Tılsımkâr Karşıtı Cemiyeti","Başlık; WTA kısaltma aynen korunur"
