Hash,NodeName,PL,TR,Notes
7F82C5FF41316B1929F5F3AB505CBB78,CinematicNode_Choice_4,Zrób mu krótki przegląd prasy.,Ona kısa bir basın özeti yap.,
1F8908584D5AC0A4269C6A8D8093E63E,CinematicNode_Choice_4,Streść tylko nagłówki.,Sadece başlıkları özetle.,
10746FEE4A7F9951D01E4D98F719808B,CinematicNode_Choice_5,"Powiedz, co ty wyczułeś w pasażerach podczas waszej podróży.",Yolculuk boyunca yolcularda neyi hissettiğini anlat.,
BA2222E445C70C94044796BA5E2F71E8,CinematicNode_Choice_5,Wróć do czytania gazety.,Gazeteyi okumaya dön.,
296E67A149A1B90B63CF14BE871D1F28,CinematicNode_Choice_6,"Powiedz, że nie w takich okolicznościach.","Böyle koşullarda olmaz, de.",
665870E4478AB41CF6A9D8BC49854AF1,CinematicNode_Choice_6,"Przeczytaj mu, co pisze się o Warszawie w gazetach.",Ona gazetelerde Varşova hakkında yazılanları oku.,
6D4C43B640C0FEE75D94F7BD574A57EB,CinematicNode_Choice_6,"Powiedz, co myślisz o Warszawie.",Varşova hakkında ne düşündüğünü söyle.,
3F199DCF42D38DEC160429AA7CB00154,CinematicNode_Choice_7,Opowiedz kilka spostrzeżeń.,Birkaç gözlem anlat.,
566A265C4ECB3BE2638506A08875AD5D,CinematicNode_Choice_7,Wróć do czytania gazety.,Gazeteyi okumaya dön.,
6D4D84F84775C43A89030C89BDF5EFDE,CinematicNode_Response_11,<ru>Varshava!</> <dl>Warschau!</> Warszawa! ,<ru>Varshava!</> <dl>Warschau!</> Varşova! ,"Rusça + Almanca tag'leri aynen"
B36EEF2C470D19CA17121F9F63D7FD01,CinematicNode_Response_11,Ostatnia stacja - Warszawa! Pobudka!,Son durak — Varşova! Uyanın!,
E71DD7434BB3228E2AF6D4A31DAEFEBE,CinematicNode_Response_11,Chmurzy się.,Bulutlanıyor.,
87BDEA8A4C91D01E4D018D8DD30446AD,CinematicNode_Response_11,Pogoda jest jak mój nastrój.,Hava da ruh halim gibi.,
9EB99BB64FDCF12F4E4A958586F36C08,CinematicNode_Response_11,Hmm... Pomijając funeralne okoliczności twojego powrotu...,Hm… Dönüşünün cenaze gibi koşullarını bir kenara bırakırsak…,
B32FC7BC4C8CEE7ACAD39E8EA023607D,CinematicNode_Response_11,"...nigdy nie myślałeś, żeby tu wrócić?",…hiç buraya dönmeyi düşünmedin mi?,
10F5FB04422E44E8616392BB755B040B,CinematicNode_Response_12,Robotnicy strajkują. Chcą wykorzystać wizytę cara w Warszawie. Protesty są krwawo tłumione. W zeszłym tygodniu zginęło kilkanaście osób.,İşçiler grevde. Çar'ın Varşova ziyaretini fırsat bilmek istiyorlar. Protestolar kanlı biçimde bastırılıyor. Geçen hafta on küsur kişi öldü.,
8164C09D4C4713686F7E0A89FE02768E,CinematicNode_Response_12,"Bojówkarze z Polskiej Partii Socjalistycznej napadli na pociąg. Skradziono pieniądze, obligacje i materiały wybuchowe.","Polonya Sosyalist Partisi'nin savaşçıları bir trene saldırdı. Para, tahviller ve patlayıcı maddeler çalındı.",
