"Hash","NodeName","PL"
"B78013D44933E196D2B6C19CF664478A","q301c_journal","Niedaleko jabłoni"
"CB891643429CF453B54D819963BEF85C","q301c_journal","Rozmawiałem z Ligią, wiem co trzeba zrobić. Chcę, żeby komitywa stała się rzeczywistością. Jestem to winien sobie i innym thaumaturgom.  Muszę się spotkać z Emirem i Samirą."
"C21E7AA846F6FF024AB2D79F39AB6D4A","q301c_journal","Zrobiliśmy to. Dzięki Czarnemu Grymuarowi zawiązaliśmy pakt i staliśmy się komitywą. Sytuacja w mieście jest napięta, więc musimy dotrzeć do osoby, która pociąga za sznurki. Bal z okazji urodzin małego carewicza jest naszą jedyną szansą. Chcemy porozmawiać z zaufanymi ludźmi cara, dowiedzieć się co planują, a później dotrzeć do Mikołaja II i namówić go do wysłuchania naszych racji."
"F040E7AD4BF4FB1D036BFA9002F0E840","q301c_journal","Mam już wszytkie argumenty, których mi trzeba w rozmowie z carem. Przekonajmy go, że powinien oddać miasto w nasze ręce. Do dzieła."
"F4AA66224C936F97006B5F80B2199C51","q301c_journal","Spotkałem Siergieja i ku mojemu zaskoczeniu, okazało się, że najwyraźniej jesteśmy przyjaciółmi. Zgodził mi się pomóc."
"CB3E8153401A65E11BEBF0B05755F3A9","q301c_journal","Spotkałem Siergieja. Pewnie nie powinno mnie dziwić, że żywi do mnie urazę. Doszło do walki, mam nadzieję, że nikt nas nie widział."
"12C5745048999F2398CF218DEC954C46","q301c_journal","Spotkałem Siergieja, któremu towarzyszyła jego narzeczona, Zofia. Zgodzili się mi pomóc."
"0941195C476D746DBAB1C488495FA5F1","q301c_journal","Spotkałem Siergieja i Zofię. Nie wyglądała na szczęśliwą, a ja odegrałem w tym swoją rolę."
"9D3F4EB249C58F8B116D59AAC866B62B","q301c_journal","Kogóż to moje oczy widzą. Hrabina Lermontowa! Stare próchno jest zaufaną doradczynią cara. Powinienem dowiedzieć się, co planuje. "
"8684B5734BBB2C7C2769829B4E83BE52","q301c_journal","Samira zmanipulowała hrabinę i ta publicznie przyznała się do zamiaru przywłaszczenia majątków thaumaturgów i kilku innych kompromitujących rzeczy."
"029E77D94E3EDF5DF54DBFB20E5FE032","q301c_journal","Nakłoniłem Samirę, żeby zostawiła hrabinę w spokoju. Nie będę ryzykował niepowodzenia naszego planu."
"BDEB17DC43A6132AFE4BB1AFC4541C2C","q301c_journal","Miałem okazję zamienić kilka słów ze Skałonem. Generał-gubernator bez wątpienia skrywa więcej niż kilka tajemnić. Czas je odkryć."
"C7BBF30D444D9E70504CED8DDF5A50A1","q301c_journal","Koniec Skałona był gorzki. Sprawiliśmy, że jego rozum załamał się pod ciężarem własnych win. Czy tak wygląda sprawiedliwość? Sam nie wiem."
"210B6291468507D3B6BE21BECC8C1097","q301c_journal","Udało nam się delikatnie usunąć Skazę Skałona i wywołać w nim coś na kształt skruchy. Być może, Rzeźnik Warszawy tego właśnie potrzebował."
"65FB5BE04ED787B133CC6190F4F83A95","q301c_journal","Półśrodki i pertraktacje są dla słabych. Mamy moc po to, żeby jej używać, a Mikołaj II się jej poddał. Przystał na nasze warunki."
"C2CCEDA6419082A1FC9CE9BA2C36573F","q301c_journal","Udało nam się przekonać Mikołaja II do uznania naszych racji i wsparcia komitywy w jej działaniach. To początek czegoś nowego."
"925C86254156A7F4FD0736A8827DFDA7","q301c_journal","Rozmowa z Mikołajem II stanęła na niechętnym sojuszu. Spełni nasze prośby. Co będzie później, pokaże czas."
"3B243B4542ED5F5D5022C082F3A85D52","q301c_journal","Mikołaj II nie był zainteresowany uznaniem racji komitywy, ale wtedy na scenę wkroczył Ariel. To co zrobił było brutalne, a skutki jego działania odbiją się na nas prędzej, czy później, ale to nie ma znaczenia. Najważniejsze, że nam się udało."
"E9155008436D59BA0B0B7081AF73CC93","q301c_journal","Mikołaj II zażądał od nas dowodu lojalności Imperium Rosyjskiemu, a Emir bez wahania wydał mu członków PPSu. To było bezwzględne, ale... osiągnęliśmy cel."
"31B274EC487301682C6F1193DC64248F","q301c_journal","Miałem przeczucie, że do tego dojdzie. Walka między mną a Rasputinem była nieunikniona. Jestem wolny od jego gier."
"411B7AFB4649F11D004957AB475D32DA","q301c_journal","Porozmawiaj z fałdżejem"
"EF1971254CA7DAF9091EF887F0F4A7B4","q301c_journal","Odszukaj doradców cara"
"DDFAECA548180B9561F8B1BF45B73D4B","q301c_journal","Porozmawiaj z Burnakowiczem"
"51F986EB4DE37F262C94C996C47807A1","q301c_journal","Porozmawiaj z Siergiejem"
"D69CB6D54054E1A8A766A088E828E341","q301c_journal","Dowiedz się więcej o hrabinie"
"363B23544A15AD64C089E58A3D63169A","q301c_journal","Dowiedz się więcej o Skałonie"
"5E1CFB9E43CE576990FA849ED8B73209","q301c_journal","Spotkaj się z carem"
