"Hash","NodeName","PL","TR","Notes"
"888834234E3F594B342F3898FE063A3D","CinematicNode_Choice_5","Potwierdź.","",""
"357E69D34ED92C0B4E37F5B327C96198","CinematicNode_Choice_5","Zaprzecz.","",""
"A1C820AD4A051D7FB657E5904ADB5AB1","CinematicNode_Choice_5","Przejdź do sedna.","",""
"0A9D570D46F9B369E8CF9A87C0FB0BAF","CinematicNode_Choice_5","1","",""
"F91C37C9486694EA28E197A06C8B2972","CinematicNode_Choice_5","2","",""
"EBCADD0F44E75D0E8135B487155D1D94","CinematicNode_Choice_5","3","",""
"861FA64F4BB497E3692D3881FD1DC622","CinematicNode_Choice_6","Powiedz, że pisano o tym w gazetach.","",""
"3049950F4CA19ECC01B7B7935F0E2AEB","CinematicNode_Choice_6","Wysłuchaj go.","",""
"179BD2D643A2458C4886F1AA3B5D3DE5","CinematicNode_Choice_6","Wybadaj, czy ma na myśli <fr>soirée</> Swietłany.","",""
"36F7852D40FCAEB128982692A860018F","CinematicNode_Choice_6","1","",""
"2046C62946C6BB0CDF2CF396F9CC1994","CinematicNode_Choice_6","2","",""
"774ABD7B419DB293E42B68A6BB6F85CE","CinematicNode_Choice_6","3","",""
"3A633AF747C2B414DD1C2E94BE535034","CinematicNode_Choice_7","Zapytaj, czego od ciebie oczekuje.","",""
"A5D9FE494B5F0B74430027A4DBD6D973","CinematicNode_Choice_7","Porozmawiajcie o Pietii.","",""
"6AA1D1F84BB1D25222CECE975F0F3B68","CinematicNode_Choice_7","Dowiedz się czegoś o ofierze.","",""
"F1F607AC481EAEE5B2ACD5B36DB7F913","CinematicNode_Choice_7","Odejdź.","",""
"F018A250466E9417D3D1FA8D6835EAD2","CinematicNode_Choice_7","1","",""
"8DADE1384EAFA7BCD4E37598493477EE","CinematicNode_Choice_7","2","",""
"2E3043F245EDB666C0F06D9801D3060C","CinematicNode_Choice_7","3","",""
"AF8B9B6549EF721A4CFF21B5D63844E5","CinematicNode_Choice_7","4","",""
"6909257045D0B21A6EEE59B6693509B2","CinematicNode_Choice_8","Powiedz, że poszło o zakład.","",""
"C0D973024DAC856B8B8C368EF202D9EA","CinematicNode_Choice_8","Kryj Pietię.","",""
"4D7C146F43D0526816F708A4FE5385C3","CinematicNode_Choice_8","Oddaj wujkowi umowę Pietii i Ludwika.","",""
"33C8B6A948A001C7C7E7C1BF844DA64F","CinematicNode_Choice_8","Powiedz, że przekupiłeś Krajewskich.","",""
"B63642CD4DA1A0A917ED5CB3962D9DD9","CinematicNode_Choice_8","Powiedz, że zostanie dziadkiem.","",""
