"Hash","NodeName","PL","TR","Notes"
"31DE83F24E8B167225C453871701B16A","CinematicNode_Choice_0","Słuchaj dalej.","Dinlemeye devam et.",""
"6FE6241645FCC30FBF2E389F792C5FAD","CinematicNode_Choice_0","Wytknij mu, że <i>plecie androny</>.","Ona <i>saçma sapan konuştuğunu</> söyle.",""
"512998C14E74BAF274D6E9B02491C76A","CinematicNode_Choice_0","Zapytaj, czy on zarządza WTA.","WTA'yı onun yönetip yönetmediğini sor.",""
"6DA32B654AB0737C1D74B09F86E5BC64","CinematicNode_Choice_0","1","1",""
"7144F1EA48D638578C923BAE7AC2D51D","CinematicNode_Choice_0","2","2",""
"348109934065CBF4980FB9B87E18B84C","CinematicNode_Choice_0","3","3",""
"7ECB1D8C4B5B34F1F35B2A84604C59BB","CinematicNode_Choice_1","Powiedz, że teraz to ty ich stąd odegnasz.","Şimdi onları buradan senin kovacağını söyle.",""
"9333BB6A49F49A59E19EABA919FD3F71","CinematicNode_Choice_1","Wróć do innych tematów.","Diğer konulara dön.",""
"E6A695A740B21CA12F7431A8C59D35D6","CinematicNode_Choice_1","1","1",""
"37C571744C784C85E5EF6DB8C11660A3","CinematicNode_Choice_1","2","2",""
"D64C4C3D48E940C92B5D568046616B6B","CinematicNode_Choice_2","Każ im stąd odejść.","Onlara buradan gitmelerini emret.",""
"321C4C024CDBABEDEBFBE996E5A3AEAC","CinematicNode_Choice_2","Zapytaj o zniszczenie grobowca.","Mezarın tahribini sor.",""
"5692AE454836BAC418C7DF96DDD0B2ED","CinematicNode_Choice_2","Wdaj się w dyskusję o jego wcześniejszych tezach.","Onun önceki tezlerini tartışmaya gir.",""
"AE1FEA614EC7FD9C7ECE06BC1CDB06B3","CinematicNode_Choice_2","Zakończ rozmowę.","Konuşmayı bitir.",""
"73BE620D49FC4D3878986DBE31F19C4E","CinematicNode_Choice_2","1","1",""
"7E1F0A2B42BBE6F2E6AC2B81B5857849","CinematicNode_Choice_2","2","2",""
"237F96B84A016CC50CB662911A7E33F1","CinematicNode_Choice_2","3","3",""
"0D367BC341D4FCA79A7A0A985F64213D","CinematicNode_Choice_2","4","4",""
"090BA507415AC6284F18768801E61D60","CinematicNode_Choice_3","Przegoń ich stąd siłą.","Onları buradan zorla kov.",""
"89B46D5948EA61CFCA34188352346026","CinematicNode_Choice_3","Odpuść.","Boş ver.",""
"CD0FEB094AF944AABACE6D87D14321EE","CinematicNode_Choice_3","1","1",""
"73E74C0C4E2721706D83A598F1D01EF1","CinematicNode_Choice_3","2","2",""
"1BCD254F4723C709494AF9BE76957986","CinematicNode_Choice_4","Nawiąż do histerii żon.","Eşlerin histerisine değin.",""
"39C622A8489F8FAEE3F82B8BD84219BF","CinematicNode_Choice_4","Wspomnij o ożywających zwłokach.","Dirilen cesetlerden bahset.",""
"4985D1B9437F06D4107E04B088FD47FB","CinematicNode_Choice_4","Odpuść.","Boş ver.",""
"078D52424B24FD9A81C647AD86B97FB9","CinematicNode_Choice_4","1","1",""
"CED03B9849ED5207695018BA18524C1C","CinematicNode_Choice_4","2","2",""
"9B0E2E9D40D746CE4F89B9B1D67E5AD0","CinematicNode_Choice_4","3","3",""
