"Hash","NodeName","PL","TR","Notes"
"163BB60F4B06D33D004338A13A3582CD","CinematicNode_Choice_1","Przeczytaj list.","Mektubu oku.",""
"553473534AEDB6BC6C2014A6334759D7","CinematicNode_Choice_1","Weź go ze sobą.","Yanına al.",""
"BBB484074D1D1D4B98645BBD8E1FB2D8","CinematicNode_Choice_1","1","1",""
"F46534C342296D32135AA5B19A0628E4","CinematicNode_Choice_1","2","2",""
"91AA63364EF49AE1D2F1EBADBF147663","CinematicNode_Response_4","<i>Mam nadzieję, że uznasz moją małą intrygę za zabawną.</>","<i>Küçük entrikamı eğlenceli bulursun umarım.</>",""
"318D443E4A072AE4246A3393D481EE58","CinematicNode_Response_4","<i>Miasto musi dostrzec potęgę thaumaturgii. Ciesz się swoim benefisem. Zasłużyłeś.</>","<i>Şehir, tılsımkârlığın gücünü fark etmek zorunda. Mükâfatının tadını çıkar. Hak ettin.</>",""
"57B28D1447BB1D36631EA3BA40A74430","CinematicNode_Response_4","<i>Cecylia.</>","<i>Cecylia.</>",""
"02E74EFF4175268D38294C97D36CE8BE","CinematicNode_Response_6","Proszę, i zguba znaleziona.","Buyurun, kayıp da bulundu.",""
"F679F4FA40D2D3C9C443AF973D1CEE55","CinematicNode_Response_6","A to co?","Bu da ne?",""
"447454A74B731A79A96985AE68B7397D","CinematicNode_Response_7","Powinienem oddać wolumin. Antykwariusz się wreszcie uspokoi.","Cildi iade etmeliyim. Antikacı sonunda sakinleşir.",""
"983BAB53489DEAE0F1F5ACAC7B8ABEF8","CinematicNode_Response_7","A z autorką listu rozmówię się zaraz potem.","Mektubun yazarıyla da hemen ardından konuşurum.",""
