"Hash","NodeName","PL","TR","Notes"
"DB1045AE45B989C5AF8A7A8C6BAE9D72","CinematicNode_Choice_1","Zacznij im grozić.","Onları tehdit etmeye başla.",""
"35429C5D4DDE9FEB2F3EBABBDF7F5543","CinematicNode_Choice_1","Zapewnij, że ich nie wydasz.","İhbar etmeyeceğini güvence ver.",""
"71283A9043394D68B58C5E960514E0E8","CinematicNode_Choice_1","Zapytaj, czy są z WTA.","WTA'dan olup olmadıklarını sor.",""
"24B653834372B87C6B75EFB7D522E030","CinematicNode_Choice_1","1","1",""
"EFC5ACB741452B06879A4F8CB12F797C","CinematicNode_Choice_1","2","2",""
"75B6926846D682F372429190B639FB3F","CinematicNode_Choice_1","3","3",""
"0A1303E94A0B90C3D6E825BF85198841","CinematicNode_Response_0","Zaraz <dl>kopidoła</> będzie wołał. Szkoda, szkoda...","Birazdan <dl>mezarcıyı</> çağırır. Yazık, yazık…",""
"F15A35A54D65625D0395EFA4F538BA61","CinematicNode_Response_1","To wy zakłócacie zmarłym spokój i rozrzucacie ich ciała po cmentarzu?","Yani ölülerin huzurunu bozan ve cesetleri mezarlığa saçıp savuran sizler misiniz?",""
"C347F1FF402A17AF66DFD79298564DE9","CinematicNode_Response_1","Nie no, aż tak, to nie. My jesteśmy profesjonalistami. Awanturny jakiś nam się trafił.","Hayır hayır, o kadar değil. Biz profesyoneliz. Kavgacının teki çıktı önümüze.",""
"E7E4526548B6624BA4EC2DB2B4B1C1E8","CinematicNode_Response_5","Waluś, patrz, co tu kot <dl>przyflancował.</>","Waluś, bak, kedi buraya <dl>sürüklenip gelmiş.</>",""
"CAF90F4E404AD6ADE8A4799EEEF93357","CinematicNode_Response_5","Psia jucha.","Köpek iti.",""
"7662CF1347D4796C69B309905D5BDC91","CinematicNode_Response_6","Grabarz się zdziwi, jakie hieny mu się tu zalęgły.","Mezarcı şaşırır, ne çakalların yuvalandığını görünce.",""
"09F6E4E54C6354F7A07CC78CA9573AEA","CinematicNode_Response_7","Wy jesteście z tego całego Towarzystwa Antythaumaturgicznego?","Siz o Anti-Tılsımkârlık Cemiyeti'nden misiniz?",""
"00C9762B4DB0A5B855624EAD77F09717","CinematicNode_Response_7","A nam to za jedno, magiki czy nie.","Bize göre fark yok, büyücü de olsa olmasa da.",""
"1BB8DA3845C404D9642B6F85C9CCFE6C","CinematicNode_Response_7","Umrzyk to umrzyk.","Ölü ölüdür.",""
"E65B25934CEC9DE0513A9CA7F3ED424D","CinematicNode_Response_8","A może się rozejdziemy? Wy mnie nie widzieliście, a ja was.","Belki ayrı ayrı gideriz? Siz beni görmediniz, ben de sizi.",""
"89A32D9F4447C4363472988B729720FC","CinematicNode_Response_8","My cię niestety wyraźnie.","Biz seni ne yazık ki gayet net gördük.",""
"2B3C4C604E0C88D7F535CD84471E9077","CinematicNode_Response_9","Kurwa, wiedziałem, że w czwartek się nie uda.","Kahretsin, Perşembe günü olmayacağını biliyordum.",""
"50E62E164D18520C68D6418216AF2949","CinematicNode_Response_9","Nie sraj, Marian. Zaraz będzie po bólu.","Sızlanma, Marian. Az sonra biter.",""
"EA0A3C91488D34E12A5DF7AADA7597AE","CinematicNode_Response_9","Biorę płaszczyk.","Ben paltoyu alıyorum.",""
"17F3709E443ED2966035FC96203DD5CF","CinematicNode_Response_9","A ja <dl>laczki.</>","Ben de <dl>terlikleri.</>",""
