"Hash","NodeName","PL"
"A4DF52DA4C433C0016E761B486441AFB","CinematicNode_Choice_1","Powiedz, że zwiedzasz."
"3D772DCE4A99052E716D0AB4D6EF4BB3","CinematicNode_Choice_1","Zakpij, że zabłądziłeś."
"995466144F545384B24EDB8A0C1EF0FF","CinematicNode_Choice_1","Przejdź do walki."
"DE41B90544BEB308C49121AC451B490A","CinematicNode_Choice_1","1"
"1611FF604154A1636DAE51BDD1E7AE7F","CinematicNode_Choice_1","2"
"EE8697504B221F92B38659BDFA5E12EE","CinematicNode_Choice_1","3"
"6878BF8E41D02FBF7AAA7B9E9CF93F9A","CinematicNode_Response_0","Przyszedłem się bić."
"E2F0CCD74E117256F6657CB37D0BC1FC","CinematicNode_Response_0","Nareszcie, nocne warty kurewnie mi się dłużą."
"3186E47C456BC88AD2F0218A8C10FF41","CinematicNode_Response_1","Musiałem się zgubić, przepraszam, którędy do Cytadeli?"
"2EBB3CE64A60CFDAD551D6AE29BC03F2","CinematicNode_Response_1","Kawaler, widzę, nietutejszy. Brać go."
"876A12E04EF9BDEA5C4CD3BFE77EB9A9","CinematicNode_Response_2","Dawno nie byłem w Warszawie, chciałem trochę pozwiedzać."
"0ABA357E42611AB455639297B921C4C3","CinematicNode_Response_2","Przepustka albo jesteś aresztowany."
"F798994845A2AFFC2F1BAA918BD0F5CE","CinematicNode_Response_2","Życzę powodzenia."
"DBF3A53641896935593FACAAF37A8250","CinematicNode_Response_3","A ty, co się cieszysz? Zapierdalaj po resztę do baraków!"
"980BA7A14EA3BD59E8AF27BFB9AA6DD2","CinematicNode_Response_5","Ty, co tu robisz?"
