"Hash","NodeName","PL"
"71F1824D4A4FD5F95739478940B2EA65","CinematicNode_Choice_0","Ruszajcie."
"60A6010F4499AB09A660F88D17C633D2","CinematicNode_Choice_0","Powiedz, że chcesz zabrać stąd Janka."
"33698A57441B74336156228B4F3F22A9","CinematicNode_Choice_0","Najpierw przyznaj, że widziałeś jej akta."
"D94C959045592BD6C6C3DB93C0AC978F","CinematicNode_Choice_0","1"
"C5B89B654BA6C94083D0EAA680A477BB","CinematicNode_Choice_0","2"
"89281E5D430F50739DA9F6B5F578B2A6","CinematicNode_Choice_0","3"
"07C0641D45AD8EB6FB72E6BB036C834E","CinematicNode_Choice_1","Schowaj Czarny Grymuar."
"2C9BB80C425192B9F3AA438E6DCC22A2","CinematicNode_Choice_1","Zacznij czytać."
"54751F894DC834A42EB779A5A0E6CC32","CinematicNode_Choice_1","1"
"CEFAAB344E5E6CBDBE8A4591CE9BA664","CinematicNode_Choice_1","2"
"FDC047604F10B71A155AB585370EEFF2","CinematicNode_Response_0","Musimy iść, plan się posypał."
"3A1B1F824A74C77C41BAD8A656B1F0C2","CinematicNode_Response_1","Co ty na to, ojcze?"
"5D97F7924499518A3358BB9F89E08206","CinematicNode_Response_10","Zgubisz się tutaj, ja pójdę. Ty zabezpiecz nam przejście do bramy."
"29A22B3A445EA5AE2EB571924EC426E7","CinematicNode_Response_11","Muszę, bo on nie umie gwizdać."
"19C0E628429D48A603D8118DAE506B47","CinematicNode_Response_2","Panie przodem."
"79E904064ECE5A0C310426AAEA1CE26A","CinematicNode_Response_2","Nie tym razem. Spotkamy się pod bramą na dziedzińcu, nie da się przegapić."
"A5F7423B4DA9F01C79EEEC8A3EF87192","CinematicNode_Response_3","Chciałbym przed wyjściem zabrać kolegę <i>spod celi</>."
"C7740E334A88A12F9AC85981DA38D1B5","CinematicNode_Response_3","Co?! Rozum ci odjęło?!"
"581EF04348FCF6444E0137862CFA8CBD","CinematicNode_Response_4","Tylko czekaj tam na mnie!"
"AF232098451BFC0709555FA743BFE1CF","CinematicNode_Response_4","Będę czekał."
"EC1BF1F243E38D0E6F4BA681AF2E4076","CinematicNode_Response_5","Sara Rywkin, tak? Widziałem twoje akta. Lubisz bawić się ogniem. "
"9E10948445EC1D86E4A933AC3EDF349E","CinematicNode_Response_5","Już dawno nią nie jestem. Słyszałeś, co mówiłam o ucieczce?"
"13D37A9A47D66C1D1974AC80B14A6096","CinematicNode_Response_6","Szulski, nie ma czasu na lekturę."
"75CCD0C74FFA81E2D76AB2B223FE162B","CinematicNode_Response_6","Nie mogę tego odczytać. To jak... opisywanie kolorów niewidomemu. Nie rozumiem."
"67433C3948BECF75B597FDBA08F7E6D9","CinematicNode_Response_6","Cokolwiek mamroczesz pod nosem, nie obchodzi mnie to. Musimy iść."
"016EA3CB42F87E4B2F49A29923F83EA5","CinematicNode_Response_7","Co się stało?"
"0C14E8E54E5C0AC69776E8B3196BEC80","CinematicNode_Response_7"," Strażnik zajrzał do celi i wszystko się posypało. Konieczkin wpadł w furię."
"7B705B5649B9E36BD9BE958CBFB8C60F","CinematicNode_Response_7","Jeszcze chwilę mu zajmie, zanim dojdzie do siebie, więc nie traćmy czasu. Wyprowadzę nas za bramę, ale co dalej?"
"31EE25334FD496A4C8F5068F1AC8E121","CinematicNode_Response_7","Znajomi pod celą twierdzili, że ich ludzie obserwują Cytadelę. Zabiorą nas."
"7CA99D274834D6198C3210BD4BDD4699","CinematicNode_Response_7","Brzmi jak plan."
"C0F7A5884B54ACA4B5CE9C82BE4A2F16","CinematicNode_Response_8","Hm..."
"C6D1E38542B0CCF4FA3BE0BF906D5892","CinematicNode_Response_9","Obiecałem."
