"Hash","NodeName","PL"
"F21CDE6047447D42965C52BB233E2FC5","CinematicNode_Choice_1","Zapytaj, jak się czuje."
"D78FCBAD449A4FC890FF8FA97DE0F1C3","CinematicNode_Choice_1","Nic nie mów."
"4E7C7C9646263DD9024D6FB57501E8D5","CinematicNode_Choice_1","1"
"2CF7A6A14C7DEC83A919DF850FEBBA0D","CinematicNode_Choice_1","2"
"D00AA7234D1E247E97C8F581ED310112","CinematicNode_Choice_11","Przejdź do wyjaśnień sprawy Golema."
"320672DC4EE2D1B4C28F9989E8626DD8","CinematicNode_Choice_11","Dowiedz się, czemu pyta o Ariela."
"36AE8B9F4E75ED3B0F9AC99C5A4A2500","CinematicNode_Choice_11","Powiedz, że powinna odpocząć."
"9B59B8A944C2CB62F5FB2DA97B897C82","CinematicNode_Choice_11","1"
"1DC36E1540513B7A7CD69AA49262B595","CinematicNode_Choice_11","2"
"50C2E98B48FAB4CC4D36F791DBAB1482","CinematicNode_Choice_11","3"
"AE09A5F84F44F5F3E275C9BC2DBC1C71","CinematicNode_Choice_12","Powiedz, że taka była umowa."
"DF19D9CA4294BEF0DB7BE8B31B26ADE2","CinematicNode_Choice_12","Przyznaj, że trochę żałujesz tej decyzji."
"E5F00AF145A0929C8DB5DB9F1BBCEB5F","CinematicNode_Choice_12","1"
"634A52D34BABA828369837A81F9632E2","CinematicNode_Choice_12","2"
"3F616499432F5BABE7B340A6ACBB2D2D","CinematicNode_Choice_17","Wyznaj, że ciągle ją ma."
"7DA5A0E84EA2E3F067327EB00344B7E0","CinematicNode_Choice_17","Powiedz, że ją przejąłeś."
"BC71819E48095C484F3E428DF9A831A0","CinematicNode_Choice_17","1"
"E8E7274F48F3119F2B36F893B8275BB3","CinematicNode_Choice_17","2"
"59B5D82F422A3F22219CD983CE9F3840","CinematicNode_Choice_20","Zauważ, że teraz <i>Golem</> może wam służyć."
"12172D364D97683CC17421AACC0F80FC","CinematicNode_Choice_20","Zapytaj, czy zamierza bronić kryminalisty."
"849EA62046C55035AFB781AA926051D7","CinematicNode_Choice_20","Powiedz, że zrobiłeś to dla niej."
"66616D6841761CDE359D13B3B6D536D0","CinematicNode_Choice_20","1"
"DD0B70364FAD084F551BF0AA0AB8E079","CinematicNode_Choice_20","2"
"7102E1904D8EA08EC8FA859ABFDDB095","CinematicNode_Choice_20","3"
"3566592148F85987775A6FA59E75FF0D","CinematicNode_Choice_22","Powiedz, że nie będziesz się tłumaczył."
"F3EF49314A98D6CD5136F89B343767BD","CinematicNode_Choice_22","Zostaw Ligię w spokoju."
"5342ABEB413602798B103B9D7379B724","CinematicNode_Choice_22","1"
"F9A1EAD748654EADD5503EB2FE279AD3","CinematicNode_Choice_22","2"
"CB6E7F6D411A8F82AAAB95AC415A6B0C","CinematicNode_Choice_3","Powiedz, że to dzięki niej Golem wam nie zagraża."
"D16511BB41F5F35AA71E3481054A5F54","CinematicNode_Choice_3","Powiedz, że Skaza już jej nie ciąży."
"9C20855040B18D2A883AA2AA07169C2E","CinematicNode_Choice_3","Powiedz, że bezpieczeństwo ma swoją cenę."
"6AD6BAFC47429A46EF203080D010429F","CinematicNode_Choice_3","1"
"0CFFD1484079C30AADEA6CBE08AEFE46","CinematicNode_Choice_3","2"
"0FDCC62D41ABAF2687F85696B373A6A6","CinematicNode_Choice_3","3"
"764AC9B84EA01C7FC989F8830B0FF291","CinematicNode_Choice_4","Przyznaj, że nie, bo Duma ci nie pozwoliła."
"75BC19344226D56AF3B07FAE62A24E6F","CinematicNode_Choice_4","Powiedz, żeby wzięła się w garść."
"6EC2B88B40836A07C62034B3647B6B24","CinematicNode_Choice_4","Przeproś."
