"Hash","NodeName","PL"
"A058FAAA4D8DCD9D79805B863140F8DA","CinematicNode_Choice_1","Powiedz, że tak i możesz to powtórzyć."
"8B9DBE644162D09BC78F9DBB3BE73D6D","CinematicNode_Choice_1","Powiedz, że teraz szanse nie są wyrównane."
"B36A39E044468D3CA2CDA4AA2C61514C","CinematicNode_Choice_1","Powiedz, że to nie byłeś ty."
"BA3B59C64FECC0A569FED49E3F4A2920","CinematicNode_Response_5","Wiktor!"
"73805B914519AC0140E281ABCE15B5BA","CinematicNode_Response_5","Mam nadzieję, że masz już to, czego chciałeś, thaumaturgu, bo chyba czas się zbierać."
"8878E46C47FF8145DD5665A9DC58ABB6","CinematicNode_Response_5","Skąd ten pośpiech, klecho? My carskie soldaty. Może jakiś datek na carską armię?"
"B3DEA0CD480AC84B24D34A808DEEF47A","CinematicNode_Response_5","Tu nie ma rosyjskich posterunków."
"B63215AA4922A923502FE1BAD89A95B3","CinematicNode_Response_5","To chyba ten z ładnymi butami."
"63DF3E43404E87F8AE435990D603DB97","CinematicNode_Response_5","To ty sprałeś naszych kamratów?"
"FCF7CBFB4B3A40AE12EBB08A90D5F6CE","CinematicNode_Response_6","Was mogę potraktować dokładnie tak samo."
"1BD9D5584DDFCF38A8E67CA230BCAD64","CinematicNode_Response_6","Yyy... On nie jest taki słaby, na jakiego wygląda... W zasadzie to teraz wygląda lepiej, niż ostatnio."
"84600D7B4D5CECC3C33B7C8716F06F1A","CinematicNode_Response_6","Ale, nie licząc księdza, wciąż jest sam."
"654223534145E121F1286AADBAC14F56","CinematicNode_Response_6","Już nie jestem sam."
"9E9C6C904B8748CFB02391842CF3C1D5","CinematicNode_Response_7","To nie wygląda na wyrównany pojedynek."
"93A2788043F5DE9321B34D8ABA9D3434","CinematicNode_Response_7","Dlatego damy wam szansę. Złóżcie datek i rozejdźmy się w spokoju."
"AC5481BB4936975EF087FEB2177815E9","CinematicNode_Response_7","Nie mówiłem, że przewaga jest po waszej stronie."
"F748E5DD437A393E03A8BB815820607D","CinematicNode_Response_8","Nic panu nie jest?"
"0E9F4E1A4486E214A139548208D0C693","CinematicNode_Response_8","Mnie? Nie, ale... te salutory pomagają ci również w bijatykach? Możesz manipulować ludźmi i wrzucać im demony do głowy?"
"2DB55B9549DBC0DA22316CB9133154D2","CinematicNode_Response_8","Oględnie rzecz ujmując, tak. Na pewno nic się panu nie stało?"
"99085E4D482C4743901B7A8601CC8AB7","CinematicNode_Response_8","Mów mi Grigorij."
"9037861B45405780DAE25383333D5F78","CinematicNode_Response_8","Wracajmy. Muszę odwiedzić we wsi kogoś, kto powie mi więcej o tym, co się tu wydarzyło."
"D80B2103410F4FE063E4A0A8880AAED1","CinematicNode_Response_9","Nie, to musiał być ktoś podobny do mnie."
"73957DDF4A4D17F602F17BA7F563AD5D","CinematicNode_Response_9","<ru>Tochno on.</>"
"5D546E464EE81605BEBC5A907536AA44","CinematicNode_Response_9","Nieważne. Buty zdejmiemy najwyżej z waszych trupów."
"BD0219D84D9946526AFE2EB18E7DC34E","CinematicNode_Response_9","Jest inne miejsce, z którego będziesz musiał wyciągać sobie moje buty."
