Hash,NodeName,PL,TR,Notes
C29D5ADD48E7EFD95B110B8D674A120E,CinematicNode_Choice_1,"Ruszajcie, czas nagli.",Haydi gidelim vakit daralıyor.,
6D50C7B54CB7029B558C08886E94DEF7,CinematicNode_Choice_1,Poproś o szczegóły planu.,Planın ayrıntılarını rica et.,
2E4681BF430337D5F1F3CEA33B9D0FB4,CinematicNode_Choice_1,Zapytaj o policję w porcie.,Limandaki polisi sor.,
9890A1ED40D8F4AF2F1BBDAB7A0B4088,CinematicNode_Choice_1,Pogadajcie o zapłacie.,Ödemeyi konuşun.,
0B2E9B474AB91BDD4F6AA094B8DA91DE,CinematicNode_Choice_1,1,1,
063F8BF6489D46EA104F35B7F6CC7366,CinematicNode_Choice_1,2,2,
C1F6930F4EEE8B918CBF619A21DE3DEE,CinematicNode_Choice_1,3,3,
AC4AA2BD45D933A92FBFBC884028468B,CinematicNode_Choice_1,4,4,
CF16316D4173B2D2F07206B0D449BE32,CinematicNode_Response_10,"Mam nadzieję, że wiesz, co robisz.",Umarım ne yaptığını biliyorsundur.,
46054890411F854A10109A904A7FF5CA,CinematicNode_Response_10," <sp>Señora</> chciała karocy z dyni i szklanych pantofelków? Przemyt to nie takie <sp>romántico</>.",<sp>Señora</> bal kabağından araba ve cam terlik mi bekliyordu? Kaçakçılık o kadar <sp>romántico</> değildir.,Javier alaycı
CF5635E74E50B7048EDF81A3360B8D11,CinematicNode_Response_10,"Javier, tak? Wyrosłam już z bajek, przyszłam ubić interes.","Javier, değil mi? Masallardan çıktım artık, iş pazarlığına geldim.",Swietłana
A4C131074392A09A433AFCA3E7C72F54,CinematicNode_Response_10,Jebany kufer zostawiłem pod drzwiami. Ledwie go tu zataszczyłem. Wielki jak rzyć wieloryba!,Şu lanet sandığı kapının önüne bıraktım. Buraya zar zor taşıdım. Balina kıçı kadar büyük!,Wiktor küfür
555490424F2BE15311065DAF106504C7,CinematicNode_Response_11,To jaki jest plan? Co robimy?,Plan ne? Ne yapıyoruz?,
2C990D624432646DDF3489965F65CB5E,CinematicNode_Response_11,"Pani dostanie dokumenty, austriackie. Prawie autentyczne, ale bez machania nimi na lewo i prawo.","Hanımefendi Avusturya belgelerini alacak. Neredeyse gerçek, ama sağa sola sallamadan.",
7513567F4B7F0DABF0B10BB3B394D89A,CinematicNode_Response_11,Wtedy na molo i łódką za miasto. Później parostatkiem w górę rzeki.,Sonra iskeleye ve tekneyle şehrin dışına. Ardından nehir yukarı vapurla.,
ED87BF78403B075B3D889A9E531326DA,CinematicNode_Response_11,W Krakowie przesiadka w pociąg do Wiednia. Za kilka dni pani będzie na miejscu.,Kraków'da Viyana trenine aktarma. Birkaç gün içinde hanımefendi yerinde olacak.,
F3840A824E688B71F95C7CACF3B04394,CinematicNode_Response_11,"<sp>Sí, bueno.</> Jak tylko pogadamy o pieniądzach.","<sp>Sí, bueno.</> Para konusunu konuşur konuşmaz.",
F85FB4CF44F3B3C9CCA228895027F36F,CinematicNode_Response_12,"<sp>Vaya con Dios</>, przyjacielu.","<sp>Vaya con Dios</>, dostum.",
683C2D6F42137AAE6D24918154388F49,CinematicNode_Response_12,<yd>A gite nakht sheyfele.</>,<yd>A gite nakht sheyfele.</>,Yidiş 'iyi geceler kuzucuk'
6064A66E4246C76C20507A9A946A02F9,CinematicNode_Response_13,Dostaniecie cały mój majątek. Odpowiednie papiery będą wasze jak tylko opuszczę Warszawę.,Bütün servetimi alacaksınız. Gerekli belgeler Varşova'yı terk eder etmez sizin olacak.,
D95779ED4F5D09198ED329945B118D96,CinematicNode_Response_13,<sp>¿Toda?</> Cały? Czyli ile?,<sp>¿Toda?</> Hepsi mi? Yani ne kadar?,
E1C742624554B96EBB48E0B1FC4F42EB,CinematicNode_Response_13,"Tyle, żebyś do końca życia już nie musiał kiwnąć palcem.",Hayatının sonuna kadar artık parmağını kıpırdatmana gerek olmayacak kadar.,
