Key,PL,TR,Notes
ChainsDescription,Sekwencje,Zincirler,
ChangeActiveUnit,Wybierz siebie lub salutora,Kendini ya da Salutoru Seç,
ChangingPosition,Skracanie dystansu,Mesafeyi Kapatma,
ChooseFocusAttack,Pozbawianie Skupienia,Odağı Kırma,"Pozbawiać = kırmak/tüketmek; Skupienie = Odak (savaş mekaniği)"
ChoosingAbility,Wybór umiejętności,Yetenek Seçimi,
Conclusions,Wyciąganie wniosków,Çıkarım Yapma,
DeclaringFastAction,Szybka umiejętność,Hızlı Yetenek,
DeclaringMediumAction,Wolna umiejętność,Yavaş Yetenek,
DeclaringSalutorAction,Wydawanie rozkazów,Emir Verme,
FourDimensions,Cztery Wymiary,Dört Boyut,
Imprint,Ślady,İzler,"Eşyalardaki duygu/düşünce izleri — oyun mekaniği"
InbornStates1,Cechy,Nitelikler,"Düşman dirençleri (Inborn States)"
InbornStates2,Usypianie Cech,Nitelikleri Bastırma,
Insights,Spostrzeżenia,Gözlemler,
Insights2,Percepcja na przedmiotach,Eşyalarda Algı,
Manipulation,Manipulacja,Manipülasyon,
ManipulationsDialogues,Manipulacja w rozmowie,Konuşmada Manipülasyon,
ManipulationSmall,Manipulacja woźnicą,Arabacıyı Manipüle Etme,
MovementSmall,Poruszanie się,Hareket,
PerceptionGeneral,Percepcja,Algı,
PerceptionTrackingSmall,Percepcja,Algı,
PositionDescription,Dystans w walce,Savaşta Mesafe,
ProgressionTree,Punkty Thaumaturgii,Tılsımkârlık Puanları,
RitualFight,Walka z dzikim salutorem,Vahşi Salutorla Savaş,
SalutorDistanceAbility,Umiejętność salutora,Salutor Yeteneği,
SelectSalutor,Przywołanie innego salutora,Başka Salutor Çağırma,
SpecialActionAvailable,Okazja na Silny atak,Güçlü Saldırı Fırsatı,
Statuses,Stany,Durumlar,
StresDescription,Silne ataki a Skupienie,Güçlü Saldırı ve Odak,
Targeting,Wybór celu,Hedef Seçimi,
Timeline,Kolejka działań,Eylem Sırası,
Timeline2,Tempo umiejętności,Yetenek Hızı,
UpgradeChains,Ulepszenia umiejętności,Yetenek Yükseltmeleri,
WinCondition,Warunki zwycięstwa,Zafer Şartları,
NewSalutor,Poskromienie salutora,Salutoru Ehlileştirme,
NewSalutorSmall,Poskromienie salutora,Salutoru Ehlileştirme,
InsightsSmall,Percepcja,Algı,
Wardrobe,Garderoba,Gardırop,
PlayerFlawPride,Skaza,Kusur,
UpyrVisions,Wizje,Vizyonlar,
RasputinBossFight,Jarzmo salutora,Salutor Boyunduruğu,
InventoryPanel,Dobytek,Eşya,
MapPanel,Mapa,Harita,
GlossaryPanel,Wpisy,Kayıtlar,
ProgressionPanel,Thaumaturgia,Tılsımkârlık,
JournalPanel,Dziennik,Günlük,
TimeSkipBench,Zmiana pory dnia,Günün Vaktini Değiştirme,
TrackingObjectives,Wiele celów zadań,Görev Çoklu Hedefleri,
