"Hash","NodeName","PL"
"9E41214641B5B7E58262209AB0AAFDE9","CinematicNode_Choice_1","Powiedz, że potrzebujesz stroju wieczorowego."
"AEF760A640FA2D1A5BB56997E5A50EC9","CinematicNode_Choice_1","Oddaj krawcowi nowe inspiracje."
"D9CF7E954D94B467E8F30DB62D4EB784","CinematicNode_Choice_1","Porusz temat jego braku inspiracji."
"C02A98254FFA090072F0D5B383A907F1","CinematicNode_Choice_1","Odejdź."
"B343FA3346A563B26F2B7A93201D2144","CinematicNode_Response_1","I, panie Szulski, pozwolę sobie na chwilę szczerości, bo najwyraźniej nikt tego w stosunku do pana nie praktykuje. "
"0CF5D25747FDA140DC93A7BA2BCE3965","CinematicNode_Response_1","Słucham?"
"673B89CB41AE80365F8947BB051588BE","CinematicNode_Response_1","Idź pan do golibrody na Powązkach, bo wyglądasz jak troglodyta."
"7DD66A0442C11F5644C17ABCABFDC793","CinematicNode_Response_16","Przepraszam."
"0E4CB2DF4CF5DC7E55AA0891AB652B03","CinematicNode_Response_17","No, miejmy to za sobą."
"08B6774041D23EB829D22FA8EB32BA77","CinematicNode_Response_18","Potrzebuję stroju wieczorowego, raczej prędko."
"2F64D722480C38653FCFBD99F782FDC7","CinematicNode_Response_19","Przynoszę trochę świeżych pomysłów."
"B01937B044B89F5CD98820B4FE917417","CinematicNode_Response_20","Nie umknęło mi, że walczy pan z pewnym brakiem inspiracji."
"53003BA74AD57A8CB6179E96729C23FC","CinematicNode_Response_20","Bystre ma pan oczka. Książeczka ułatwia takie sprawy, co?"
"CE79DB1F4D8FC1D83EA73194C8289C72","CinematicNode_Response_20","Ja się muszę domyślać, co każdemu się wyobraża."
"C4773ED14A27BFAC1D9131AD7C04B810","CinematicNode_Response_20","Mogę jakoś pomóc?"
"A65BA0774CDFEE5B9F28C8BCD4241AA2","CinematicNode_Response_20","Chcę wiedzieć, czego, kurwa, ludzie szukają w obecnej modzie. Kiedyś starczyły dwie nogawki i miejsce na fujarę. Nie wiem, jak to inaczej ma być wymyślone."
"C09081C94C6CF1AF3A5D45B9847B675C","CinematicNode_Response_20","Powiesz mi pan to, to będę zobowiązany. W zamian uszyję panu, co pan chcesz."
"6DF583494126FCC526DE0082721711D6","CinematicNode_Response_20","Wyostrzę zmysły."
"055979784EFCF613CE5B3CB46736E3B9","CinematicNode_Response_21","Dobre proporcje..."
"191E75A44173431143F437BFA1DED336","CinematicNode_Response_21","Dziękuję...?"
"BCE9728C4040F5A642557CB98A8FD274","CinematicNode_Response_21","Poprawki nie zajmą długo. Pańska godność, adres?"
"5EF22D7446ACCDC9E3849AA1426DBC82","CinematicNode_Response_21","Wiktor Szulski. Plac Zielony dziewięć."
"460EDE1D4AC3022D775A06AFD611F9E3","CinematicNode_Response_21","Poślę gońca, jak skończę."
"2B92D44B46AB70AA469F43B7B91D8F33","CinematicNode_Response_22","Nie będę przeszkadzał."
"5FB8B8D84453BF8017B5FBB4494D1569","CinematicNode_Response_22","Mhm."
"0A46F86A42E8E776803DF7BF0D672318","CinematicNode_Response_24","Szlag. Zapomniałem przekręcić klucz."
"9DBDD6E3427562F7C8F28C9FD34B1066","CinematicNode_Response_25","Słucham?"
"34D7482B4E73FF57F33495ABA928D3E2","CinematicNode_Response_25","Ja słucham."
"B3CB358D44D3A6E4F63ED3AA30E7B42D","CinematicNode_Response_25","W czym rzecz?"
"37AA42304745DF90EC7AE9B57FABE366","CinematicNode_Response_26","Pan Szulski, proszę. Co nowego?"
"BC3371584851B1B5C8FC8A9AA48D8254","CinematicNode_Response_27","Teraz wróciłbym do swoich spraw."
"5FB399DB48F242BD4A06C3B7CAC1D386","CinematicNode_Response_28","Obiecujące..."
"8E8F21CF45406CBD55D3219B44E931D9","CinematicNode_Response_28","Ale nie może pan cały czas nosić tego samego. Proszę do mnie wrócić, jeżeli znajdzie pan więcej inspiracji."
"F6FB9C3A44868E944B6682A81F4269C5","CinematicNode_Response_29","Tymczasem zajmę się pracą. Proszę wybaczyć."
"0853FBE84111BF294E84BEB7D203F4D7","CinematicNode_Response_30","Rozumiem do czego pan zmierza, ale kolekcji wciąż wydaje się czegoś brakować. Proszę szukać dalej."
"292EB7574635CF3C353B6E83F046F076","CinematicNode_Response_30","Potrzebujemy śmiałych konceptów, niecodziennych połączeń. Liczę na pana."
"63D4E0A949FB8A8FCB9080BFFF1EFCB4","CinematicNode_Response_31","To nadzwyczajne, wreszcie coś nowego!"
"458CCE9E40D220D26DB07DBE9BEFBA46","CinematicNode_Response_31","Mam tu materiał na całą kolekcję. Pana rola się skończyła, proszę pozwolić mi pracować, a później..."
"6F5516B945246CDEF84E80AFD109FE5E","CinematicNode_Response_31","...później stanie się pan najlepiej ubranym mężczyzną w całym zaborze."
