"Hash","NodeName","PL","TR","Notes"
"FC0A3C06438C5AB3F735C186D2A1C59D","CinematicNode_Choice_2","Powiedz, że nie zauważyłeś.","Fark etmediğini söyle.",""
"7165B5DA48966DCBB7869AA5F88C6AB0","CinematicNode_Choice_2","Zapytaj, czy mają jakiś problem.","Bir sorunları olup olmadığını sor.",""
"C43D67724A362606A3ADE791CD8AAF96","CinematicNode_Choice_2","Przeproś i odejdź.","Özür dile ve çekil git.",""
"E51DAF3A4EF78DFF89F802BE67AE930B","CinematicNode_Choice_2","1","1",""
"03DA50224C5B8A5AC073B9BFBBCBFE1A","CinematicNode_Choice_2","2","2",""
"060A8A2542724A87270A7E80DFC8EA88","CinematicNode_Choice_2","3","3",""
"293D62F84D92D05BE1E3BFBC660EBBC4","CinematicNode_Choice_3","Podpuść go.","Kışkırt onu.",""
"C596CB774AACBA55F9C0C6B53967A304","CinematicNode_Choice_3","Wycofaj się.","Geri çekil.",""
"91BC21394E4D3CFF765F2989A5496E5D","CinematicNode_Choice_3","1","1",""
"676716EF403251840CCBBB9238B2CCD8","CinematicNode_Choice_3","2","2",""
"3A8172774F3A2F2144FEA7981FE93D23","CinematicNode_Response_10","Przepraszam, już sobie idę.","Özür dilerim, gidiyorum.",""
"40FD38C242CABD61510EAFA991E03367","CinematicNode_Response_10","Jeszcze raz mi tu wleziesz, to nie będę taki dobry.","Bir daha burayı dalarsan, o kadar iyi olmayacağım.",""
"17A77C4342CB9A6BB272659CCA12018C","CinematicNode_Response_10","Młody, weź ten <dl>szuwaks</> i równaj tam, prędko.","Delikanlı, şu <dl>zifti</> al, düzle orayı, çabuk.",""
"3E82D11642A5D72338B4C4AC66C9E76A","CinematicNode_Response_10","<i>Wyklęty powstań ludu ziemi...</>","<i>Uyan artık uykudan uyan...</>","Enternasyonal marşının Türkçe ilk dizesi"
"35A09AD64EE595F0D056B3AAB557BE0E","CinematicNode_Response_11","Tylko przechodziłem. Z tym macie problem?","Sadece geçiyordum. Bununla bir sorununuz mu var?",""
"95B8F8B44101EFA3475C0A887BE8AC77","CinematicNode_Response_11","Ano taki, że tacy jak ty w dupie mają takich jak ja, co robią na takich jak ty.","Evet, senin gibiler sikinde bile değildir benim gibilerin, senin gibiler için terleyen.",""
"ACF5B4B44C9330B8B1D7BB93CFAF0B0B","CinematicNode_Response_12","A potem, jak trwoga, to <i>proletariusze, łączcie się!</> Rewolucję, kurwa, zróbcie!","Sonra da, iş kızışınca, <i>proleterler, birleşin!</> Yapın be şu devrimi!",""
"8D7E924B43A0D4ECA4619190E0EA0F93","CinematicNode_Response_12","Znikaj, my tu chcemy na chleb zarobić.","Git buradan, biz ekmek parası kazanmaya çalışıyoruz.",""
"B66CA5CB4421F188EEC9F09B044AEB28","CinematicNode_Response_13","Jeśli nie stać was na chleb, to żryjcie ciastka.","Ekmeğe gücünüz yetmiyorsa pasta yiyin.","Marie Antoinette göndermesi"
"FC41A04F4762FA960B8E98A5B56417D2","CinematicNode_Response_14","No, to czekaj. Rozruszamy się trochę, po tym dźwiganiu całym.","Öyleyse bekle. Şu taşımacadan sonra biraz kanımızı ısıtalım.",""
"9069C02248F58D6C49B9CA9BF6CD1531","CinematicNode_Response_14","Na pewno, szefie?","Emin misin, patron?",""
"C56C2A6E4AAA50F0BD5135AE03C7F413","CinematicNode_Response_14","<i>Bój to będzie ostatni...</>","<i>Bu kavga en sonuncu kavgamızdır artık...</>","Enternasyonal'in nakaratı"
"55AEE65D4345E48F5A401DAB1FDC612B","CinematicNode_Response_15","Mówiłem ci, kurwiu, że się doigrasz?","Sana demedim mi, şerefsiz, başın derde girecek diye?",""
"B1B4004E40A6B257D5C644A504E8EEC7","CinematicNode_Response_15","Zrobiłem to specjalnie.","Bile bile yaptım.",""
"79E1298B49A7259F12392189D45A522D","CinematicNode_Response_8","Szefie, no, na nowo trzeba kłaść. Cały podkład.","Patron, baştan döşemek lazım. Bütün alt tabakayı.",""
"FF7D357F4FF6A027FB0DB79AD3B45631","CinematicNode_Response_8","Czego tu deptasz? Ludzi mi denerwujesz.","Burada ne basıyorsun ulan? Adamlarımı sinirlendiriyorsun.",""
"CFA809F4474D6C91CF4A8C8186051EC4","CinematicNode_Response_8","Nie widzisz, że tu robota wre?","Burada iş kaynıyor, görmüyor musun?",""
"1BDF0CB5430532293EAC5390F2ACBCB1","CinematicNode_Response_9","Nie wygląda, jakbyście się przepracowywali.","Kendinizi kasıyormuşsunuz gibi görünmüyor.",""
"7E14E4634BA05DF7B3ACA98D1E0DC3EC","CinematicNode_Response_9","Patrzcie go, <i>yntelygenta.</> <dl>Grabie</> to ma nieskalane uczciwą pracą.","Bak şu <i>antelektüele.</> <dl>Kürekleri</> namuslu işle kirlenmemiş.","'yntelygenta' alaycı telaffuz — 'antelektüel' benzeri"
