"Hash","NodeName","PL"
"0FB6A7284F759DDF21D89CA57D3F9649","CinematicNode_Choice_0","Skłam, że słyszałeś."
"4CF545BB48C7E5EEF434DD928E761B07","CinematicNode_Choice_0","Przyznaj, że nie słyszałeś."
"7F950BB542CF7BB1C81A29A0036B9FC2","CinematicNode_Choice_0","1"
"216A537B4ACC0AA655CC09AAA6352AAD","CinematicNode_Choice_0","2"
"C835617A4602B32FC4934D820BAC23FC","CinematicNode_Choice_1","Wysłuchaj go."
"2F4D4DD14B006995F1F7E19224177CEF","CinematicNode_Choice_1","Dowiedz się, czy coś mu grozi."
"1AFDD317479150B80429E2A9D174593A","CinematicNode_Choice_1","1"
"8DBCF0E74E4F14B186CE2F9B39B9E53D","CinematicNode_Choice_1","2"
"3015E2454F339A03AA8435B7FDA30BE4","CinematicNode_Choice_2","Potwierdź."
"2EC9CB4F4653A568EDD641A06D7EBF0A","CinematicNode_Choice_2","Powiedz, że się zastanowisz."
"00F7BD0E4E9D656975BD7D91C581679F","CinematicNode_Choice_2","1"
"99741A0E45958FB7E5FCA38884A3E998","CinematicNode_Choice_2","2"
"03CA11FE4960E330DDF4B483D924FB62","CinematicNode_Choice_3","Powiedz, że tyle ci wystarczy."
"231BD5F243DB8088088243864970FCF6","CinematicNode_Choice_3","Zauważ, że taki wywiad nie przejdzie przez cenzurę."
"657AEBB74EC1D9CA85598ABABDE6C235","CinematicNode_Choice_3","Dowiedz się więcej o Lechitach."
"C3943A304EE8EE64263B6BABFC39C964","CinematicNode_Choice_3","Dopytaj o detektywa Żukowa."
"5DEB44904E06F4D0234CA587AF64A2CB","CinematicNode_Choice_3","Zapytaj, kim były ofiary zamachu."
"C990BFEB4E756AFE6D4BB2B04B72DCAE","CinematicNode_Choice_3","1"
"E0D22CDC4412C4CD4063F99B1AB2DD4F","CinematicNode_Choice_3","2"
"502F584E48A101E50113B88B78EFDAA0","CinematicNode_Choice_3","3"
"82B97B8147484C08A537B5B6227555C3","CinematicNode_Choice_3","4"
"BEBF221640FBFFFB11842684B33FE959","CinematicNode_Choice_3","5"
"888C24854AB1819F5C6706945247008B","CinematicNode_Choice_5","Dowiedz się, na czym ma polegać twój udział."
"6768D6554FE08C6281295B85F9ED4E63","CinematicNode_Choice_5","Najpierw spytaj, dlaczego potrzebuje właśnie ciebie."
"0355523940F5819C1B185FBFF7938A7F","CinematicNode_Choice_5","1"
"D27107AB4F7C2C84A29BF7AFC6A037F8","CinematicNode_Choice_5","2"
"791AA53C417DD818691FCF9F110C3F66","CinematicNode_Response_0","Może jej się przypomnę."
"FE1F79214FEA6FCA4296F4807F160A25","CinematicNode_Response_0","Wspaniale."
"333681664F0B9544C40046A14BA6F0CC","CinematicNode_Response_10","Oczywiście. Kto nie słyszał."
"D597F9454F5F25799F4A288E5F5BA91D","CinematicNode_Response_10","Mam nadzieję, że Ochrana."
"D7914AAB424041694514479F30C1A1C4","CinematicNode_Response_11","Nie słyszałem. Postać znam tylko z książki Sienkiewicza. Taka sobie."
"63CFCFB140581C70C99D2A9DD475B838","CinematicNode_Response_11","To mój pseudonim, w pewnym podziemnym wydawnictwie."
"89565B4A406F98128812F3B0957476B2","CinematicNode_Response_12","Przyznam, że jako Kmicic jestem dość znany w patriotycznych kręgach."
"1899B7B24AAF43B786A2B894C15DE954","CinematicNode_Response_12","Winszuję."
"9674B5A24883E1241FF2038FED39CDEC","CinematicNode_Response_12","Pytaj dalej."
