"Hash","NodeName","PL","TR","Notes"
"0E91C65241D47155218594A8C529B01C","CinematicNode_Choice_0","Każ mu wyznać, czemu przeszkadza zmarłym.","Ölülerin huzurunu neden bozduğunu söyletmesini emret.",""
"DB07B78844C669105C5CEEB2797E71AC","CinematicNode_Choice_0","Zapytaj, kto go wynajął.","Onu kimin tuttuğunu sor.",""
"019737EE4746DD437E71A1B5A9A73B70","CinematicNode_Choice_0","Każ mu opowiedzieć o współpracy z WTA.","WTA ile iş birliğini anlatmasını emret.",""
"B342CDA7430C69DB40BF418C2DDB14DC","CinematicNode_Choice_0","Zakończ rozmowę.","Konuşmayı bitir.",""
"15496FC544CB2784A9A8C7A22A6D0C77","CinematicNode_Choice_0","1","1",""
"34E268724B40009087A4CAB99ACD9222","CinematicNode_Choice_0","2","2",""
"3B96C55640AD4127FCEEE39D670A1DF4","CinematicNode_Choice_0","3","3",""
"C4C7A48247E60127D45F92A5C2942507","CinematicNode_Choice_0","4","4",""
"9C59F37E4022364CEF3181A6670F6373","CinematicNode_Response_0","To jakiś wariat. Tu nie ma wyjścia, koledzy, tu trzeba bić.","Bu adam manyak. Çare yok dostlar, dövmek lazım.",""
"1E96D1034CAFAD484311C9A41023EA5A","CinematicNode_Response_1","Waluś i ekipa to też jacyś twoi kamraci?","Waluś ve ekibi de senin yoldaşların mı?",""
"905FA0AB49F9F0A9B3AA218712EA1739","CinematicNode_Response_1","Co? Nie wiem, o kim mówisz.","Ne? Kimden bahsettiğini bilmiyorum.",""
"A3C9A1924757FCE8392C419D2527F75B","CinematicNode_Response_1","Może pijany?","Sarhoş mu yoksa?",""
"C852710D4739089541D2FAA1E411AF2D","CinematicNode_Response_11","Po co niepokoisz zmarłych? Nie wstyd ci?","Ölüleri neden rahatsız ediyorsun? Utanmıyor musun?",""
"A0B3A90745B7A8A327163286085C8805","CinematicNode_Response_11","Już nie będę, naprawdę.","Bir daha yapmam, gerçekten.",""
"42DDD13043DC29B57934289318086BAC","CinematicNode_Response_11","Ale to nie był mój pomysł, przysięgam, kazali mi.","Ama benim fikrim değildi, yemin ederim, bana emrettiler.",""
"742FE36D41C780966816BCAECD6EFA17","CinematicNode_Response_12","Kto ci to kazał zrobić?","Bunu sana kim emretti?",""
"5529AD6240356C5ED450E3B9C36BBB6C","CinematicNode_Response_12","A, taki jeden. Konieczny. Włodzimierz Konieczny. ","Şey, biri. Konieczny. Włodzimierz Konieczny. ",""
"E2988F274C150840392881A7850A3B1E","CinematicNode_Response_12","Szef tego całego WTA.","Şu WTA'nın patronu.",""
"179849C94D0AACF56B97378345D230AD","CinematicNode_Response_13","Gdzie znajdę lokal tego WTA?","Bu WTA'nın merkezini nerede bulurum?",""
"3B45E76E438AA3D1EB4FEE8A0D6C8778","CinematicNode_Response_13","Trzeba iść w dół od cmentarza. Ulica Młynarska Tylna 10.","Mezarlıktan aşağı inmek lazım. Młynarska Tylna Sokağı No. 10.",""
"29DD6B2A4EC955DCE70F30B70FCE46A7","CinematicNode_Response_14","Ludzie się nie dowiedzą, kto beszcześcił groby ich bliskich, ale pod jednym warunkiem.","İnsanlar yakınlarının mezarına saygısızlık edenin kim olduğunu öğrenmeyecek, ama tek bir şartla.",""
"C627121340E72D5ED353039B66EF3C39","CinematicNode_Response_14","Dziękuję! Boże, dziękuję! Co trzeba?","Sağ olun! Tanrım, sağ olun! Ne lazım?",""
"EF56FA0147C8B0B7B95E55B588865750","CinematicNode_Response_14","Zdradzisz mi coś. Dlaczego Włodzimierz kazał ci wykopywać zwłoki?","Bana bir şey söyle. Włodzimierz neden cesetleri kazıp çıkarmanı emretti?",""
"8DA3DBB94284045E3575E99524FBE582","CinematicNode_Response_14","No, ja to tak rozumiem, że... Chodziło o to mu, że... O przestraszenie ludzi. I... podziałało, nie?","Şey, anladığım kadarıyla… Niyeti şuydu… İnsanları korkutmak. Ve… işe yaradı, değil mi?",""
"ACC7FFC743DDADCD7D8DDBB1A2165F0D","CinematicNode_Response_14","Mam chyba do pogadania z Włodkiem.","Galiba Włodek ile konuşacaklarım var.",""
"3C514D504FFE300BA2CCA0AAD5B76580","CinematicNode_Response_14","A to jak tam idziesz, to powiedz mu, że ja wciąż czekam na pieniądze, co? Powiedział, że weźmie ze składkowych, niech nie mówi, że nie ma.","Madem oraya gidiyorsun, ona söyle, hâlâ paramı bekliyorum, oldu mu? Aidatlardan alacağını söyledi, sakın yok demesin.",""
"77C0CCE74870E210E454ACA743449545","CinematicNode_Response_15","Pójdę już. I żeby mi to było ostatni raz. Bo każę wąpierzom odwiedzić cię w nocy.","Gideyim artık. Bu son olsun. Yoksa wąpierz'lere geceleyin seni ziyaret ettiririm.",""
"37BAED42495F75409AB8A9A38DC57A8F","CinematicNode_Response_15","O Jezu, nie, tylko nie wąpierze! ","Aman Tanrım, hayır, wąpierz'ler olmasın! ",""
"60DBAF624B07627FD57076A77E3072B2","CinematicNode_Response_15","Byłbym zapomniał. Grabarz kazał ci się więcej nie pokazywać na Powązkach.","Az kalsın unutuyordum. Mezarcı, Powązki'de bir daha görünmemeni söyledi.",""
"81B9D205448603CE031EABB75C4716BA","CinematicNode_Response_2","A Waluś i jego ludzie... to z cieślą trzymają. Buduje trumienki tu w okolicznym podwórku.","Waluś ile adamları… marangozla takılıyorlar. Yandaki avluda küçük tabutlar yapıyor.",""
"FEED7E774AB5BE0FE74BCA9A39ADF155","CinematicNode_Response_8","Który z was to Lech?","Hanginiz Lech?",""
"461EDBC442632BA71DBCFAB17EA4F7BE","CinematicNode_Response_8","Ja, a o co chodzi?","Benim, ne istiyorsun?",""
"5D9A7C694F0FA87433BA6EB814315536","CinematicNode_Response_8","O nocne wykopki na Powązkach.","Powązki'deki gece kazılarını.",""
"F27B0B3746159B53118044A4AEBF2D36","CinematicNode_Response_8","Wiem, że to ty trupy z mogił wyrzucasz.","Mezarlardan cesetleri çıkaranın sen olduğunu biliyorum.",""
