Hash,NodeName,PL,TR,Notes
920824C943707C8328F78FB526D34314,CinematicNode_Response_1,Długo będzie leżał jeszcze? Zamieść chciałam.,Daha çok mu yatacak? Süpürmek istiyordum.,"Hancı kadın (Gospodyni)"
6266260643A33E8E05BB398B058DE0DD,CinematicNode_Response_1,Gdzie Rasputin?,Rasputin nerede?,
754EB5464298E5E39AF4C28E215FA921,CinematicNode_Response_1,Na cmentarzu. Złe mary odpędza i ukojenie ludziom daje.,"Mezarlıkta. Kötü ruhları kovar, insanlara teselli verir.",
BC37283D4057B0754C46B8879DD24F78,CinematicNode_Response_1,Dobrze się czuje?,İyi hissediyor mu?,
99F1EE374D2B8EF3B23A3A9E795992AA,CinematicNode_Response_1,Tak. Zdecydowanie tak.,Evet. Kesinlikle evet.,
7B5274B749DDD3CE1F7D13B917B7D92B,CinematicNode_Response_1,Zamieść chciałam.,Süpürmek istiyordum.,
B83AA4F24A5803D064577B81532DE27E,CinematicNode_Response_1,Już się zbieram.,Artık toparlanıyorum.,
46F4D58B498F9C48C3BA74AB028E6704,CinematicNode_Response_1,Tak dobrze cię znowu zobaczyć.,Seni yeniden görmek çok güzel.,
8A3DB0094225C0DDBA28598E8687A8CD,CinematicNode_Response_1,"I coś jeszcze... Widziałem go tak, jak ciebie teraz. To nie była zwida. To był salutor. Niespętany paktem. Dziki.","Bir de bir şey daha… Onu şu anda seni gördüğüm gibi gördüm. Hayal değildi. Bir salutordu. Ant'a bağlanmamış. Vahşi.","Pakt = Ant (glossary)"
66A7016941ED9DC95DB7E0BED97EE252,CinematicNode_Response_1,"A jeśli tak, to znaczy, że we wsi jest ktoś, kto ma Skazę, która go przyciąga.",Öyleyse köyde onu kendine çeken bir Kusur taşıyan biri var demektir.,
082229114304F13E32E7A1BA405BA381,CinematicNode_Response_1,Do mnie mówił?,Benimle mi konuştu?,
B1935E0A49A20ED66C41BC81C5AC7088,CinematicNode_Response_1,Modliłem się.,Dua ediyordum.,
26D34A7746FAC3D08D8FE99E2D2A197A,CinematicNode_Response_1,Zamieść chciałam.,Süpürmek istiyordum.,
