"Hash","NodeName","PL"
"CFFA7CEF4D62AD771CE7BA9CDDC66B4E","CodexLoreDT","Salutor"
"FED9300D4F5D9FE847AAE483A398D4F1","CodexLoreDT","Mają wiele nazw. Kiedy łacina była w modzie, jakiś mędrzec nazwał te istoty ""przybyszami"". W wierzeniach ludowych nazywa się je czasem demonami albo aniołami, duchami czy czasem wręcz bóstwami.<br>Nie wiem, skąd pochodzą. Formą odzwierciedlają wierzenia i przesądy ludzi z różnych regionów, mimo że ci sami ludzie nie potrafią ich zwykle dostrzec. Osoby szczególnie wrażliwe, jak artyści, czasem są w stanie zobaczyć ich manifestacje.<br>Dzikie salutory zmieniają swoje miejsce pobytu, podążając za Skazami w ludziach. Teraz ludzie częściej podróżują... Kiedyś, w Sankt Petersburgu, widziałem Sfinksa."
"EDE042CF4414DAD8B6988CBBD2374CFD","CodexLoreDT","Skaza"
"8A898361455901ADA2F6E39211941E5D","CodexLoreDT","Co jest jarzmem dla innych, jest skarbem dla thaumaturga. Skaza to trwałe, ukryte piętno, które na ludzkiej duszy odciska trauma lub rutyna. Wielu je posiada, ja nie jestem wyjątkiem. Moja wrodzona Skaza to Duma, Skaza serca, które podarowałem Upyrowi dawno temu.<br>Tak samo działają wszystkie inne salutory. Te jeszcze niespętane podążają za Skazą, która ukryta jest w kimś w ich pobliżu. Konfrontując taką osobę z odpowiednimi argumentami, mogę uwydatnić Skazę, a następnie wziąć ją na siebie i zawrzeć pakt z dzikim salutorem. Związać się z nim. W teorii. Poprzednie próby zakończyły się wszak fiaskiem."
"C1E938E44F9D0F9CB57DF484A76C5F8D","CodexLoreDT","Po raz pierwszy przejąłem Skazę innej osoby! Wykorzystałem ją do spętania dzikiego Bukavaca. Ta Skaza, będzie już ze mną na zawsze. Część Vesny będzie już ze mną... na zawsze."
"7EAC18BF4C1998C83B9101B3AFB61A8B","CodexLoreDT","Mój Grymuar"
"CFCBFFC14BD963E91EF1CBA77DB16D95","CodexLoreDT","Lubię w nim pisać i szkicować. I Upyr w nim mieszka. Jeśli to czytasz, to przepraszam - nastoletni chłopcy nie powinni prowadzić dzienników.<br>Swój grymuar dostałem od ojca. To narzędzie thaumaturga, sposób na zawieranie paktów z salutorami. Dla mnie to też dziennik, a czasem szkicownik."
"99320DD148ED454386A9968C0AD373AB","CodexLoreDT","Ślad"
"287DAB754D614FA15A908781B7189AB7","CodexLoreDT","Ślad to personalny odcisk osoby na przedmiocie, coś jak personalna aura. Nie zawsze udaje się go rozpoznać. Czasem jednak Ślad nie odciska się, to normalne.Mogę rozpoznać, gdzie już widziałem dany Ślad, a kiedy poznam jego właściciela, zawsze mam pewność, kto wszedł w interakcję z danym przedmiotem. Nic się nie ukryje."
"AD66AE12497CDEC0137C25AE4FEDAB54","CodexLoreDT","Serce, Słowo, Umysł, Czyn"
"6EFE27644605A46174D90D91B978A7F1","CodexLoreDT","Kiedy przed wiekami zaczęto ujmować thaumaturgię w naukowe ramy, wybrano określenie 'Wymiar' na kategoryzację zagadnień, których dotyczy.<br>Serce to wszystko, co jest domeną emocji. Słowo to wszystko, co wypowiedziane. Umysł to to, co pomyślane lub ukryte w pamięci. Czyn to działanie, fizyczność.<br>Każdy z Wymiarów związany jest z dziedziną ludzkiego doświadczenia, rodzajem salutorów, intencji odciśniętych w przedmiotach."
"3776237E4DAF19BEE68366BB044683FC","CodexLoreDT","Rewolwer"
"75A6B3E341EB9A0AD1813A8E3CC78C66","CodexLoreDT","Jedyne, co wyniosłem z domu i prawdziwie mi się przydaje. Niezawodny. Do tej pory... <br>Nie pamiętam, jak się u nas znalazł. To od niego zaczęła się historia mojej banicji. Jakże dramatycznie to brzmi.""Rewolwer banity"". ""Strzelec na wygnaniu"". Bzdury."
"F15727AF4E0DC9354FC588A9712D55A1","CodexLoreDT","Thaumaturgia"
"928A03E645BB6A97DF3B64AF98E612B9","CodexLoreDT","""Thaumaturgia"", z greki 'cudotwórstwo'. Ojciec się pieklił, że inne określenie naszych mocy, ""tempermancja"", nie cieszy się równą popularnością. Thaumaturgia to inne, głębsze pojmowanie świata - dostrzeganie najskrytszych emocji, słyszenie niewypowiedzianych słów, możliwość zajrzenia do czyichś myśli...<br>Nie chciałbym być nikim innym, choć od początku moja moc wpędzała mnie w kłopoty. Rówieśnicy bali się, że poznam ich sekrety, dorośli ściszali głos, gdy wchodziłem do pokoju. Taki los.<br>Ostatecznie pojąłem, jak nie płoszyć swojego otoczenia i trzymać ich sekrety dla siebie. Każdy dzieciak obdarzony mocami przez to przechodzi.Thaumaturg, po zawarciu paktu z salutorem, jest też w stanie manipulować ludzką myślą, słowem, uczynkiem i emocjami."
"64217F0442A64BE4933FB19BBF700BC3","CodexLoreDT","Czarny Grymuar"
"D1B285D047BC1B36BD1C3784E0A09E54","CodexLoreDT","Ukochana magiczna książeczka tatusia. Nie spodziewałem się, że otrzymam cokolwiek w spadku. Na pewno nie jego Czarny Grymuar.Szkoda, że zaginął. Szczerze.<br>Czyli byłem godzien? A może to żart? Niech syn marnotrawny zagląda pod bruk, a książka tymczasem będzie już u Warszawskiego Towarzystwa Dobroczynności."
"9FBC03A243EAA4AE003569BEDF216D35","CodexLoreDT","W ruinach kamienicy nie znalazłem odpowiedzi na to, co się stało z Grymuarem ojca. Nie wiem, chyba liczyłem, że po prostu przeoczono księgę pod gruzami."
"F64736C44A7F33525EC1F9816C852FAE","CodexLoreDT","Swietłana Rumiancewa nie wie, co się stało z Grymuarem ojca."
"C6EB019B42C917E620355490A38E2603","CodexLoreDT","Konieczkin, naczelnik Ochrany, twierdzi, że znajomi ojca mają grymuar. Swietłana też mi o nich wspominała. Muszę ich odnaleźć."
"EEF7DE5347232652315CAA8FC00F3643","CodexLoreDT","Byłem pewien, że tym razem mi się uda! Myliłem się. Emir Burnakowicz nie ma grymuaru i nie wie, kto może go mieć. Moje poszukiwania utknęły w martwym punkcie, znowu. Ale nie tracę nadziei, ta książka jest moim dziedzictwem. Znajdę ją."
"CE070222487A4415E7C676973599EA50","CodexLoreDT","Koniecznik od początku wiedział, że Emir nie ma nic wspólnego ze zniknięciem grymuaru ojca. Kłamał. Chyba nie powinienem się dziwić. Wszak mataczenie i półprawdy, to jego praca, ale wciąż... jestem wściekły, że dałem się nabrać. Powinienem być mądrzejszy."
"331D87A048053343BA6D39B914FC2469","CodexLoreDT","Wreszcie jest. Ta książka kryje wszystkie tajemnice mojego ojca. Niestety Stanisław Szulski wiedział jak zabezpieczyć swoje sekrety przed wścibskimi oczami. Widzę słowa, potrafię je przeczytać, ale ich znaczenie, ich najgłębszy sens. Umyka mi. Muszę znaleźć kogoś, kto mi pomoże. "
"E74A452A4F36DF4D6E906FB8B8DEAA3A","CodexLoreDT","Chyba powinienem podziękować Konieczkinowi za ""przedstawienie mnie' Emirowi. Fałdżej odsłonił przede mną tajemnicę grymuaru i muszę powiedzieć, że jestem... zaskoczony. Ojcec zawsze wydawał się ufać jedynie sobie. A jednak jego grymuar opiosuje sposób na dzielenie się wiedzą i mocą thaumaturgiczną, w najbardziej intymny sposób. Poprzez złacznie umysłów. Gdybyśmy się na to zdecydowali, komitywa byłaby nie do powstrzymania. Moglibyśmy zmienić świat. Ale odsłonienie się w ten sposób przed innymi wywołuje we mnie niepokój.  "
"C162CC86451196F698F84B84B6D5E71D","CodexLoreDT","Nie pozwolę, żeby strach kierował moim życiem. Ojciec miał rację, thaumaturdzy zasługują na coś więcej, a komitywa może im to zaoferować. Użyjemy grymuaru, złączymy nasze moce i wszelkie tajemnice przestaną mieć znaczenie. Taką drogę wybrałem."
