"Hash","NodeName","PL","TR","Notes"
"2BEA4D6A42262CBCA9039DBDF5FB8739","CinematicNode_Choice_5","Powiedz, że przed walką zauważyłeś salutora.","Dövüşten önce bir salutor fark ettiğini söyle.",""
"AFCCC90640562ABCD38660970E02F746","CinematicNode_Choice_5","Wróć do tematu przeszłości.","Geçmiş konusuna geri dön.",""
"A2B67230453EA0F7ABCCB1B19ACAC18C","CinematicNode_Choice_5","Zostaw go i rozejrzyj się.","Onu bırak ve etrafa bak.",""
"B7DF18B441EDC3F102F988B9EB6DB69B","CinematicNode_Choice_6","Zapytaj o Bar Londyński.","Londra Barı hakkında sor.",""
"078020084536A111E0AA098761D586CE","CinematicNode_Choice_6","Podziel się spostrzeżeniami.","Gözlemlerini paylaş.","'Spostrzeżenia' = Gözlemler (glossary)"
"AD49CDB949C7B26AF656B3872BC2D4E7","CinematicNode_Choice_6","Zacznij temat Kozaków.","Kazaklar konusunu aç.",""
"5DE4363A49B22935998996978FDAB523","CinematicNode_Choice_6","Odejdź.","Uzaklaş.",""
"B0898BFB44293106763DFE8F487A92A1","CinematicNode_Choice_7","Złóż kondolencje.","Başsağlığı dile.",""
"CC29D3044F3177793E6BF2AA7486E788","CinematicNode_Choice_7","Zapytaj, co go powstrzymuje.","Onu neyin alıkoyduğunu sor.",""
"DBF72DE2441691B69AECB696F26D529E","CinematicNode_Choice_8","Brnij do celu.","Hedefe doğru ilerle.",""
"F02E4FCF4EE40B2F3986CA95057EC708","CinematicNode_Choice_8","Zapytaj o zakrwawioną szmatę.","Kanlı bez hakkında sor.",""
"38D455444B432CB9EE90599C53EF1819","CinematicNode_Choice_8","Dowiedz się, skąd się wziął ślad po kuli.","Mermi izinin nereden geldiğini öğren.",""
"3502C7354A88EB4DDAC13CB3AFE53DF0","CinematicNode_Choice_8","Wypytaj o wybite okno.","Kırık camı sorgula.",""
"20A6925D467AE2D16420A9BF58A1B27F","CinematicNode_Choice_8","Odejdź.","Uzaklaş.",""
"4B021B784CD1E01D8367E29F049A1BF4","CinematicNode_Choice_9","Powiedz, że musisz się zastanowić, co dalej.","Bundan sonra ne yapacağını düşünmen gerektiğini söyle.",""
"5E0F08C6439336C3ACBA0DAEC458DB61","CinematicNode_Choice_9","Zapytaj, jak często ktoś tutaj umiera.","Burada ne sıklıkta birinin öldüğünü sor.",""
"8845B02A4DA977553FF9A99EBFCE2502","CinematicNode_Choice_9","Najpierw wróć do szczeniaczka.","Önce köpek yavrusuna geri dön.",""
"DA159BFC450A25DC8CE8A6B53C7F9D8B","CinematicNode_Response_20","Stara przyjaźń nie rdzewieje, co?! Masz tu polską, czystą, mateczkę wszystkich trunków.","Eski dostluk paslanmaz, değil mi?! İşte sana Polonya yapımı duru votka, tüm içkilerin anası.",""
"F1A30C7846AEF352D43E0FA50621BDC3","CinematicNode_Response_20","Zasmakuj! Kto wie, jakie szczyny za granicą piłeś.","Tat bakalım! Kim bilir yurt dışında ne çişler içtin.",""
"F1F9DB894AA7ECAFEDF885B74FB528EC","CinematicNode_Response_20","To jesteśmy kwita? Pomogłem ci, więc zapominamy o tym, co było? ","Ödeştik mi? Sana yardım ettim, geçmişi unutuyoruz öyle mi? ",""
"EE6734C9421473C07221949930F31D10","CinematicNode_Response_20","Nie bądź taki interesowny, Wiktor. <dl>Sztymunku</> jeszcze między nami nie ma.","Çıkarcı olma Wiktor. Aramızda henüz <dl>sztymunek</> yok.","sztymunek = uyum/düzen"
"FD6D7F9D476136DC079C0CAE5C399649","CinematicNode_Response_20","A, dobrze grzeje! ","Ah, iyi ısıtıyor! ",""
"ACBC63DA4C8E23B71364DD97EE4F3583","CinematicNode_Response_20","Knykcie mnie świerzbią! Gdzie indziej idziemy szukać zwady!","Yumruklarım kaşınıyor! Kavga aramak için başka yere gidiyoruz!",""
"06C85D54400F46E1EFE7EBA02FD5D883","CinematicNode_Response_20","Krzyż na drogę...","Yol seni güzel etsin…","'Krzyż na drogę' dönem deyimi — git başımdan/iyi yolculuklar ironik"
"E671186D44555D773AE2C685077E6C93","CinematicNode_Response_20","No i co powiesz, Wiktor?","E, ne diyorsun Wiktor?",""
"FD53605949228FF7B65A40BF5E3C1476","CinematicNode_Response_21","Wracając do tematu przeszłości...","Geçmiş konusuna dönersek…",""
"2B01936541E97B3BA0CA5CAF66F0DD88","CinematicNode_Response_21","Chuj z przeszłością. Tu i teraz jesteśmy. Cieszmy się chwilą. Zdrowie!","Bin kere boşver geçmişi. Şimdi burada ve andayız. Anın tadını çıkaralım. Sağlığa!",""
"B3DBDCD9491E9B75957FE0895BC21268","CinematicNode_Response_21","Nie chcesz o tym rozmawiać? Myślałem, że dlatego mnie porwałeś.","Bunun hakkında konuşmak istemiyor musun? Beni bu yüzden kaçırdığını sanıyordum.",""
"DABB839A444F76B1CB9B5585A6D6D8AA","CinematicNode_Response_21","Już mi się odwidziało.","Canım geçti artık.",""
