"Key","Value"
"Flaw.Progression.Deed.1","Zwiększa siłę Wymiaru [DEED] o 1."
"Flaw.Progression.Deed.2","Za pokonanie każdego wroga, przywróci twoje [HP] w liczbie 5."
"Flaw.Progression.Deed.3","Zwiększa siłę Wymiaru [DEED] o 1."
"Flaw.Progression.Heart.1","Zwiększa siłę Wymiaru [HEART] o 1."
"Flaw.Progression.Heart.2","Raz na walkę pozwala uniknąć śmierci. Zamiast zginąć, zachowasz [HP] w liczbie 1."
"Flaw.Progression.Heart.3","Zwiększa siłę Wymiaru [HEART] o 1."
"Flaw.Progression.Mind.1","Zwiększa siłe Wymiaru [MIND] o 1."
"Flaw.Progression.Mind.2","Pozwala podwoić zadawane obrażenia, jeśli twoje [HP] nie przekraczają 9."
"Flaw.Progression.Mind.3","Zwiększa siłę Wymiaru [MIND] o 1."
"Flaw.Progression.Word.1","Zwiększa siłę Wymiaru [WORD] o 1."
"Flaw.Progression.Word.2","Podwójnie obniża [FOCUS] wroga, jeśli twoje [HP] nie przekraczają 9."
"Flaw.Progression.Word.3","Zwiększa siłę Wymiaru [WORD] o 1."
