"Hash","NodeName","PL"
"30E0060347FE5F33E39FCEB796E2782A","CinematicNode_Choice_1","Powiedz, żeby się nie trudziła."
"79560015472B94CDAAC032B6E47E3EF9","CinematicNode_Choice_1","Powiedz, żeby zrobiła kakao dla Ligii."
"F75D242E444C38FB5D931F9FE53AF412","CinematicNode_Response_10","Pan Wiktor, tyle lat, tyle lat... Dobry Bóg, jaki panicz zmoknięty!"
"B80FF7F84D562F03E438498B7446EB5B","CinematicNode_Response_10","Dobry wieczór, Grażynko."
"A779152C46F4E2C7345BC4B1F41995DF","CinematicNode_Response_10","Dobry, dobry, ale mokry pan jest."
"8D19B0D04DB4D4D4D0CBADBF4893C3AB","CinematicNode_Response_10"," Proszę do kuchni, przy piecu się panicz ogrzeje. I tego sędziego, pijaka, może stamtąd wyciągnie?"
"EFF61FBE4353F049DDD898A358CFDB79","CinematicNode_Response_10","A gdzie moja siostra?"
"1331F0AF46FB8340213EC6A49E88A789","CinematicNode_Response_10","W gabinecie, z notariuszem już czeka. Mówiła, że pan się spóźni. "
"F9D840844A59DAD9FDB61C926DB6B3E7","CinematicNode_Response_13","Zrobić paniczowi kakao? Rozgrzałby się trochę."
"F3B1D2C9422FC6A3AE27C3B4C700D608","CinematicNode_Response_14","Nie kłopocz się, Grażynko. Przywykłem do większych chłodów."
"67370A754F75C0433804BDB98C078192","CinematicNode_Response_15","Niech Grażynka zrobi takie tłuściutkie Ligii."
"DB9BCD5148396727FE2405B6EF336F50","CinematicNode_Response_15","Dla niej też nie zabraknie."
"CF9A8C0042BFFE28460DDCB692BAD848","CinematicNode_Response_15","Pana siostra to się nie przyzna do tego, ale bardzo przeżywa to wszystko."
"6D5C341344F6A96640CAE8B25E79E5FD","CinematicNode_Response_8","Panienko, goście już są. Notariusz też czeka na górze. Nerwowy jakiś. Może mu za mocną tę herbatę zrobiłam?"
"71FA3A0149BD9AD2A25FB78A491D5F6B","CinematicNode_Response_8","Dziękuję, Grażynko, goście niech poczekają, najpierw chcę się zająć testamentem."
"10AD324940DEB72C767F00B3E444E57A","CinematicNode_Response_8","To ja tylko przepłuczę czymś gardło i dołączę na górze."
"FB9817324FED88CEA108CE86C9A61FE5","CinematicNode_Response_8","Przypilnuj, żeby wujek trafił na górę trzeźwy. Sam też się może nie zasiedź."
"7E8E4A474D51FAB2015A538F62723EF7","CinematicNode_Response_8","Panicz Wiktor! Dobry Boże, pół twarzy zasłonięte, ale ja od razu poznałam! Wygląda panicz jak pan Stanisław za młodu. Zupełnie taki sam."
"D7EFA5F242D384BAFBA2488F81B5A6B9","CinematicNode_Response_9","Dobrze pana znowu widzieć."
"4F6F2B1048E67663702EB1990158FE61","CinematicNode_Response_9","Ale dłużej to ja teraz nie porozmawiam, bo i goście, i kakao, i państwu coś przygotować na później trzeba. Jeszcze porozmawiamy."
