"Hash","NodeName","PL","TR","Notes"
"8A0B7A5A49D1D9F399546AB0847FE9B5","CinematicNode_Choice_0","Dowiedz się, czego chcą.","Ne istediklerini öğren.",""
"772A7E654E1348AFC2186EBD1B799AEC","CinematicNode_Choice_0","Powiedz, że to zależy od tego, czy wiedzą, gdzie jest Ariel Rofe.","Ariel Rofe'nin yerini bilip bilmediklerine bağlı olduğunu söyle.",""
"05C70831479690E1AD4D84886B8335CD","CinematicNode_Choice_0","Odejdź.","Ayrıl.",""
"E2DF81D64F2E9A2568EA86B37D1A6748","CinematicNode_Choice_0","1","1",""
"B6CFE4B546137E0F9C05FCBBD73B2A14","CinematicNode_Choice_0","2","2",""
"D6983C584D04F24E02E7EFBC665B047B","CinematicNode_Choice_0","3","3",""
"1E25581E4407D33CC4DEF49C67A116F8","CinematicNode_Choice_1","Zgódź się.","Kabul et.",""
"6AD83C6F450CE62F66A8ADB257074356","CinematicNode_Choice_1","Zapytaj, czemu sami tego nie załatwią.","Niye kendileri halletmediklerini sor.",""
"47BC57604BF7EBA1D128218D47718B59","CinematicNode_Choice_1","Dowiedz się, co wiedzą o zniszczeniu portu.","Limanın harap edilmesi hakkında ne bildiklerini öğren.",""
"72F7C8764EA6DA48F0D9AA94777F0333","CinematicNode_Choice_1","Zapytaj, co to za drobiazg mają zniszczyć.","Yok edecekleri küçük şeyin ne olduğunu sor.",""
"5691621544FF1427B9271B8ECC164D34","CinematicNode_Choice_1","Nie jesteś zainteresowany. Odejdź.","İlgini çekmiyor. Ayrıl.",""
"320BF1F349A691A4C5668E9375EFFA29","CinematicNode_Choice_1","1","1",""
"82FFD2164B7C40C4C38D97828C4EB98F","CinematicNode_Choice_1","2","2",""
"D4DF3912410254CFD651FF99DF2678B5","CinematicNode_Choice_1","3","3",""
"49EB67AA456D39511A4A5CB1970E82F1","CinematicNode_Choice_1","4","4",""
"3481764D4D527F4DF18ADFAA4CAB8EDC","CinematicNode_Choice_1","5","5",""
"176670A7498A6DC32A08FC913564321B","CinematicNode_Response_0","Zobaczę, co da się zrobić.","Bakarım, ne yapılabilir.",""
"703B15954B8D0713606BB58ECFA57BDD","CinematicNode_Response_1","Czemu takich dwóch chwatów jak wy, sobie nie poradzi?","Siz gibi iki yaman neden tek başınıza hallemiyorsunuz?",""
"9AAE163B4B1F0A3E668820935A2B4420","CinematicNode_Response_1","Bo <dl>gliny</> po dwóch, trzech na <dl>stójkach</> stojo, ale reszta <dl>skitrana</> siedzi.","Çünkü <dl>enseciler</> ikişer üçer <dl>nöbette</> dikiliyor, gerisi de <dl>kıstırılmış</> şekilde oturuyor.","<dl>gliny</>=polis argosu ""ense""; stójka=nöbet"
"3DF28C33464A198A90DECBB9FE3A6E7F","CinematicNode_Response_1","Nie strasz go.","Korkutma onu.",""
"E27669E24B4FC84E62196492D27C865E","CinematicNode_Response_1","Na dyskrecji nam zależy. Książkę masz, to byś jej użył, może?","Gizlilik bize lazım. Elinde kitap var, kullansan?",""
"C2D764904BC7870251199AAFC1C597D4","CinematicNode_Response_10","Chcesz pomóc braciom w potrzebie?","Muhtaç kardeşlere yardım etmek ister misin?",""
"7C8E2D80406D5369268A92B2EEFEE00F","CinematicNode_Response_11","O co chodzi?","Mesele nedir?",""
"5158C00D404274EFD7CF09B4B02BD78A","CinematicNode_Response_11","<dl>Glinom</> się pod dupą pali. Nie dość, że transport broni im się zginął, to ostatnio znów >dl>skrewili</>.","<dl>Enseciler</>in kıçı yanıyor. Silah sevkiyatları kaybolduğu yetmedi, son zamanlarda yine <dl>batırdılar</>.",""
"E52474C9497E0FDDC501EDA7324D7F0B","CinematicNode_Response_11"," Tak co <dl>pierdutło,</> że dziś pół portu nie ma. Patroli, wojska naściągali i pilnujo tera."," Her şey <dl>darmadağın olmuş</>, bugün limanın yarısı yok. Devriyeleri, orduyu topladılar ve şu an nöbet tutuyorlar.",""
"42BF65B54257E123D557598CB1314932","CinematicNode_Response_11","A my musimy, dla Ariela właśnie taki drobiazg z <dl>dziupli</> zabrać i zniszczyć.","Biz de Ariel için tam da öyle bir ufak şeyi <dl>kovuktan</> alıp yok etmeliyiz.",""
"D71520834982FD5056B1F5A67592CE8B","CinematicNode_Response_11","To co, pomoże nam?","Ee, yardım edecek misin?",""
"6ED558C94F3BB9255709A795879D623C","CinematicNode_Response_12","Nie interesuje mnie to.","Bu ilgimi çekmiyor.",""
"AEC67A3D409CA7305FC28E8A746853AA","CinematicNode_Response_12","To sperdalaj, <yd>szmondaku!</>","Sik de defol <yd>szmondak</>!",""
"5B9CF078434B9E9BFB377181F707267E","CinematicNode_Response_13","To zależy, czy wiecie, gdzie jest Ariel Rofe.","Ariel Rofe'nin yerini bilip bilmediğinize bağlı.",""
"3F3C499C45677C559A3D7EBB8FE60ADA","CinematicNode_Response_13","A, to nie! To sperdalaj!","Ha bu hayır! O zaman sik de defol!",""
"D790C6EA414D5A4C6416ABB593C4F7DC","CinematicNode_Response_13","Poczekaj. Tu i jego interes ważny.","Dur. Burada onun da işi önemli.",""
"04CA82414B8078850FEEFAB38BE20BED","CinematicNode_Response_13","A jak wiemy, to pomożesz?","Peki biliyorsak, yardım edecek misin?",""
"B619A91144A9EE4B37193892AB6E0F26","CinematicNode_Response_15","To co, książkowy, pomożesz?","Ee kitapçı, yardım edecek misin?",""
"4636AE2144C9D2C94BB45EAB5A637838","CinematicNode_Response_16","Ariel kręci się po <dl>Różycu.</>","Ariel <dl>Różyc</>'ta takılıyor.","Różyc=Bazar Różyckiego kısa adı"
"899CC78C4C6B1F340B56F29823986F5B","CinematicNode_Response_16","Ale to nie my ci powiedzieli.","Ama bunu sana biz söylemedik.",""
"CB24FB504BE3580BB278608A6BA2546A","CinematicNode_Response_16","Zaraz! <dl>Różyc</> jest duży!","Dur! <dl>Różyc</> büyüktür!",""
"A6C5131244CD6AC365490984C0D0443A","CinematicNode_Response_16","No, to z <dl>fartem!</>","Ee <dl>şansla!</>",""
"E22B87B9424395D14B80CAB107DBE94F","CinematicNode_Response_19","Możemy się jakoś odwdzięczyć?","Size bir şekilde borcumuzu ödeyebilir miyiz?",""
"7AB875FC462E6860E6DB5A91CD1225BC","CinematicNode_Response_19","Szukam Ariela Rofe.","Ariel Rofe'yi arıyorum.",""
"E40217BB485F54461C52CAAF4D73A950","CinematicNode_Response_19","O, nie, tego to nie.","Yok ya, onu bilmem.",""
"E82BAB1F4338AEE105A01181A4EE2B70","CinematicNode_Response_19","Już wiecie, że nie jestem z policji.","Polis olmadığımı artık biliyorsunuz.",""
"E86978F9402BBACB686F2AAB08E91164","CinematicNode_Response_19","No, w sumie wiemy.","Eh, aslına bakarsak biliyoruz.",""
"98F1C2BE4B4F8617678732ABD8B21ECE","CinematicNode_Response_2","A te zniszczenia w porcie, to od czego?","Peki limandaki bu yıkım neden?",""
"FFED2DCF476F5DEDD0FEE7ADFE34A8BD","CinematicNode_Response_2","Nic nie wiedzo, socjaliści co wysadzili pewnie.","Bir şey bilmiyorlar, herhalde sosyalistler havaya uçurmuştur.",""
"05A1834647C7448E820B42812026DA77","CinematicNode_Response_2","Nie ważne co, ważne, że nam bruździ przez to.","Ne olduğu önemli değil, önemli olan bizim işimize çomak sokması.",""
"40BB674F43D0A390CA259FA9D4B6B828","CinematicNode_Response_2","Pytanie jest w mocy. Pomożesz, czy nie?","Soru hâlâ geçerli. Yardım ediyor musun, etmiyor musun?",""
"33AA3EF0425A670B2D18E1A2542E756C","CinematicNode_Response_20","Była umowa, tak?","Anlaşmamız vardı, değil mi?",""
"C43BEE3C47BA5944DD85898357006640","CinematicNode_Response_3","Czego się macie pozbyć dla Ariela?","Ariel için neyden kurtulacaksınız?",""
"FD53ECD142CE33059930368369901DAA","CinematicNode_Response_3","A ciebie, co to?","Sana ne?",""
