"Hash","NodeName","PL"
"045E4FEE460A6E4841BADFA00569BB5C","CinematicNode_Choice_2","Powiedz mu, że czas odpokutować."
"ADF8D6C749794D79B8E015B9CF72D684","CinematicNode_Choice_2","Daj mu w żalu znaleźć ukojenie."
"06F2E40842D364BCAFF316A033ADC03F","CinematicNode_Choice_2","Zmuś Danisa do opuszczenia baru."
"BDB1BD9F445A5CA9046023BDD19D0DC9","CinematicNode_Choice_2","Ofiaruj mu szczerą spowiedź."
"782DA88048A286B5B7268DAF4E8A29FC","CinematicNode_Choice_2","Nic nie mów."
"AF2373AD4B2527B9AF176D8CD9A437EE","CinematicNode_Choice_3","Stań do walki."
"BFD9B9AB48E00208DD37BEAFF9522E86","CinematicNode_Choice_3","Pohamuj pięści Selima. Dość walki."
"29844E52437486D345F531821B745791","CinematicNode_Response_19","Kule się mnie nie imają... kres nigdy nie nadejdzie..."
"0599206949C16E6FC7A82492E677DA8B","CinematicNode_Response_19","Co ty, Danis... Dawaj się napijemy, noc jeszcze młoda! "
"5FADE0B44BC6F0F46DE0918D873CF8F3","CinematicNode_Response_19","Nie rozumiecie... Zostawcie mnie!"
"0B55E41C43DE22661074E0A3DF47A1BA","CinematicNode_Response_20","Pora stawić czoła konsekwencjom. Graliście w <i>prawdziwą</> rosyjską ruletkę."
"14BF85D2464078CE63FD6986E96F61C1","CinematicNode_Response_20","I teraz odbierasz swoją nagrodę."
"813B7E57406113547E3BFFBE80447CBD","CinematicNode_Response_20","Ja? To wszystko jego wina... Bądź przeklęty, Pasza! Żałuję, że cię kiedykolwiek znałem!"
"32598487420285A951565CA062DDF307","CinematicNode_Response_21","..."
"1C40BD5A4AAC79AEEF7BF6A2EB7CB4EA","CinematicNode_Response_21","Nie tak miało być... głupia zabawa, niewinna, niewinna..."
"DC40EE9A47545873583690B8C38B22C0","CinematicNode_Response_21","Zwariował. To się nie skończy dobrze... "
"D4B3A45C4704307B7212A48308C74DB9","CinematicNode_Response_22","Wystarczy tego. Masz jeszcze o kogo dbać, Danis. Zabieraj stąd swoich ludzi."
"BD2F9AD444D68D3AD598A28709194AC4","CinematicNode_Response_22","Nie będziesz na dowódcę szczekał. Mamy go obić, <i>ataman</>?"
"1748CC2D45861A2DCD5B018A2F876F1A","CinematicNode_Response_22","Danis? Gdzie idziemy? Danis!"
"5FB3425A464BF5AB36F56181D355368F","CinematicNode_Response_23","Pozwól sobie na smutek, który cię trawi. Potrzebujesz tego."
"FBA7E8B54EB17D803C818296707BB4DB","CinematicNode_Response_23","Pasza... przepraszam. Nie opłakałem cię."
"55B30E054B19CE4B61522B8E3561CB2E","CinematicNode_Response_23","Danis, weź się w garść, co ty."
"7625DA2245E2B0E7CFA550A0B9E176E8","CinematicNode_Response_23","Nie, Selim, tak trzeba. Wy też... wybaczcie mi. Przepraszam, przepraszam..."
"6AD1C7604E2C33D4A305759BDA9C1329","CinematicNode_Response_23","Nic nie mów, tu nie trzeba słów."
"CA06607D42A1E5D98F1C7E80DE22DFAA","CinematicNode_Response_23","Mnie się widzi, że tu chyba jakieś <dl>trupowe</> trzeba łyknąć."
"888CBCD2470090CBF590F0957E0C9CF3","CinematicNode_Response_23","Danis, my zawsze z tobą, bracie! Do grobowej deski!"
"6C3D71A740919CF728C9DBA544E82573","CinematicNode_Response_24","Powiedz prawdę. Tylko prawda cię wyzwoli. "
"FE401F5C405ABB26DD8170BE0F7BC631","CinematicNode_Response_24","Ty i Pasza. "
"D8D34B754077106CCEE47D9F81CDA9CB","CinematicNode_Response_24","Miałeś nie drążyć! Danis, a ty zawrzyj pysk, <i>ataman</>!"
"E8873FD04EEC8313DBE8AB80EEF08A49","CinematicNode_Response_24","To czarownika wina! Jesteś trupem, psie!"
"77D184CF4A5DA8EB4A36A4B6E0803522","CinematicNode_Response_25","Ani słowa więcej nie szczekniesz! Wynoś się!"
"B45DD74143286B69AD91A78AB25670AC","CinematicNode_Response_26","W podskokach się stąd, czarowniku, zabieraj! Z Niedzicem, do jego meliny!"
"4F314FAC4895D2A898F729AEFA3B1B04","CinematicNode_Response_26","Do ""Nory Demona"", niedouczony knurze!"
"020608694DD8A8F624F49BB798C6EAFE","CinematicNode_Response_27","Morda w kubeł, Selim, bo znajdę zaraz nabitego <dl>gnata</> i ciebie odstrzelę!"
"1B34BC51469BB71D93307CAD775D5B7B","CinematicNode_Response_27","Dajcie mi chwilę... poskładać myśli... muszę."
"495EA2564F10750EBEB856A64C0BAABC","CinematicNode_Response_28","Świetnie to rozegrałeś, taki dyplomata to skarb. Co robisz w sylwestra?"
"36DCEAFB471367C3ACA5BFA6E4C4C517","CinematicNode_Response_28","Chodź, pogadamy."
"8F1C37144E651D715AB7409ED6017861","CinematicNode_Response_29","A wy?! Trzeba nas było powstrzymać!"
"D688944D49968AD6D21D9BBA9B21AFB7","CinematicNode_Response_29","Danis... my zawsze z tobą przecież."
"5E2A66FA419834F150D9208739B93FD6","CinematicNode_Response_29","Sam jesteś sobie winien! I głupi jak kulawy pies!"
"F15F5027486478EC0290A5AD8668E6BE","CinematicNode_Response_29","Przecież Pasza sam o swoim losie zadecydował! A zresztą... Sram na was wszystkich!"
"65D909584D340C1452CEB192D1371403","CinematicNode_Response_29","Jak i my na ciebie! Chodź, Selim."
"DE186D854ADC6143D96AB7960985A552","CinematicNode_Response_30","Chodź, zostawmy tych urwisów samych. Mamy do pogadania."
"12BBFB3C4D8F136951D5C6A1CD7A25D2","CinematicNode_Response_31","Już tyle razy to słyszałem."
"FECA3BDA4C991C9EF2875EAE0D083860","CinematicNode_Response_32","Selim, Timur, bracia. Honoru jeszcze nie straciłem. Za to znalazłem spokój."
"9024BC354989F81084BF448B0D257199","CinematicNode_Response_32","<i>Ataman...</>"
"2C1F413E4A38C9BA412361B38A957719","CinematicNode_Response_32","Słyszeli?! Jak się komu nie podoba, co tu gadano, to się nim zaraz zająć mogę!"
"6E8DD6634188B4A4E10A39A636E123CE","CinematicNode_Response_33","Na mnie nie patrz, trzeba było grać moim rewolwerem."
"5F7AC9BC4DF03606BFEC68B8724DD59D","CinematicNode_Response_34","No! Właśnie tak mi tu czegoś brakowało."
"08F032AC42C8E025E56DC2AD8CCF0850","CinematicNode_Response_35","Dosyć, chłopy! Już! Spocznij!"
"8991CA174AF36D2AF3BA7F925C8737AD","CinematicNode_Response_35","Ale Danis, on ci ujmę na honorze zrobił! To przez jego czary..."
"5B5A6E0842AFC45CCE53CEBA23152AE9","CinematicNode_Response_36","Rączki przy sobie, Selim. Wystarczy awantur."
"C56C8CF3457DC47CA93B179BDADAC204","CinematicNode_Response_36","Honoru mojego brata do śmierci będę bronił."
"34C7FB6D41F3F9D29E9DC8A13E58129D","CinematicNode_Response_37","<dl>Ryjcopranie</>! Kozacy chcą oklep!"
