"Hash","NodeName","PL"
"4BD468CC4A3BF00BC3DDD19E92A6FAC5","lw_smg01_readables","""Przewodnik po Warszawie"", Franciszek Borycz"
"DB6D4ABF481FE97A0238439A49EBB309","lw_smg01_readables","Gnojna Góra

Pewnym zaskoczeniem może wydawać się, że między wylotami ulic Celnej i Dawnej a ul. Bugaj, gdzie obecnie stoi urokliwa ławeczka, znajdowało się kiedyś owiane złą sławą wysypisko śmieci. Teraz tam, gdzie niegdyś unosiła się przykra woń, czuć zapach dzikich kwiatów, a w miejscu, gdzie oglądać można było jedynie sterty odpadów, roztacza się czarowny widok na Warszawę."
"876ECDE240004B41BB579DA8EFF84617","lw_smg01_readables","""Thurgizm w architekturze"", prof. Jan Zapędowski"
"42EBD4E743E51746111A9ABF45FE7A68","lw_smg01_readables","Styl dający się zauważyć od kilkunastu lat w architekturze, będący odłamem prądu zwanego secesją, dojrzał już i zasługuje na komentarz oraz ocenę.
Nietrudno zauważyć, w których punktach odbija on od traktu wytyczonego przez art nouveau. Tam lekkość i finezyjność splata się w kunsztowne portale; tu masywne zdobienia naczółków i zwieńczenia łuków wiszą nad obserwatorem jak niema groźba, symbol nieuchronnego fatum. Tam linie pną się w górę, zawijając jak pędy roślin w sposób harmonijny; tu skrzyżowane ze sobą poszarpane kształty tworzą wrażenie chaosu. Do tego dodajmy rzeźby przedstawiające upiorne maszkarony - i mamy pełny obraz sztuki, która powinna powrócić tam, skąd czerpie swoją inspirację: w mroki średniowiecza."
"697B85544372B5CB4AF21182E3B9D988","lw_smg01_readables","""Przedpiekle"", Gabriela Zapolska"
"D0EA2B5A433E20678AAD219AFC917894","lw_smg01_readables","- Słuchaj!... nie pozwól się uczyć na fortepianie... to zabija. 
Urwała i otarła łzę.
 - Wiesz, ja nie mam pojęcia, czego oni chcą odemnie - oto po prostu jakby kto uszy woskiem pozatykał, a palce, to jakby kto z drewna przyprawił.
Z rozpaczą komiczną zaczęła wykręcać sobie palce i bić się po uszach. 
 - A jak ci gamę chromatyczną grać każą, to już - zdechł pies!... Pierwszy trzeci - pierwszy trzeci - pierwszy drugi - o! tak!... a... niech ich czort weźmie!...
I pociągnąwszy się za ucho, załkała spazmatycznie. 
 - Oko Brandeburskie, nie życie... jak mnie do tego fortepianu zasadzą, to jakby mi kto żołądek z brzucha wyjął. Wszystko się we mnie ""telepie"", a potem mdłość mnie ogarnia i łzy ze ślipiów lecą...
Pociągnęła nosem i podniósłszy ukradkiem sukienkę, otarła oczy i nos w spódnicę. 
 - Ty, Staśka, stawiaj się i nie pozwól prowadzić do fortepianu."
"353495F94F409D3D0D1FD1A5452FD6A2","lw_smg01_readables","Notatka ze skradzionego woluminu"
"C47EDE674D5070633F59429BAEEB0838","lw_smg01_readables","Mam nadzieję, że uznasz moją małą intrygę za zabawną.
Miasto musi dostrzec potęgę thaumaturgii. Ciesz się swoim benefisem. Zasłużyłeś.
Cecylia."
"D9288209419CDCD01C8988A6509323E2","lw_smg01_readables","Zgubiona notatka"
"6A5BECC9487C8118A0E6928847982791","lw_smg01_readables","Widzimy się na kompletach. Tam, gdzie zwykle. Weź Hankę. I ciastka."
