"Hash","NodeName","PL"
"8D933CAF45ABFAAB5476CB928AFF1D4A","CinematicNode_Choice_0","Wytłumacz, że zamach to samobójstwo."
"4ACB50DA43F9DB870A05FB8D090EDEC4","CinematicNode_Choice_0","Wyznaj, że zabiłeś Konieczkina."
"DDF5DB8345DCB0C398ADBA931228195E","CinematicNode_Choice_0","Powiedz jej, że także masz plany na przyjęciu."
"F99CEFD7458111557503EA8B899551A7","CinematicNode_Choice_0","Zostaw ją."
"C05D348D4DE6BFA66575FFA0F90C9531","CinematicNode_Choice_0","1"
"4E086F0840DF8D255D142BB4C5D69C20","CinematicNode_Choice_0","2"
"8CCD0EC3482F35EF19DCABBF1FBE50A8","CinematicNode_Choice_0","3"
"691CB82140BCF7568FF2D78ABF53972B","CinematicNode_Choice_0","4"
"0BE5A38043F7BA6D22D4D2B5E04B1DE8","CinematicNode_Choice_1","Zignoruj jej zaczepkę."
"AB845E0745A0520321692896D896F50B","CinematicNode_Choice_1","Powiedz, że nie ma w tym twojej winy."
"98002FBD443EE356FA22D490BB90157C","CinematicNode_Choice_1","Przyznaj, że nie zależało ci na nich."
"7990901547D893F95B61A5BEF126BEC1","CinematicNode_Choice_1","1"
"202930214F9A6B56C25F89A64502D46C","CinematicNode_Choice_1","2"
"D0AA59784F4868A3EAAE88928E2D1047","CinematicNode_Choice_1","3"
"A4EF4ED54CC372FA9E949AA75F7369BC","CinematicNode_Choice_2","Przypomnij jej o Janku."
"995250C1469D2BDA6AE61C8954D77086","CinematicNode_Choice_2","Wytknij jej, że obiecała ci rewolucję."
"74AAFCFE4C72CD677398A182519B2516","CinematicNode_Choice_2","Powiedz, że poświęci życie na marne."
"ED7107AE40B2A55D4ABB5FBFC66377BB","CinematicNode_Choice_2","1"
"00535B6B4613CA42D45A2F8538BCE0AE","CinematicNode_Choice_2","2"
"B7EDA31F4A2C3319454A2DAAF1D3B8FB","CinematicNode_Choice_2","3"
"95FD8DFF48A4ADAB90AF0EBDE51D23C9","CinematicNode_Choice_3","Powiedz, że ją przejrzałeś."
"6CAE4ADF46ED917698A93C920CFA588E","CinematicNode_Choice_3","Każ jej iść do domu."
"038B503D4E7A467ADAF6A7AECFFE0E61","CinematicNode_Choice_3","Zapytaj, czego tu dokładnie szuka."
"783C931C414DFBE47A69A6AE30C7404A","CinematicNode_Choice_3","Zostaw ją."
"FFEB229842517F6197C1C2A9240A4328","CinematicNode_Choice_3","1"
"00ADE2134C6EF8D7AE548889E3C13F24","CinematicNode_Choice_3","2"
"A3047DD546F808C0B9D6C684CE926838","CinematicNode_Choice_3","3"
"91E538F14E8A63DCE2ED5685C0EB78C6","CinematicNode_Choice_3","4"
"1BAA51E24BA98E8E3A932991E613A877","CinematicNode_Choice_4","Przyznaj, że zastanawiałeś się, kiedy się zjawi."
"7655F94443938609DE3316BCED253B8A","CinematicNode_Choice_4","Powiedz, że z wzajemnością."
"E14C84C5478BB6BF3D63C79018AEACF4","CinematicNode_Choice_4","Zapytaj, co tu robi."
"A310C8C1436C9D1CFB35C89F4A137645","CinematicNode_Choice_4","Powiedz, że wiesz, po co przyszła."
"36EC5099408D1F340B96CAB590C38160","CinematicNode_Choice_4","1"
"086404D841EE056DC7EC6BB7F29763F2","CinematicNode_Choice_4","2"
"8ED15F89451B362AED3007B7F7DE2DDA","CinematicNode_Choice_4","3"
"18A903F34AE820BDC09CEE9CE986FA60","CinematicNode_Choice_4","4"
"5AD7FE9E4592ABA7640DB8A5648B8F34","CinematicNode_Choice_5","Przywołaj żołnierzy i każ wyprowadzić Wandę."
"9E7ACCDF4A9A23DD0814668DD9E64928","CinematicNode_Choice_5","Zostaw ją."
"75ACEAF24F034276A9AD00A50B4CD5A3","CinematicNode_Choice_5","1"
"ED499323480CD368B451F08E786697F2","CinematicNode_Choice_5","2"
