"Hash","NodeName","PL"
"3960C7F842F07321D0C301803F7BE64E","CinematicNode_Choice_0","Uwolnij słowa sierżanta. Niech prosi o pomoc."
"A8FB9B634116A937B321E1812BB1C83E","CinematicNode_Choice_0","Odejdź."
"BE30BBE3497190AA2FA850B2512E5784","CinematicNode_Choice_0","1"
"633035A042A70477DF9B90ADA97C554E","CinematicNode_Choice_0","2"
"57456025436CC01B67B40D89196D1ECB","CinematicNode_Choice_1","Powiedz, że musisz iść na nabrzeże."
"81094BC34EFD465CD73E3388F677A69E","CinematicNode_Choice_1","Zapytaj, co tu się dzieje."
"024C3418415396695C08C2AF89097935","CinematicNode_Choice_1","Nalegaj, żeby pozwolili ci przejść."
"A2166E114128DBED93B87187CCD5B2FF","CinematicNode_Choice_1","Okaż ukradzioną legitymację Ochrany."
"44DB208E4DDACC337BD50AAE74A35917","CinematicNode_Choice_1","Odejdź."
"2D6338504DB5C8A54025D3AF9D423760","CinematicNode_Choice_1","1"
"2ADB830C4C730CB02EFD83B5AC2204E6","CinematicNode_Choice_1","2"
"482BDC4848ADE27829952FAB80A5341A","CinematicNode_Choice_1","3"
"1CA812A243944653BD32EEA5D574A68E","CinematicNode_Choice_1","4"
"08682D1A494F44663CD20795F43F9A5B","CinematicNode_Choice_1","5"
"3FF71E5B40E7C3B086B924A81D4D406C","CinematicNode_Response_0","..."
"344D2A0841DA6B4A13053EA9FDCC04E4","CinematicNode_Response_10","No dobra, ja się poddaję. Jesteśmy tu od rana i nic. Ktoś ma pomysł, co robić? Cienki?"
"973C20F64F75F25F18890992A64FCD23","CinematicNode_Response_10","Szczerze, panie sierżancie, to ja nie wiem, po co my na Powiślu szukamy."
"1FEB25BE45A367C817E32C96CF896A98","CinematicNode_Response_10","Prowadzimy dochodzenie na szeroką skalę. Część ludzi tu i część w porcie."
"80A65B224CAC07278F4117AD53F1BE33","CinematicNode_Response_10","Po mojemu, to bez sensu. Ja tam jestem z Powiśla i mówię panu, że tu znajdziemy tylko wódkę i papierosy."
"305DA824466E16433ABCBB803477B40B","CinematicNode_Response_10","Jak transport skradziono w porcie, to trzeba szukać w porcie. Tylko tak na ostro."
"FD8F7D814912F16A5D2C28AFE200CFAD","CinematicNode_Response_10","Skoncentrowane działania na najbardziej prawdopodobnym terenie? Niech będzie. Chłopcy, do portu!"
"A3459BD447E337B53C83D38DC811E6FC","CinematicNode_Response_11","Nie będę zawracał głowy."
"D3B444C64711EF161C59A1B542F6D42F","CinematicNode_Response_12","Policja dokonuje na rewirze czynności. Proszę się rozejść."
"23E4683D47BF93CC129F179B0EA1769D","CinematicNode_Response_13","Przepraszam, panie władzo."
"58F1D4A44E38E3B295446DAF844D60FE","CinematicNode_Response_13","Jak to nie wolno? Sierżancie Karaś, tam ludzie pracować muszą, rodziny wykarmić!"
"E90252B24F85953B3BF8A099CC59538F","CinematicNode_Response_13","Prowadzimy czynności."
"5333A2A4466C340ACDB88D9AC5D266E0","CinematicNode_Response_13","A pan tu po co?"
"34FB4F11487801F587D0A1A7F46CF007","CinematicNode_Response_14","Muszę przejść. Może się dogadamy? Jak Polak z Polakiem?"
"9CF3735D4FD13485618919A98513EA98","CinematicNode_Response_14","Jako Polak z dziada pradziada, odpowiem w duchu narodowym, tradycyjnie. Spierdalajcie!"
"28EB49984248096D2D2C7CBC444019B8","CinematicNode_Response_14","Idźcie obaj w cholerę, tu jest zabór ruski!"
"0612C3B34B84C533C3393CBF345D5E53","CinematicNode_Response_16","Przykro mi, ale muszę się dostać na nabrzeże."
"1CD6E8A54D377021A0DCBBB73711F523","CinematicNode_Response_16","I jak zamierza pan to zrobić?"
"FC647DF54BCE33F1DDCCA096A649C52D","CinematicNode_Response_16","Kurwa! Magik! Brać go, chłopcy!"
"E8A4437A4FC12B3B2D35149661F7B4F0","CinematicNode_Response_17","Co tu się dzieje?"
"39502D724E5B9E09932B988F3083A2C8","CinematicNode_Response_17","Co? Niekompetencja! <dl>Gliniarzom</> wyparował transport broni i teraz im się portki trzęsą."
"1D718B984BE070096FF90ABF438A63EE","CinematicNode_Response_17","Uważaj na słowa!"
"23B562EB4341D28D4FED5CAF9B48FB27","CinematicNode_Response_17","Nikt nie wejdzie, aż nie skończymy."
"994F47A54D1B7C771FA1FEA5443C11F6","CinematicNode_Response_9","Sierżancie Karaś, jestem tu służbowo."
"F24766FD48B051F795DC5386B3C1DD94","CinematicNode_Response_9","Oczywiście. Chłopcy, przepuśćcie pana."
"537E4BD24601284325AEEAAAB62E6487","CinematicNode_Response_9","No oczywiście, jedna <dl>ferajna</>. A co z nami? "
