"Key","Value"
"Player_D_02","Umiejętność dodatkowo wywołuje ten stan u losowego wroga."
"Player_D_03","Podwaja ilość stanów <Tag_Neg>Cierpienie</> na wszystkich wrogach."
"Bukavac_01","Tempo umiejętności jest tym szybsze, im [HP] wroga są niższe."
"Bukavac_02","Zadaje [DAMAGE] równe 8, za każdego wroga znajdującego się pod wpływem staniu <Tag_Neg>Cierpienie</>."
"Bukavac_03","Wywołuje u wroga <Tag_Neg>Cierpienie</>. Jeżeli jego [HP] są utracone w ponad 50%, inny, losowy wróg także otrzyma ten stan."
"Bukavac_H","Wywołuje u wszystkich wrogów stan: [Status.Offensive.Dmg_Suffer]"
"Djinn_03","Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Djinn]."
"Djinn_H","Wywołuje u wszystkich wrogów stan: [Status.Offensive.Dmg_Debt]"
"Golem_01","Spowalnia zaplanowane działanie wroga, ale nie więcej niż o 2 rundy."
"Golem_02","Jeśli [FOCUS] wroga jest niepełne, umiejętność zada podwójne [DAMAGE]."
"Golem_03","Jeśli wróg jest pod wpływem stanu <Tag_Neg>Cierpienie</>, umiejętność zada podwójne [DAMAGE]."
"Krampus_01","Przywraca całe twoje [FOCUS], ale w zamian tracisz [HP] w przeliczeniu 1:1."
"Krampus_03","Zadaje [DAMAGE] 5x większe niż suma brakującego [FOCUS] wszystkich wrogów."
"Krampus_H","Dodatkowo wymienia brakujące [FOCUS] wrogów na zadane im [DAMAGE] w przeliczeniu 1:5."
"Lelek_02","Pozbawia cię negatywnych stanów i przenosi je na wroga."
"Lelek_03","Przerywa zaplanowane działanie wroga, jeśli ten jest pod wpływem stanu <Tag_Neg>Cierpienie</>."
"Lelek_H","Zmniejsza [FOCUS] wszystkich wrogów o 1."
"Morana_02","Zadaje 8x większe [DAMAGE] niż liczy brakujące [FOCUS] wroga. Przywraca całe [FOCUS] wroga."
"Morana_03","Przerywa zaplanowane działanie wroga."
"Morana_H","Spowalnia zaplanowane działania wszystkich wrogów."
"Upyr_01","Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Upyr], czyli połowę utraconych."
"Upyr_02","[HP] celu decydują, jak duże [DAMAGE] zadaje ta umiejętność. Im więcej ich jest, tym zadawane [DAMAGE] będą większe."
"Upyr_03","Uwalnia cię od negatywnych stanów."
"Upyr_H","Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Upyr], czyli połowie utraconych."
"Weles_01","Daje 50% szans, że zadane [DAMAGE] będą potrojone."
"Weles_02","Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Weles]. Daje 50% szans na potrojenie tej liczby."
"Weles_03","Daje 50% szans na przerwanie zaplanowanego działania wroga."
"Weles_H","Wyprowadza atak na losowego wroga."
"Salutor_Sacrifice","Na dobre zrywa więź z salutorem, uwalniając cię od jego <tag>Jarzma</>. Przywraca ci pełne [FOCUS] i odnawia [HP]."
"Engage","Przemieszcza się w stronę celu."
"Skip","Zablokowane działanie."
"Buff_All_Ally_Dmg","Wywołuje u wszystkich sojuszników na 3 rundy stan [Status.Buff.Dmg_50_3R]"
"Buff_All_Ally_Speed","Wywołuje u sojuszników na 5 rund stan [Status.Buff.Speed_1_5R]."
"Heal_One_Ally_Hp_10","Przywraca [GameplayEffect.Instant.Heal.Hp.Enemy_10][HP] jednemu z sojuszników."
"Heal_All_Ally_Focus_2","Zmniejsza [FOCUS] sojuszników o 2."
"Heal_One_Ally_Focus_2","Przywraca [GameplayEffect.Instant.Heal.Focus.Enemy_2][FOCUS] sojusznikowi."
"Lelek_Ritual_02","Pozbawia sojuszników negatywnych stanów i przenosi je na wroga."
"Morana_Ritual_01","Przyśpiesza następne działanie celu o 1 rundę."
"Weles_Ritual_H","Wyprowadza atak na losowego uczestnika walki."
"Adrenaline","Tempo umiejętności wzrasta o 1 gdy [HP] atakującego spadną poniżej połowy."
"CoopHP","Zwiększa zadawane [DAMAGE] o 5 jeżeli wróg jest pod wpływem stanu <Tag_Neg>Oznaczenie wroga</>."
"CoopFocus","Dodatkowo zmniejsza [FOCUS] o 2 jeżeli wróg jest pod wpływem stanu <Tag_Neg>Oznaczenie wroga</>."
