"Hash","NodeName","PL"
"8118DF534101EC61E9DF52A45C15E4D7","CinematicNode_Choice_3","Powiedz, że właśnie musiałeś zmienić swoje plany."
"60777B704148C03B081834ADEDADB333","CinematicNode_Choice_3","Powiedz, że musisz jechać do Warszawy."
"CE4DED0045B1E12F3F4CE7800EF86705","CinematicNode_Choice_4","Zbyj go – powiedz, że tak."
"EE3A03D24DE0328B45C54FB4588D8735","CinematicNode_Choice_4","Powiedz mu o śmierci ojca."
"09FFBB744BE4DD0A07EB7A88F429763C","CinematicNode_Choice_5","Powiedz, że nie."
"EC09D9ED427851CCE5060A9F8D9AEF38","CinematicNode_Choice_5","Zapytaj, czy to jest jakaś groźba."
"AFFD9A4D4F75AFC817E0B99A44FC2C1A","CinematicNode_Response_11","Przyszedłeś mnie pożegnać?"
"C774A7B04A196B74F34D54AC9F2072B7","CinematicNode_Response_11","Raczej podzielić się obawą. Twój stan wczoraj, po walce z tym... <i>Bukavacem</>. Zaniepokoił mnie."
"96A280464FAC87C0896EA78EC09B1F5D","CinematicNode_Response_11","Moje zabiegi nie mają chyba trwałych skutków."
"8EBB00BA42421692508EE8A160766C26","CinematicNode_Response_11","I nie wyglądasz najlepiej. Dobrze się czujesz?"
"D06BC0F340EF154AC34A299B207DDAB6","CinematicNode_Response_12","Jeszcze przed chwilą myślałem o Wiedniu lub Budapeszcie, skąd chciałem jechać do Paryża, ale teraz..."
"9E292BCF438CF7B69D53038E8EAD02E8","CinematicNode_Response_12","Muszę najpierw pojechać do Warszawy."
"A475AFEE4AF4D7ABFC090F8E0A225C4D","CinematicNode_Response_13","Muszę pochować ojca. W Warszawie."
"B51633204E840316599E90957FA8317A","CinematicNode_Response_13","Hmm..."
"CA747C174D117DCFEE377199BB0591C0","CinematicNode_Response_14","A ty?"
"D40D4C35473A8706003F6B923E0604F7","CinematicNode_Response_14","Dzięki tobie chyba nie mam tu już nic do roboty."
"77B70CC1481A4567FA2183982AF1CDFC","CinematicNode_Response_14"," Miałem trochę czasu na myślenie o tym, co zobaczyłem w twoim umyśle, i powiedz mi, Wiktorze..."
"8F960A52454A7C7CFE7C2D873800CB5D","CinematicNode_Response_14","Widziałeś kiedyś ludzką czaszkę, rozłupaną o bruk?"
"158A769D46F4572A53103589BB01B297","CinematicNode_Response_15","Czuję się dobrze, dziękuję."
"D97175454119B076FBBE02BDD4A14F35","CinematicNode_Response_15","Nie chcesz, to nie mów."
"721A561E45F794A931DDF2B096FD1F85","CinematicNode_Response_16","Właśnie się dowiedziałem, że mój ojciec nie żyje."
"1E2D183545FF370A0E96C1B3FD317EE3","CinematicNode_Response_16","Przykro mi."
"B9AF8FAF4F5D89116DAD84AECAA28D80","CinematicNode_Response_16","Po twoim zabiegu, kiedy miałem halucynacje... Widziałem go."
"821FDEA44675F63951BD4B9128805FA2","CinematicNode_Response_16","Pierwszy raz od lat słyszałem jego głos. Jestem pewny, że był jego. Dziwne uczucie..."
"7AD086C6400DBD3DBE5397BAECB36B3F","CinematicNode_Response_16","Może przyszedł się pożegnać? Może to były jego ostatnie słowa do ciebie? Proroctwo?"
"ADAA6F7845379E2FCB86BCA8EBA164F1","CinematicNode_Response_16","Mam nadzieję, że nie."
"6D56C15D49744357A058B09DF0644FF2","CinematicNode_Response_17","Co teraz zamierzasz?"
"2AAA90FF4D13ED8D97AA74B7B3991297","CinematicNode_Response_18","Obiecałeś mi przysługę, więc... Warszawa brzmi doskonale."
"0E7482664064E6CAC19354B886211426","CinematicNode_Response_19","Nie widziałem."
"8DA9309B4F78739EFFB4BDA1ED1FE7BB","CinematicNode_Response_20","Twoje pytanie zabrzmiało jak groźba."
"AF6F2EAC41FFBAFB844143989F520483","CinematicNode_Response_20","Bo jest. Dla nas wszystkich."
"9171554E4E644BF9F18449AE3B315B11","CinematicNode_Response_21","Ja widziałem. Czaszkę samego cesarza Franciszka Ferdynanda. Z mózgiem wylewającym się na chodnik."
"A8C4D7454F3EC2ADA456DE8CD91A9458","CinematicNode_Response_21","Widziałem też białe schody w Odessie spływające krwią. Pola bitwy zasnute śmiercionośną mgłą, z której wyłaniają się istoty bez twarzy..."
"DCF524244963E564A6946998159C9F97","CinematicNode_Response_21","To się jeszcze nie wydarzyło, ale ja widziałem to wyraźnie, jak ciebie teraz. Dzięki tobie wiem, że mogę to powstrzymać. Wiem, że jestem częścią historii i mogę ją zmienić."
"5E5AB18246A7D4D00C445FA5A2D33424","CinematicNode_Response_21","Nawet za cenę szyderstw, plwania lub życia. Poza tym..."
