"Hash","NodeName","PL"
"994D2C7D44821FE6AEE288926BAB7ECF","CinematicNode_Choice_0","Przeraź Serce cara perspektywą podzielenia losu Skałona."
"42B269854D55F69A181567BB58E52126","CinematicNode_Choice_0","Zatrwóż Serce cara lękiem o jego rodzinę."
"2463E56C434FC638CEDBA485E81972B0","CinematicNode_Choice_0","Uwolnij Serce cara od lęku, oferując mu przychylność."
"CD210E304249CCDD3DCA32A2BAACB191","CinematicNode_Choice_0","1"
"E2BE9EFB468B91AFF7682FA0945A84A6","CinematicNode_Choice_0","2"
"B30E43514D8A4C4098B50792B985AA90","CinematicNode_Choice_0","3"
"8989AEE7414723383624F09BC74D4637","CinematicNode_Choice_10","Ostrzeż cara przed Rasputinem."
"7B9898F44E3F38177BF61490F29BEDD5","CinematicNode_Choice_10","Oznajmij, że z tobą, nic im nie grozi."
"21C4431E44919C61966250B91B076B92","CinematicNode_Choice_10","Przyznaj, że nie jesteś pewien."
"CAB9A00B432452FA16ABEDBDA39D9F96","CinematicNode_Choice_10","1"
"6ACC2B4A4C38AA9DB6401891F8151F95","CinematicNode_Choice_10","2"
"2AAED3B347A3AAC75FCF1295FD8E3787","CinematicNode_Choice_10","3"
"558CFC724DBCCFA2707D488646319372","CinematicNode_Choice_11","Zagraj informacjami związanymi ze Swietłaną."
"C45DF7A54EB241B858A66A958BE96F75","CinematicNode_Choice_11","Zauważ, że jest przyparty do muru."
"4651683E45E96021B11D74BD5A43BB7D","CinematicNode_Choice_11","Opowiedz mu o komitywie."
"1AFF6093496D599989C717B7B18ECF51","CinematicNode_Choice_11","Zagróź, że pozbędziesz się go tak, jak Skałona i Konieczkina."
"F3ED88D0498621FB4AC25FA2D7AA02F4","CinematicNode_Choice_11","1"
"1697895C4C5724E39FC6E5AF5C9485CD","CinematicNode_Choice_11","2"
"9518DDCC41A14F51A41396958E927EFA","CinematicNode_Choice_11","3"
"C18CBF5346757522D4CF8AA1782DA970","CinematicNode_Choice_11","4"
"06C43F9E45D209A1180309A66B351A41","CinematicNode_Choice_12","Sam sparaliżuj Serce cara strachem, aby zgodził się na więcej."
"901AC3264DB714115A27158680C78C60","CinematicNode_Choice_12","Dyskretnie skieruj swoje myśli na potrzebę zmanipulowania cara."
"3F5F679A44415F447B3B42AFAFC7CFD1","CinematicNode_Choice_12","Zagraj wiedzą o okrutnych dekretach."
"14C3FB3647799DFCEBFA4AB596B66B8E","CinematicNode_Choice_12","Przyjmij warunki cara. Nie masz wyboru."
"0A4C98C34FABF4835B4FCAB3DEC1C03C","CinematicNode_Choice_12","1"
"D1C159654F8269A2DFAAFEABE6EA3987","CinematicNode_Choice_12","2"
"C6A8CD66422EDE3C83594591DFDAEBF7","CinematicNode_Choice_12","3"
"4D225BDF445F165BD18461B3BC0B03B0","CinematicNode_Choice_12","4"
"E03C4BB54F64F8B65826878498072A0E","CinematicNode_Choice_13","Sięgnij do Serca cara i uspokój go."
"438030AD46B2C9FCECCFA8B22BCAD59D","CinematicNode_Choice_13","Nie reaguj."
"F83FAC47467C5A678BDD138EA0EDF73C","CinematicNode_Choice_13","1"
"C3A633044A334B2E83BE059D391F884D","CinematicNode_Choice_13","2"
"7B5C2C364D80C6AB052F54B5E5231D31","CinematicNode_Choice_14","Wyznaj, że wiesz, gdzie spoczęła ona i jej sekrety."
"B821968049D89A269554518D6BCB86AF","CinematicNode_Choice_14","Zaszantażuj cara wiedzą o chorobie carewicza."
"61D9598C42D7732AF5C6798BC7294416","CinematicNode_Choice_14","1"
"2AE08C534A95695A42D8B39B4A5E3F51","CinematicNode_Choice_14","2"
"978C91624B3C8B22629DB88D0411C024","CinematicNode_Choice_15","Opowiedz mu o komitywie."
"A66EC5F94F0DFF97100120B61B212FE0","CinematicNode_Choice_15","Zauważ, że komitywa może być potężnym sojusznikiem."
"997B61CE4AF71302CD5222A3853F5E77","CinematicNode_Choice_15","Powiedz, że chcecie szukać lekarstwa na chorobę carewicza."
"A9522D08423C381FA355FBA8483CC4AF","CinematicNode_Choice_15","Zagraj wiedzą o okrutnych dekretach."
"67CFB2A5460E634AD05ABB855FE536C9","CinematicNode_Choice_15","1"
"8D75BA304562751B4779848AA7F92A44","CinematicNode_Choice_15","2"
"815CC7384C3F3EA3489B0D9ADF7E0AD0","CinematicNode_Choice_15","3"
"B86A34E743EA4F803B7BADAFBB740BD4","CinematicNode_Choice_15","4"
"4DCAECDD449845F2E9E93FAD85BAA626","CinematicNode_Choice_17","Zgódź się, z całą stanowczością."
"9660B8E841D47663E4284A82F9EDB9A3","CinematicNode_Choice_17","Przemilcz to pytanie."
"C40AB70241723FB829343FB085B5D36A","CinematicNode_Choice_17","1"
"D08DB5C5475286273C4C59B6EE86D156","CinematicNode_Choice_17","2"
"C50634704C2E31C96DA28484B3B860B8","CinematicNode_Choice_3","Zdominuj fałdżeja. Nie pozwól mu wydać nikogo."
"FD5DECEF45A8D58A34DA8F95087FACB4","CinematicNode_Choice_3","W myślach poproś fałdżeja, aby nikogo nie wydawał."
"55F4D1534616099D35C506B16B212027","CinematicNode_Choice_3","Nic nie mów."
"A891C88D460A73062D6B65A103DBD7CB","CinematicNode_Choice_3","1"
"14EB0EAD4DF5EF4764652EA301D83334","CinematicNode_Choice_3","2"
"FE81DC9D428A6E466C4793BAD0B97282","CinematicNode_Choice_3","3"
"D0DBDCC1499F9E2EF5A762AA58FFE139","CinematicNode_Choice_4","Sięgnij do Serca cara."
"5AFFED2E4B640EAB1F6A9C9EB1BCDB42","CinematicNode_Choice_4","Niech fałdżej sięgnie do Czynu cara."
"375ABA634DC0F3E8A12E7CB87F797B31","CinematicNode_Choice_4","Niech Ariel sięgnie do Słów cara."
"A8417C754D936F1DBF2CBF8BD6C66E9A","CinematicNode_Choice_4","Niech Samira sięgnie do Umysłu cara."
"6EC4A4BF468B5BD78C4BBBB2B67DF50B","CinematicNode_Choice_4","1"
"8D63FAD648D0ADFBBE43B7A2D0E84145","CinematicNode_Choice_4","2"
"B3EE792445F50E6FFF363DA51E5150EC","CinematicNode_Choice_4","3"
"9FF55CF846FB413712EFE3BA86F9B263","CinematicNode_Choice_4","4"
"E21629204003B82C89AB49829C1643E5","CinematicNode_Choice_7","Przyznaj, że to zależy od jego chęci współpracy."
"6087B8A045520B1142DAE29CDC355FF7","CinematicNode_Choice_7","Najpierw was przedstaw."
"943E503C4581DCD220317282F12BECD0","CinematicNode_Choice_7","Oświadcz, że przychodzicie z żądaniami."
"9B28043040ADCCEFF85ECDB68E28E5CA","CinematicNode_Choice_7","1"
"2D5219C34A335AC03CDA7E88E531779F","CinematicNode_Choice_7","2"
"7DE1B6E34CEEDD550AD423851D95D4DE","CinematicNode_Choice_7","3"
"DB36A4B745478FC2F632F19696F9F5A3","CinematicNode_Choice_8","Ustąp Emirowi."
"6D9D4F8349FFB1C034083991DE439FD3","CinematicNode_Choice_8","Zdominuj fałdżeja. Ty tu rządzisz."
"060833394C47D7B65D2A0785DB579E24","CinematicNode_Choice_8","1"
"FEBA906B471DCE7DF04AB6A786149B96","CinematicNode_Choice_8","2"
"35599FBA475656DD7162498F06EB97E1","CinematicNode_Choice_9","Sam sparaliżuj Serce cara strachem, aby zgodził się na więcej."
"91ED36FC495AACE76FBA16BA57A3C3A4","CinematicNode_Choice_9","Skończ. To wszystko, co mogłeś zrobić."
"B3862E2E498202B68EF4D9B4C8805815","CinematicNode_Choice_9","1"
"1854ED8748E5FBF77F9548A8924AE287","CinematicNode_Choice_9","2"
"3784B83549E01175F6C933A0D79B0B8F","CinematicNode_Response_0","Madame, pomóż mi. Duma zagraża nam wszystkim."
"4A720A284DCCD962114DA586F90B9F17","CinematicNode_Response_1","Widzisz, że twoje własne elity, jak Swietłana Piotrowna, występują przeciwko tobie. Knują i zwodzą. Jesteś osaczony."
"5D4919BF4DB24C88CB99719CE5EDE00D","CinematicNode_Response_1","Otaczają mnie sami zdrajcy! Czy ja to powiedziałem na głos? Co się dzieje?"
"38C6F5744ACB1CC095B60681533D0CF8","CinematicNode_Response_1","Skałon zrobił podobną minę."
"5456E470426381906F5762A16350FCB3","CinematicNode_Response_1","Przestań."
"D250FBAD4F90822D9C44B48CFBB6A2C9","CinematicNode_Response_10","Stajemy przed Waszą Cesarską Mością nie jako przypadkowa zbieranina, ale jako thaumaturgowie złączeni paktem. Dokonaliśmy niemożliwego, aby być tu dzisiaj."
"6BDA7F1D4FA2E33D0EF5CE8911993334","CinematicNode_Response_10","I z tej pozycji, pragniemy dialogu. Wierzymy, że przyniesie to obopólne korzyści. "
"FFC8E26640CCC83FFFF6C9A34B22F9C1","CinematicNode_Response_10","Macie na to jakąś nazwę?"
"2ABEED7A49490D2542D640868B6EA1E7","CinematicNode_Response_10","Możecie nas nazywać <i>komitywą</>."
"1628D7674A49BA6896D07F97D6F4175C","CinematicNode_Response_100","Poza tym, brakuje nam czwartego. To ci się zwyczajnie nie uda, Wiktorze."
"EE42BAD441DB64F654079EB1990B01BD","CinematicNode_Response_101","Dosyć tej farsy. Żądam, abyście mnie uwolnili."
"098F5BDB4A2A879763335786648B64B1","CinematicNode_Response_102","Zgoda, ale tylko ten jeden raz. Ufam, że nie będziesz nadużywał mocy w ten sposób."
"043A77FF462A3A59E4BA508609D8F820","CinematicNode_Response_103","Bez władcy wymiaru Słowa, nie mamy szans na powodzenie. Nawet się ze mną nie kłóć na ten temat."
"4E4E8B2943A3AE8EAD41ADB063E32FFE","CinematicNode_Response_105","Spełnię prośbę o powstrzymaniu przemocy. I ani jednej więcej."
"F9AD8D14470617D916D30493286724B2","CinematicNode_Response_106","Nie mam innego wyboru, niż się zgodzić."
"C219FF4848FE4B68ED5F7691C88DE5EB","CinematicNode_Response_106","Zawsze jest jakiś wybór. Trzeba tylko wykazać się siłą."
"9D1884A04DB513C309457B862CEBF54F","CinematicNode_Response_107","Połowa carskich gości była świadkiem słów hrabiny na ten temat. Lermontowie są skompromitowani w towarzystwie, a dłuższe wspieranie ich, tylko szkodzi koronie."
"B909F0964BBB2488F5FF699BDD5D9FA8","CinematicNode_Response_108","Tak myślałem."
"40094C9A42ECAB23FEFFBE9AAC097C38","CinematicNode_Response_109","Dalej."
"BEAF216E48D763B986AA879B29B43ADB","CinematicNode_Response_11","Wybacz, Wiktor. Nie możemy pozwolić, aby cię poniosło. Dasz nam mówić."
"C2297618476F7A1B9C31FE826E62931F","CinematicNode_Response_11","Wspaniały dowód na to, jak demokracja się nie sprawdza."
"CD936E8044C5EE5759B5FC911D09C879","CinematicNode_Response_110","Usłyszałem już dość."
"C3583F7D4E02AA92D6B0519A5977BF5E","CinematicNode_Response_110","Rozumiem, że chcecie czegoś w zamian. Słucham."
"2F99464A48749CE5CBC2F49E48D267CD","CinematicNode_Response_112","Wciąż za mało, aby mnie przekonać, <ru>taumaturgi</>."
"6D9F4DB14FA0A68B22A89AB7E935E1D7","CinematicNode_Response_113","Komitywa może stać się potężnym sojusznikiem Waszej Cesarskiej Mości. Tu, w Warszawie."
"1F6FCFB74590170B401F68A25C992084","CinematicNode_Response_114","Komitywa chce znaleźć lekarstwo na, jak do tej pory, nieuleczalną chorobę najjaśniejszego carewicza. Wiemy, że z nim, cierpi cała Rosja."
"CC40C8FD4720E7936EA798843008BB50","CinematicNode_Response_114","Wiktor, ostrożnie."
"EE89CCC249495895BBEE0E92B684554A","CinematicNode_Response_115","Kto zdradził wam tajemnicę państwową? Mów!"
"23C26401438AB273E6B8F3BD4A427722","CinematicNode_Response_115","Zaginiona powierniczka carycy, Swietłana Piotrowna Rumiancewa."
"3BB15681450C7580B2CED3B55B65829E","CinematicNode_Response_117","..."
"8DDB1EFE4331D7086988B28F717C2399","CinematicNode_Response_118","Tu, nie da się kłamać. Allah mi świadkiem, że zrobimy wszystko, aby ocalić carewicza."
"1C918A514A978C92A98A54A7938B12BC","CinematicNode_Response_119","Czy pomoc mojemu synowi, realnie leży w waszej mocy, <ru>taumaturgi</>? Czy to tylko puste obietnice?"
"40AF0FF240DBBD8661EC7C9B78D23926","CinematicNode_Response_12","..."
