"Hash","NodeName","PL"
"42B7237342B6A2481CAAB2A7110A4EC7","CinematicNode_Choice_0","Chwyć Skazę i zmierz się z Djinnem."
"C101B7724F683D785BCBD0B8D8E5E4FA","CinematicNode_Choice_0","Pozostaw Leili Skazę, a z nią, Djinna."
"4CEC28C646E7E261A07527B0AC7150EF","CinematicNode_Choice_0","1"
"6CB7234C4DD909812D19D9AD4FFE360E","CinematicNode_Choice_0","2"
"43766D01470335B1B4BEB593439A4BC2","CinematicNode_Response_0","<i>Harem</>. Oczywiście."
"1554979F464D16CC14CB85886575CBD5","CinematicNode_Response_1","Próbowałeś mnie zwodzić, ale niedoczekanie twoje."
"05AE89F8413D8BEAE1B9F0B8381C85D7","CinematicNode_Response_2","Będziesz mój."
"52DFC72E4ACAAA1AC09AF4875BAB813F","CinematicNode_Response_3","Pyskaty chłopiec mówił prawdę. Jego zuchwała siostra tu jest, a za nią wleczesz się ty."
"385FFA9643F80FFD2E8E39B77469951F","CinematicNode_Response_4","Zuchwałość z pewnością pomogła Leili i jej bratu, zmierzyć się z losem."
"EDB523384D1D5D08906397B0A3C07632","CinematicNode_Response_4","Ale i sprowadziła cię na drogę występku."
"65596A8E46B7F294B5EB49A3270A546E","CinematicNode_Response_5","Jesteś mój. Już prawie."
"27B431B04938A09525CACD87111412C6","CinematicNode_Response_6","Bez niej, przestaniesz być marionetką Djinna."
"F5A99DEE47997E290220A08318C92EE8","CinematicNode_Response_7","Nie mogę ci tego zrobić. Bez tej Skazy, zginiesz lub stracisz swojego brata."
"B109DBFF4264316C6B34AD8BBC096ADA","CinematicNode_Response_7","Miej na nią oko, gdziekolwiek pójdzie."
