"Hash","NodeName","PL"
"0EE039144DBD27951F7FEAB72AD1E783","CinematicNode_Choice_3","Powiedz, że już wszystko wiesz. "
"341BF68F459627D750C98F8837E033F9","CinematicNode_Choice_3","Powiedz, że przeszukasz rzeczy ojca."
"3AD1A77744F64FBA51E035B961BCE8EE","CinematicNode_Choice_3","Przyznaj, że dobrym tropem jest kamienica."
"E4AA895E4971B4F908EFBEB4D571AD98","CinematicNode_Choice_3","Zapytaj o Iwana Konieczkina."
"3FC0277B4165CDF4CEFB5987D5CA8786","CinematicNode_Choice_3","Zapytaj o Mordechaja Chajata."
"C8FDA8EE49838584B9434DBA4883B3A3","CinematicNode_Choice_4","Dowiedz się, gdzie to się wydarzyło."
"FC437A214A57806F82ED1A91533B2576","CinematicNode_Choice_4","Dopytaj o śmierć ojca. "
"C7C5F0AC478A06A0742478A1CA8FB0CE","CinematicNode_Choice_4","Zapytaj o zaginiony grymuar. "
"8DD4551046BE9E8ED9EA69B82851A3FC","CinematicNode_Choice_5","Powiedz, że nawet on na to nie zasłużył. "
"543D15E0439846A2D34CAEAD712DE3A3","CinematicNode_Choice_5","Podkreśl, że karma wraca. "
"AAC516B0481655D66DF36EBFCD2D827D","CinematicNode_Response_14","Gdzie to się stało? Gdzie był ten budynek?"
"7BE171BF4818B2F0616D9B89EB5651DB","CinematicNode_Response_14","Śródmieście Południowe, niedaleko komisariatu. Zresztą... nie przegapisz. "
"84EDF9064F204D87E5B4289702818FB6","CinematicNode_Response_15","Teraz przynajmniej wiem, jak mało wiem. Może te szczątki informacji mnie dokądś doprowadzą."
"C1B0943D4DFAD5B78AA36A8103758270","CinematicNode_Response_15","No, to skoro wiemy, czego się dowiedzieć trzeba, to wybaczcie mi, kochani. Pójdę dać odpocząć starym kościom."
"2D07C94D4CE619E0C51BEA980F7A1D5B","CinematicNode_Response_15","Odprowadzę cię. "
"031ECF4045CD4BD34E89C79FF932D728","CinematicNode_Response_15","Do zobaczenia, wujku. I Ligio... przykro mi, że tak wyszło. Że nie byłem blisko..."
"761052EB4435F5B1A3058086B358FDEF","CinematicNode_Response_15","Najważniejsze, że teraz jesteś. "
"CFC6DB9A49A6FA3189BB62A667A3BE48","CinematicNode_Response_16","Dom. Zwalił mu się na głowę. Jak...? Jak to się stało?"
"68D72A69439F16E7E36EEFA95D63C557","CinematicNode_Response_16","To był dzień jak co dzień. Tata poszedł na swój rutynowy spacer. W każdy wtorek i czwartek przechadzał się dla ""złapania dystansu"", jak mawiał. "
"E37F4DB148105B37E624A9BBBB06140A","CinematicNode_Response_16","Zaczęłam przeczuwać, że coś się wydarzyło, gdy długo nie wracał. Potem..."
"B9241FB345F62BC9D4C097988F5271D1","CinematicNode_Response_16","Razem tam pojechaliśmy. Cała ściana kamienicy zawalona, trzy ofiary, w tym Stasio, który pechowo przechodził akurat obok. "
"36954DD84E76654E28B6B5B2F49E1CB3","CinematicNode_Response_16","Widzieć go w takim stanie... Nie sposób o tym opowiadać."
"D785B57F497CA2FA0352359F4BF2FDF7","CinematicNode_Response_17","Grymuar. Czy ktoś mógł go zabrać?"
"E03B144D49BF84E9625E0E9958FAEB32","CinematicNode_Response_17","Może... w tym zamieszaniu."
"476D7ADE4518D66CCBBE0681C13B47B9","CinematicNode_Response_17","Ale po co komuś grymuar taty? Zwykły człowiek z niego nie skorzysta. Przypadkiem by przechodził tamtędy jakiś thaumaturg?"
"525D0DE24F42DD3920E5FE956769454F","CinematicNode_Response_17","Ojciec miał tam całą swoją wiedzę, ale nie wiem, czy przydatną komuś poza nim. Nawet nie wiem, czemu mi go zapisał."
"86C82F614BCC477D053155AD76227D62","CinematicNode_Response_17","Stasio na pewno miał jakiś powód."
"215F6DC747B7352D4DCD458D837A910C","CinematicNode_Response_18","Zginął, jak żył. Marnie. Nie mógł go spotkać lepszy koniec po tym, co mi zrobił. Co zrobił Niedzicom. "
"A318BF3C4C0FA93424281FB243290BE0","CinematicNode_Response_18","Musisz wiedzieć, że tatę gryzło sumienie. Nawet jeśli nie mówił tego otwarcie. "
"A605871840273C40AF97AF8D3FC8C105","CinematicNode_Response_18","Nie będę go bronić, ale i nie mogę go krytykować. Sama nie wiem, co się właściwie wydarzyło wtedy z Abaurycym... "
"6DEEFA1E44D8D547687FE293A005EDCA","CinematicNode_Response_18","Wydarzył się wypadek, dwóch dzieciaków zostało potraktowanych przez ojca jak największe zakały tego świata."
"1F8098944DA8D3050E40278D3749F8A1","CinematicNode_Response_18","Jakbyśmy działali z premedytacją."
"990EDF0349680493F344BBA5FD9092EA","CinematicNode_Response_18","Gdy człowiek tak nagle umiera, to sprawunki jego niezałatwione pozostają..."
"8201656D42D1F0D4F6C2BA8C36908FEC","CinematicNode_Response_18","Nie dojdziemy, co Stasio w sercu nosił."
"11503F854332DED28915F097F7A657B7","CinematicNode_Response_19","Gdzie są teraz rzeczy ojca?"
"589A82D4473B56FD080C76B518C67594","CinematicNode_Response_19","Stoisz w samym centrum jego królestwa. Nie wszystko jeszcze uporządkowałam, ale nie krępuj się."
"6E3E969040B1DC9CF5F17B9B0CBF4FFC","CinematicNode_Response_19","A sklep? Tam też powinienem sprawdzić."
"C409BEBC4970AC0959D48387B36453F8","CinematicNode_Response_19","Zaczęłam tam remanent, żeby się zdystraktować i... nie chcę, żebyś tam wchodził, zanim nie skończę."
"0A2374AF435908EA453C0099FAE7D2B7","CinematicNode_Response_19","Jak wolisz."
"0D3957784183AC14180FE783565FDEDE","CinematicNode_Response_20","Czy ojciec miał przy sobie grymuar w chwili śmierci? "
"CD91CC8F4F24F3758CD54D9083956828","CinematicNode_Response_20","To dzięki grymuarowi dało się go w ogóle rozpoznać... "
"A85A0C35453257FDBEE3E18CCD0446E7","CinematicNode_Response_20","Co się właściwie stało? Jak on umarł?"
"94D0312149FC6AE493D7A3A3054D1C8A","CinematicNode_Response_20","Dom... Zwalił mu się na głowę. Nie wiem, jak to inaczej powiedzieć..."
"38630CC54FF49F0228CDBC8535AFB81F","CinematicNode_Response_21","A Mordechaj Chajat? Może to jest jakiś trop?"
"3833E6BE4501BC29EC5B8BA3C30DBD5E","CinematicNode_Response_21","Nie sądzę. Pracował z ojcem, ale odszedł ponad rok temu, nie wiem dlaczego. Był subiektem w naszym... teraz w moim, sklepie."
"66CFEC334DF3F892CA1A7CBCBD1AB356","CinematicNode_Response_21","Wiesz, gdzie mogę go znaleźć? "
"8A75D6BF4535F80AA67B0ABBEE4B3637","CinematicNode_Response_21","Niestety nie..."
"9639B2E1465E3BB8232E57A65E177EA1","CinematicNode_Response_21","Masz jeszcze jakieś pomysły?"
"D2714912489091952713B49176CD6F4F","CinematicNode_Response_22","Sam wróżyłem mu odrobinę przyjemniejszy koniec. Chyba nawet on nie zasłużył na tak podłą śmierć.  "
"1511DE904CD7D48F0764E498B5864E49","CinematicNode_Response_22","To chyba najżyczliwsze słowa, jakie wypowiedziałeś na jego temat. "
"33D608F946AAB593EDE7C9BBE03A3F1C","CinematicNode_Response_22","To symptomatyczne dla ludzi jego pokroju, trzymać w gabinecie portret rodziny, która rodziną była tylko na płótnie."
"55584983434CAAA5339E0DA40F2EE72B","CinematicNode_Response_22","Zaraz po wykonaniu obrazu rozwiódł się, zrujnował Niedziców i pozbył się syna. Ale portret wisi, że niby rodzina ma znaczenie. "
"F3036F97439CF9970DF089AF12F588D0","CinematicNode_Response_22","Nie wiem dokładnie, co się wtedy wydarzyło z Abaurycym, ale wiedz, że tatę gryzło sumienie. Nie odpuścisz mu, nawet po śmierci? "
"0B1BE12A40D306B45AFA99A0477C8715","CinematicNode_Response_22","Martwy przebaczenia nie potrzebuje, a zapomnieć... nie potrafię. Żal tylko grymuaru..."
"D5AB083D484E7DD2B84EB39FBD20A294","CinematicNode_Response_23","Myślę, że odpowiedzi należy szukać tam, gdzie to się stało."
"66B62F474074B71ED5340ABF71DFABC8","CinematicNode_Response_23","Swoim wzrokiem dostrzeżesz w tych gruzach więcej, niż ja, wujek, czy śledczy."
"AE76591541EDDC81EFF760B07FCF88EB","CinematicNode_Response_23","To dobry trop, ale czy jedyny?"
"E11ABFD144B86EFADE0929A7145C5E23","CinematicNode_Response_24","Co zamierzasz?"
"4B50EE51459FA30DE2057D9FCDDB9108","CinematicNode_Response_25","Ojciec podobno znał się z niejakim Iwanem Konieczkinem. Wiecie coś na jego temat?"
"C89660AB487D877B908449801E6A94C3","CinematicNode_Response_25","Konieczkin... Nie, nic mi nie mówi to nazwisko."
"9940C3534381FB02E58015A45155BE31","CinematicNode_Response_25","Różni ludzie przychodzili do sklepu taty. To nie znaczy, że każdy z nich może coś wiedzieć na temat grymuaru. "
"DA4A752647ECBA768C83109285EEF06E","CinematicNode_Response_25","To prawda. Trudne przed tobą zadanie..."
"B6552EC7478FB1D81DC086874259F9C3","CinematicNode_Response_26","A więc to tam... Widziałem to miejsce, wolę sobie nie wyobrażać, w jakim stanie znaleźliście tam ojca... "
"7403DAAA459B53A9827B68B18A37619F","CinematicNode_Response_27","Ze wszystkich możliwości, los zgotował mu akurat taką śmierć..."
