"Hash","NodeName","PL","TR","Notes"
"0878AAF941121A8CEBF9D6BDE11294EC","CinematicNode_Choice_0","Zapytaj o Golema.","Golem'i sor.",""
"D5F44F134161663467A3EB803E36DE86","CinematicNode_Choice_0","Zapytaj o Konieczkina.","Konieczkin'i sor.",""
"968B60CB4BA385FB141CA9AEE8ECE7F5","CinematicNode_Choice_0","Zauważ najpierw, że rzadziej widywałeś go za życia.","Önce onu sağlığında daha nadir gördüğüne dikkat çek.",""
"BF14CCDB41E1742F651BB19D3EC80041","CinematicNode_Choice_0","1","1",""
"9695C65245BFF7BEE5739587CE9EC6E3","CinematicNode_Choice_0","2","2",""
"D11654C4477FA2D91260E3A7FF2F8832","CinematicNode_Choice_0","3","3",""
"C1F234A14D3A11EC5D1616A4182DC1A1","CinematicNode_Choice_1","Przywitaj się ironicznie.","İronik selamla.",""
"2C88431D41FF45C9934CECA2A50329F0","CinematicNode_Choice_1","Przywitaj się formalnie.","Resmi selamla.",""
"EC07DFF34BBEDA6C31BDE19AC7CE790E","CinematicNode_Choice_1","1","1",""
"A1BBD061450983FCB41A21B5DDC376C2","CinematicNode_Choice_1","2","2",""
"3BB018CB430F9A3F3554A8B5F5A52741","CinematicNode_Response_0","Głupiec.","Budala.","Baba öfkeli hitap (Duma/Kibir Kusuru tetikler)"
"B45B9AA144DDF10A97E26096FD553A6C","CinematicNode_Response_1","[Wiktor otwiera oczy w ciemnym pokoju. Rozgląda się w ciemności zanim nie usłyszy znajomego głosu:]","[Wiktor karanlık odada gözlerini açar. Tanıdık sesi duymadan önce karanlıkta etrafına bakınır:]","Sahne notu"
"E4F61C3A4B3531D8CCCCCDA24574A075","CinematicNode_Response_11","O nic cię nie prosiłem. Na pewno nie o to, żeby krył mnie ktoś taki jak Konieczkin. Nie przeze mnie się z nim bratałeś!","Senden hiçbir şey istemedim. Hele Konieczkin gibi birinin beni örtbas etmesini, asla. Onunla benim yüzümden kardeşleşmedin!",""
"798F103D4551B0D57965EDB9361AD588","CinematicNode_Response_12","O klątwę krwi na pewno nie prosiłem.","Kan lanetini hele hiç istemedim.",""
"763EA0A84FAF9F8373597481CC474F0C","CinematicNode_Response_2","Ślepy głupiec.","Kör budala.",""
