"Hash","NodeName","PL","TR","Notes"
"29C7992B430283BC23B76E9EB319EA50","IC_q201b","Poszukiwanie kabalisty: Powiśle","Kabalist Arayışı: Powiśle",""
"8BE0D4564C39AE7B9277A39B22AAD5F4","IC_q201b","Wygląda na to, że Rofego można znaleźć na drugim brzegu Wisły, między straganami... Musi chodzić o Bazar Różyckiego.","Görünüşe göre Rofe, Wisła'nın öbür yakasında, tezgâhların arasında bulunabilir… Bazar Różyckiego'dan söz ediliyor olmalı.",""
"A934779349392BB3DC2326990685BD36","IC_q201b","Beczki z bimbrem","Kaçak Rakı Fıçıları",""
"A49D01EA47DE203AD8B1818710569C70","IC_q201b","Bije od nich silna woń alkoholu.","Onlardan keskin bir alkol kokusu yayılıyor.",""
"D9D60E3448263371236F3A8F5F295FA5","IC_q201b","Znudzenie","Sıkıntı",""
"4B15F49B4A3AF469AC4AD5BD23CA36E7","IC_q201b","Nad beczkami wciąż unoszą się opary alkoholu. Czuć jednak coś więcej... to woń znudzenia i irytacji, spowodowanych wyjątkowo długim oczekiwaniem na powrót szefa. Drugi koniec Wisły to przecież nie jest koniec świata... Dlaczego w takim razie zajmuje mu to tak długo? ","Fıçıların üstünde hâlâ alkol buharı asılı. Yine de bir şey daha hissediliyor… patronun dönüşünü beklemenin ola­ğanüstü uzun süresinden doğan bir sıkıntı ve sinir kokusu. Wisła'nın öbür yakası dünyanın sonu değil ki… Öyleyse niye bu kadar uzun sürüyor? ",""
"B31B488E41B7A177A1E65D93A42BAF73","IC_q201b","Pusty rejestr","Boş Sicil",""
"F5A158F54B3E344266B86096FC1B9780","IC_q201b","Wszystkie strony puste, a jednak księga zdaje się być regularnie używana.","Tüm sayfalar boş; yine de kitap düzenli olarak kullanılıyor gibi.",""
"47C61AC24FF1B111541284A0FFE5EBCE","IC_q201b","Ukryte słowa","Saklı Sözler",""
"88A403DC4703CCB8BAEE57BB0579319C","IC_q201b","Po pustych stronach błąkają się thaumaturgiczne intencje. Za zasłoną pozoru ktoś porządkuje zadania do wykoniania: spłacić haracz, rozwiązać sprawę z innym gangiem, zaplanować przerzut towaru. Dobra organizacja podstawą przestępczości.","Boş sayfalarda tılsımkârlık niyetleri dolaşıyor. Görüntü perdesinin ardında biri yapılacak işleri sıralıyor: haracı öde, başka bir çeteyle sorunu çöz, mal sevkiyatını planla. İyi örgütlenme suçun temelidir.",""
"D555C19E4100E4815BC1679B5F488870","IC_q201b","Butelka po wodzie gazowanej","Gazoz Şişesi",""
"8CDBD24046DE30B7F19C46B8DCCA5593","IC_q201b","Smak dzieciństwa. Niestety, ta jest pusta.","Çocukluğun tadı. Maalesef bu boş.",""
"4BDDF3F5417B977C87DBC2B83B9FE361","IC_q201b","Pragnienie","Susuzluk",""
"9182ACA34B7CE6082A852080D67C3D32","IC_q201b","Łyk za łykiem, łyk za łykiem... Usta przywierały do butelki, by ugasić pragnienie, skumulowane w ciele po długim, gorącym dniu. Nie było czasu na poszukiwanie cienia, trzeba było załatwiać sprawy między straganami.","Yudum yudum, yudum yudum… Uzun, sıcak bir günün ardından bedende biriken susuzluğu söndürmek için dudaklar şişeye yapıştı. Gölge aramaya vakit yoktu; işler tezgâhların arasında halledilmeliydi.",""
"1397F754486BFD82953BD7BA53D1C775","IC_q201b","Poszukiwanie kabalisty: Port Praski","Kabalist Arayışı: Praga Limanı",""
"01BB7FAB4550B5B06888F2B4B49239BC","IC_q201b","Mieszkanie Ariela musi znajdować się gdzieś wysoko nad piekarnią... Pewnie mieszka na poddaszu jednej z kamienic na Mirowie, skoro widzi z okna Gościnny Dwór.","Ariel'in dairesi, bir fırının çok üstünde bir yerde olmalı… Penceresinden Gościnny Dwór göründüğüne göre Mirów'daki konaklardan birinin tavan arasında oturuyor herhalde.",""
"FE19F73740946B69AA41A3849712218A","IC_q201b","Okno na nieciekawy widok","Sıkıcı Manzaralı Pencere",""
"53E6D7924C6B89C2256623B2B8DC21C9","IC_q201b","Sfatygowane okno z widokiem na brudne podwórze.","Kirli bir avluya bakan eski püskü bir pencere.",""
"7A640B944FA8E3A1D80DC3BA068A48A5","IC_q201b","Widok","Manzara",""
"CA476E684AC2DF330F6D2EB3D8711EB2","IC_q201b","Szyba nosi w sobie pamięć twarzy... Twarzy wyglądającej przez okno. Zmarszczone brwi, usta wykrzywione w dezaprobacie, oczy wyrażające pogardę... Ta ciemna nora przytłacza. Co innego mieszkanie ponad dachami, z którego widać Gościnny Dwór... ","Cam, bir yüzün hatırasını taşıyor… Pencereden dışarı bakan bir yüzün. Çatık kaşlar, hoşnutsuzlukla bükülen dudaklar, küçümseme ifadesi taşıyan gözler… Bu karanlık in insanı eziyor. Çatıların üstünde, Gościnny Dwór'un göründüğü bir daire başka şey… ",""
"774FE0754266DADFB6784F821FC6FAF8","IC_q201b","Podrobiony banknot","Sahte Banknot",""
"852252C84BCCF88392DA84A4038D485B","IC_q201b","Fałszywy dolar amerykański.","Sahte bir Amerikan doları.",""
"BE4EDDBD4B02580AE9142BB0FAA5C9D0","IC_q201b","Porażka","Yenilgi",""
"0AC9B1A5426B2EFAEDA8B89D24D11D9A","IC_q201b","Pomysł był dobry, wykonanie nie najgorsze, ale jednak intuicja podpowiedziała, żeby schować banknot w swoim mieszkaniu i na razie zapomnieć o fałszowaniu pieniędzy. To jednak trudniejsze, niż przypuszczano. Może kiedyś...","Fikir iyiydi, uygulama da fena değildi; yine de sezgi, banknotu evine saklayıp şimdilik kalpazanlığı unutmayı söyledi. Bu, sanıldığından daha zormuş. Belki bir gün…",""
"B05A51B446440A3E0CD41F96A1EF6E69","IC_q201b","Zaschnięta chałka","Kurumuş Hallah",""
"297D02A245F472F10B13FD8EC98E08E3","IC_q201b","Niedojedzona, leży tu od dawna.","Yarım yenmiş; uzun zamandır burada duruyor.",""
"D8A57111498ED92C92C85C8A7CEE3BAB","IC_q201b","Pozytywne skojarzenie","Olumlu Çağrışım",""
"9B61D2E741C87915EF3F679EA3A94309","IC_q201b","Mmm, serce radowało się z każdym gryzem chałki, zakupionej w ulubionej piekarni. Zapach świeżego pieczywa, wlatujący codziennie z dołu przez uchylone okno, zalewa duszę ciepłem i daje siłę do walki z przeciwnościami dnia codziennego.","Mmm, en sevdiği fırından alınmış hallah'ın her ısırığında yürek seviniyordu. Aralık pencereden her gün aşağıdan yukarı süzülen taze ekmeğin kokusu, ruhu sıcaklığa boğuyor ve günün zorluklarına karşı güç veriyor.",""
"CD30E1004171DECE9FC3B8BFC7F89CA2","IC_q201b","Poluzowana deska","Gevşemiş Tahta",""
"D412D436435A494A0D1B719C0E042C94","IC_q201b","Ktoś tu stworzył skrytkę. Sprytne...","Birisi burada bir zula yapmış. Kurnazca…",""
"2FB5238F4982D4A2422F6580DD16F75B","IC_q201b","Sekrety","Sırlar",""
"17C0B9D44BD556F8A62F28974AB144AB","IC_q201b","Pod deską zawieruszyła się płochliwa myśl. A co jeżeli ktoś go zobaczy? Jeżeli to co skrzętnie chowane, dostanie się w niepowołane ręce? To dopiero byłby bajzel. A może powinien przenieść wszystko do domu, na Mirów? Nie. Miejsce precjozów jest pod deską.","Tahtanın altında ürkek bir düşünce sıkışmış. Ya biri görürse? Ya özenle saklanan, yanlış ellere geçerse? Bu işte rezalet olur. Belki her şeyi eve, Mirów'a taşımak gerek? Yo. Kıymetlerin yeri tahtanın altıdır.",""
"E6EBDCB64C1031D7C75507B5634D9826","IC_q201b","Pieniądz czy moralność?","Para mı, Ahlak mı?",""
"A067C3444782A28A6E311292D29C64CB","IC_q201b","Policjanci nie mają żelaznego kręgosłupa moralnego, choć jeden z nich wciąż próbuje stać prosto. Skonfiskowane przedmioty stanowią dla nich potencjalne źródło zarobku, jeśli tylko odważą się iść w stronę moralnej degradacji. Wystarczy delikatnie popchnąć jednego z nich w tym kierunku...","Polislerin demir bir ahlak omurgası yok; gerçi birisi hâlâ dik durmaya çalışıyor. Ele geçirilen eşyalar, ahlaki çöküşe doğru gitmeye cesaret etmeleri hâlinde onlar için potansiyel bir gelir kapısı. İçlerinden birini bu yöne nazikçe itmek yeterli…",""
"502A1FBA4B165817F1675CBCE9B3191D","IC_q201b","Pudło z fałszywymi paszportami","Sahte Pasaportlar Kutusu",""
"BE54892A45049DE5F5D4A89F22E94937","IC_q201b","Fałszywki tylko czekają na wypełnienie.","Sahteler yalnızca doldurulmayı bekliyor.",""
"45378EEC4DF312C0E9FFB08BB73C13C2","IC_q201b","Okazja","Fırsat",""
"A6673B9D46A13FB8CE4ED39CAE4BB81D","IC_q201b","Obowiązek obowiązkiem, ale głowa podpowiada, że można by nieźle zarobić na niektórych z zarekwirowanych fantów. Łebscy ci przemytnicy. Gdyby tylko dało się przekonać do tego pomysłu towarzysza...","Görev görevdir, ama kafa, ele geçirilen malzemenin bazılarından epey para kazanılabileceğini fısıldıyor. Bu kaçakçılar uyanık. Bir tek yoldaşını bu fikre ikna edebilse…",""
"04AFFEA6467907D3B8A043B9778E3890","IC_q201b","Drewniane ogrodzenie","Tahta Çit",""
"A52888ED48AA886EEA42FC929ACA4F6C","IC_q201b","Próchnieje i ledwo się trzyma.","Çürüyor ve zar zor ayakta duruyor.",""
"0DDB319B4BF59D546DCCDAB7A74FFFF1","IC_q201b","Skrupuły","Vicdani Kaygılar",""
"C15FB29D43188AFE24C18DABEB87B69F","IC_q201b","W słoje zniszczonego drewna wniknęła wątpliwość przeplatana rozdarciem. Z jednej strony zawsze czuł obrzydzenie do łapówkarstwa i prowadzenia nielegalnych interesów, ale z drugiej strony... nie pogardziłby dodatkową gotówką. W końcu życie go nie rozpieszcza. ","Tahrip olmuş tahtanın damarlarına, parçalanmışlıkla örülen bir şüphe sızmış. Bir yanda, rüşvete ve yasadışı işlere her zaman tiksintiyle bakardı; öte yanda… ekstra nakdi de geri çevirmezdi. Sonuçta hayat onu şımartmıyor. ",""
"73946B5246FB434E1F7338880AD74FFA","IC_q201b","Gilotyna do papieru","Kâğıt Giyotini",""
"D53272F14E2C7376D96B6C9C9E9E8C3C","IC_q201b","Profesjonalny sprzęt.","Profesyonel bir alet.",""
"A54538CE4B065DA636467A842F99693B","IC_q201b","Popyt","Talep",""
"3CD9FADE4648CD88A2D3D0903D9C9A86","IC_q201b","Każde ostre cięcie to nowy dokument, czysta karta i czyjaś szansa... No i profit. Na fałszywki zawsze jest popyt, więc opłacało się wytrenować ludzi, aby nauczyli się nią porządnie obsługiwać. Kilka zacięć i utrata opuszka czy dwóch to mała cena.","Her keskin kesi yeni bir belge, temiz bir kart ve birinin şansı… Bir de kâr. Sahtelere her zaman talep var, o yüzden insanları onu doğru dürüst kullanmaları için eğitmek değerdi. Birkaç çentik ve bir iki parmak ucu kaybı küçük bedel.",""
"74CD359D4A491E43AFC11091944385EE","IC_q201b","Ariel Rofe","Ariel Rofe",""
"E3F345A74081C99F36C41DBB75E1E822","IC_q201b","Gdzieś po drodze Ariel Rofe doszedł do wniosku, że Boga nie ma, przeżyją najsilniejsi, a najlepszym życiowym celem jest zemsta. Jednak pod maską twardego gangusa wciąż skrywa ciepłe i wrażliwe serce. Jest pomocnym sąsiadem, lojalnym przyjacielem i rozpaczającym po stracie kochankiem. Widzę cię, Ariel.","Ariel Rofe yolun bir yerinde Tanrı'nın olmadığı, en güçlülerin hayatta kalacağı ve en iyi yaşam hedefinin intikam olduğu sonucuna varmış. Yine de sert gangster maskesinin altında hâlâ sıcak ve hassas bir yürek saklı. Yardımsever bir komşu, sadık bir dost ve sevdiği insanı kaybetmenin acısını çeken bir âşık. Seni görüyorum, Ariel.",""
"01AC30BF483ABB62AE72609F356607B7","IC_q201b","Metalowa mezuza","Metal Mezuza",""
"BCDFA89E40ACB30FD92858B300CBE0C7","IC_q201b","W środku znajdują się fragmenty zwojów Tory. Mają chronić przed złymi mocami.","İçinde Tora tomarlarından parçalar var. Kötü güçlere karşı korumayı amaçlıyor.",""
"E0DDFBD44BB3368CF3EE10B3FFAA84E0","IC_q201b","Ostrzeżenie","Uyarı",""
