"Hash","NodeName","PL","TR","Notes"
"9D567E80424B90C349BC47BFD6C4E1BD","IC_lw_grz01","Rozkwit","Açış",""
"140569FE4484FE6BC1E8E1A83F60A83E","IC_lw_grz01","Po targowisku ewidentnie buszuje złodziej. Wygląda na to, że jego przykrywką jest sprzedaż stokrotek. Znalezienie go nie powinno być wyjątkowo trudne.","Pazarda belli ki bir hırsız kol geziyor. Anlaşılan papatya satışı onun perdesi. Bulması fazla zor olmamalı.",""
"CA9A994A4D39A4ED8AF8289CAE6D48DD","IC_lw_grz01","Zegarek","Cep Saati",""
"C6A9553E400602FF819359965C67EDA4","IC_lw_grz01","Niczego sobie, kieszonkowy.","Fena değil, cep boyunda.",""
"C6C94C2A43F1FA2E5B2A63B3D389859D","IC_lw_grz01","Resztki","Artıklar",""
"E541DF674A4C0460FA8E8E98F616E98E","IC_lw_grz01","Po zegarku błąka się uciekająca w popłochu myśl, żeby jednak ten jeden zegarek zostawić. Głupio byłoby wpaść przez nieostrożność. Może sprzedawca nie zorientuje się, że brakuje mu pozostałych przedmiotów...","Saatin üzerinde telaşla kaçan bir düşünce dolanıyor: bari bu bir saati bırakmak. Dikkatsizlikten ele geçmek aptallık olur. Belki satıcı, diğer eşyalarının eksikliğinin farkına bile varmaz…",""
"1813EE084DBF86FA4D601B91F4AB7DD7","IC_lw_grz01","Kwiat","Çiçek",""
"6A6F9BD341AC5F05A9AFFE80DDAE9427","IC_lw_grz01","Stokrotka afrykańska. Leży na straganie w towarzystwie talerzyków.","Afrika papatyası. Tezgâhın üstünde küçük tabaklarla birlikte duruyor.",""
"7F778FFB43945556D9781DAB5FA8AF69","IC_lw_grz01","Pozdrowienia","Selamlar",""
"9B3BE7C6472A3C6EA4DB45A7CAD0EF07","IC_lw_grz01","Kwiat pachnie intensywnie satysfakcją i samozadowoleniem, pączkującymi w sercu. Ktoś zostawił go w tym miejscu jako szczere pozdrowienie i poszedł dalej, pozwalając, by emocje prędko w nim rozkwitły.","Çiçek, yürekte tomurcuklanan tatmin ve özbeğeni kokusunu yoğun biçimde yayıyor. Birisi onu buraya içten bir selam olarak bırakmış ve duyguların kendisinde hızla açmasına izin vererek yoluna devam etmiş.",""
"E949D9CB4BDE5937771235B897864A19","IC_lw_grz01","Rzeźba","Heykel",""
"612F5D034D4BE29C815AA89D1F9DDA71","IC_lw_grz01","Popiersie. Wygląda na autentycznie stare i cenne, na co wskazywałaby cena.","Bir büst. Fiyatına bakılırsa gerçekten eski ve kıymetli görünüyor.",""
"16CC82404101D3859F4424B4E680D8D1","IC_lw_grz01","Ciężki los","Ağır Kader",""
"52C98B9C453E2E58F52F60937C63BA0F","IC_lw_grz01","Dłoń sunęła po popiersiu, a myśli bzyczały w głowie, niczym pszczoły na wiosnę. Nie da rady. To zbyt ciężkie, szczególnie, że w drugiej ręce musi nosić te przeklęte kwiaty, póki ich nie sprzeda...","El büstün üzerinde kaymış, kafadaysa düşünceler bahar arıları gibi vızıldıyormuş. Olmuyor. Çok ağır — hele bir yandan o lanet çiçekleri satana kadar diğer elinde taşıması gerekiyorken…",""
"3DED89D04C91D581A3F34984985AC0AB","IC_lw_grz01","Sklepik z marzeniami","Hayaller Dükkânı",""
"12F759D6411A2FFB23F143B0412A1325","IC_lw_grz01","Przebojowy sprzedawca deklarował spełnianie wszystkich życzeń. Okazuje się jednak, że ma swoje ograniczenia i mimo usilnych starań, jednego spełnić mu się nie udało. Przyszłość sklepiku z marzeniami stoi pod znakiem zapytania, ale przynajmniej mam pewność, że Djinn podążą za kimś innym.","Atak satıcı her dileği yerine getireceğini iddia ediyordu. Ama anlaşılan onun da sınırları varmış: ısrarlı çabalarına rağmen bir tanesini gerçekleştiremedi. Hayaller dükkânının geleceği belirsiz; en azından şundan eminim, Djinn başkasının peşinden gidecek.",""
"3E976DB34F98C0BCD95FFFB500402F4B","IC_lw_grz01","Szyld","Tabela",""
"4313562E40A917A183C0E8962C1FE2DE","IC_lw_grz01","Z chwytliwym hasłem, obiecującym spełnienie wszystkich życzeń.","Akılda kalıcı bir slogan ile tüm dileklerin yerine geleceğini vadediyor.",""
"0193D42443DBDEA27DEAF6918A3A41F1","IC_lw_grz01","Nadzieja","Umut",""
"CB5A4F8C49B445285DD7178FD5341FD3","IC_lw_grz01","Od szyldu bije delikatna łuna nadziei. Nadziei na to, że hasło chwyci, ludzie się zainteresują i będą tłumnie przychodzić.","Tabeladan ince bir umut huzmesi yayılıyor. Sloganın tutacağına, insanların ilgi göstereceğine ve kalabalık halinde geleceğine dair umut.",""
"C1F0C9044B1BE1CA33B186B65C2DCBEE","IC_lw_grz01","Pozory mylą?","Görünüş Aldatır mı?",""
"B11C79F94443BDF8B35EB8869FDB88F1","IC_lw_grz01","Sprzedawca to przebojowy człowiek, który lubi używać wielkich słów. Obiecuje spełnianie wszystkich życzeń, ciekawe ile w tym prawdy...","Satıcı atak biri, büyük laflar etmeyi sever. Tüm dileklerin yerine geleceğine söz veriyor; ne kadarı doğru, merak konusu…",""
"2AC29A554F6274F97EEB53A3AB7C10FE","IC_lw_grz01","Pudełko cygar","Puro Kutusu",""
"DCE2F52646AEEAE3A046F08D3D9F8D2A","IC_lw_grz01","Towar niełatwy do zdobycia.","Bulunması kolay bir mal değil.",""
"196913F74C8E32BAEBA5999C7F5C1DD0","IC_lw_grz01","Dobra reklama","İyi Reklam",""
"DECE07F5439F3E1134295B8F22BAAEE1","IC_lw_grz01","Cygara pachną tytoniem i czymś jeszcze... luźnymi myślami, które wplotły się w bukiet zapachu. Zdobycie tych cygar kosztowało kogoś dużo zachodu i wszystko na nic! Trafił się klient uparty jak osioł i życzenia, mimo obietnicy, nie udało się spełnić...","Purolar tütün kokuyor, bir de başka bir şey… koku buketine karışmış başıboş düşünceler. Bu puroları ele geçirmek birinin epey çabasına mal olmuş, ama hepsi boşa! Eşek gibi inatçı bir müşteri çıkmış ve verilen sözlere rağmen dilek yerine gelememiş…",""
"715BB82A45D585A1BD71C4A2CE869F54","IC_lw_grz01","Bez Skazy","Kusursuz",""
"9EC661DC4E971CAD32F39E8D60C13BB1","IC_lw_grz01","Sprzedawca nie ma Skazy, którą życzyłem sobie w nim znaleźć. To nie on jest osobą, za którą podąża Djinn.","Satıcı, onda bulmayı umduğum Kusur'u taşımıyor. Djinn'in peşinden gittiği kişi o değil.",""
"86BDAB1744D50634812CB6945D1EEA11","IC_lw_grz01","Miarka przebrana","Bardak Taştı",""
"ACE74E5A446D36AA3D0B5F9537546874","IC_lw_grz01","Wszystko wskazuje na to, że lokalni ochroniarze Gościnnego Dworu pracują za darmo, bo zarządca skąpi dla nich pieniędzy. Kotłuje się w nich frustracja, którą wystarczy tylko delikatnie podgrzać, by wybuchła...","Her şey, Gościnny Dwór'un yerel korumalarının bedavaya çalıştığını gösteriyor; çünkü idareci onlara para vermekten kaçınıyor. İçlerinde bir hayal kırıklığı kaynıyor; hafifçe ısıtmak yetiyor, patlasın diye…",""
"301FAA434B5E52B2774CABA35CDA9687","IC_lw_grz01","Ogryzek jabłka","Elma Çekirdeği",""
"D829F0264F6E250628647C942ACDDD80","IC_lw_grz01","Jeśli w ten sposób mam odszukać Djinna, niech będzie, że go dotknę.","Djinn'i bu yolla bulacaksam, peki, ona dokunalım.",""
"0FC3E5DB4B644E55DFA569A1671503FE","IC_lw_grz01","Za darmo","Bedava",""
