Hash,NodeName,PL,TR,Notes
ECC742E64620576C6AFADEA216D831D5,CinematicNode_Choice_2,Zacznij temat spostrzeżeń o Danisie.,Danis hakkındaki gözlemlerden konuyu aç.,
4C5463214B42E8ACEF08D8B650316795,CinematicNode_Choice_2,"Zapytaj, od kiedy się znają.",Ne zamandır tanıştıklarını sor.,
9DA67A5043DD6438EFEB39915E8C89A2,CinematicNode_Choice_2,Odejdź.,Uzaklaş.,
C3B1DB6D4C89142C82F153A152B9B36F,CinematicNode_Choice_3,Skonfrontuj ich z prawdą o Danisie.,Danis hakkındaki gerçekle yüzleştir onları.,
B793FFD04FED2094E89F7A8BFF1AF209,CinematicNode_Choice_3,Wypytaj o narzeczoną Danisa. ,Danis'in nişanlısını sorgula. ,
E58E10974CA05B70F47635BE3C7A8046,CinematicNode_Choice_3,Dopytaj o szablę Paszy.,Pasza'nın kılıcını sor.,"'Szabla' = kılıç"
53841DEE453ABDCF94A3EF9695D9F91E,CinematicNode_Choice_3,Zapytaj o pistolet Danisa. ,Danis'in tabancasını sor. ,
61C78AB641307A76C285FB85E3B7A2E3,CinematicNode_Choice_3,Porozmawiaj o pieśniach Danisa. ,Danis'in şarkıları hakkında konuş. ,
B90A765F44F31A50C2D92EB3A332D80D,CinematicNode_Choice_3,Odejdź. ,Uzaklaş. ,
EF0AFD3446C5981C8382909F5B6EA7C0,CinematicNode_Response_15,A ty czego?,Sen ne istiyorsun?,
8326467F4557C638DEBFD7A6D2A80820,CinematicNode_Response_16,"...no mówię ci. Może to jego uczesanie. Weźmiesz mnie tak brzytwą, jak on ma...","...diyorum sana, belki saç kesimidir. Onunki gibi ustura bana da olur mu...",
C24DCB604860E62B3731E09E2B8E3CFA,CinematicNode_Response_16,To znowu ty! Czego tam? ,Yine sen! Ne var? ,
F2DD177B446B07CE4EB923BC5004BE1D,CinematicNode_Response_17,Kim jest Pasza?,Pasza kim?,
D9F384214923D0B4A9884EB110A3F3E8,CinematicNode_Response_17,"Kompan nasz. Z tej samej wsi za Donem, co i my. Niejedno wspólnie przeszliśmy.",Yoldaşımızdı. Don ötesindeki bizim köyümüzden. Beraber çok şey atlattık.,"Don = Rusya'da nehir; Kazak memleketi"
07BC04074320ED93AA0EC0838883D1B8,CinematicNode_Response_17,Pasza nie żyje. I na tym skończmy.,Pasza öldü. Noktayı burada koyalım.,
BDDEAE44495DB42419453D9B3930499D,CinematicNode_Response_17,Co się właściwie z nim stało?,Ona aslında ne oldu?,
1FEF0A55479732E4583148869B488B58,CinematicNode_Response_17,"Wszyscy się blisko trzymamy, ale po pijaku różne pomysły przychodzą.","Hepimiz birbirimize yakınız, ama sarhoşken insanın aklına türlü şey gelir.",
C213343440DAAD71274BB8B0FC609CE3,CinematicNode_Response_17,Ta przeklęta <i>szaszka</> Paszy to zdobyczna była. Raz Danis z Paszą popili i zaczęli o nią w rosyjską ruletkę grać.,"Pasza'nın o lanet <i>şaşka</>sı ganimetti. Bir keresinde Danis ile Pasza kafayı bulup ona kılıç için Rus ruleti oynamaya başladılar.",şaszka = Kazak kılıcı (italik koruyalım)
78B4F1DD4126C324B0FE4DB8D4284B81,CinematicNode_Response_17,A więc Danis wygrał.,Demek Danis kazandı.,
BA677C834F5612A15FA912A325E7BAFB,CinematicNode_Response_17,"Ale na szabelce Paszy zamiast jego triumfu jest troska i miłość. Bardzo o nią dba.","Ama Pasza'nın kılıcında zaferin izi değil, özen ve sevgi var. Kılıca çok iyi bakıyor.",
547545AF47B9ACD33DD0D5B4594919C2,CinematicNode_Response_18,"Słyszałem, że Danis lubi grać w rosyjską ruletkę.",Danis'in Rus ruleti oynamayı sevdiğini duydum.,
2B60D1574F1A7FCDD746368A3FA141C5,CinematicNode_Response_18,"Dureń z niego, o konsekwencjach swoich wygłupów nigdy nie pomyśli. ","Tam bir aptal, maskaralıklarının sonuçlarını asla düşünmez. ",
DCA0CEC74C2CF1414DDE07A5B805F2CF,CinematicNode_Response_18,Głowy w jego pobliżu są zagrożone.,Yakınındaki kafalar tehlikede.,
84815C7B4800AE4051CDA99BC7EDF091,CinematicNode_Response_19,"Wrażliwa dusza z tego Danisa, kto by powiedział. Często na bałałajce pogrywa? ","Danis'in hassas bir ruhu varmış, kim derdi. Balalayka sık çalıyor mu? ","Bałałajka = balalayka (Rus üçgen telli saz)"
1D9426D74CDADE925FC0E1ACCA069536,CinematicNode_Response_19,"Ostatnio to śpiewa raz o kostusze i ogniach piekielnych, raz o igraszkach na sianie. Za nim to nie nadążysz.","Son zamanlarda bir türbede ve cehennem ateşlerinde, bir samanlıkta cilveleşmelerde şarkı söylüyor. Ona yetişemezsin.","'Kostucha' = azrail/ölüm personifikasyonu"
423B78494162BF319D559A9D176CEF06,CinematicNode_Response_19,"Jak na mój gust, to trochę za dużo tych smętnych melodii gra.",Bana kalırsa biraz fazla hüzünlü ezgiler çalıyor.,
8F7BDCEC4798D82488510F89AD286C36,CinematicNode_Response_19,Jeszcze jakieś pytania?,Başka soru var mı?,
F3F98186405FC6492EE43AA16EA145F5,CinematicNode_Response_20,"O, <ru>nash droog</>! Siadaj z nami!","O, <ru>nash droog</>! Otur yanımıza!","<ru>nash droog</> = Rusça 'bizim dost' — italik aynen"
052CFAF0416B8E15D0655497BD83C12E,CinematicNode_Response_21,"Patrz, jak się tamta łasi. Ja to bym potrafił wykorzystać takie wzięcie... ",Şu kızın nasıl yağ çektiğine bak. Ben bu ilgiyi iyi değerlendirebilirdim...,
66AEB6114B3032E6F8B27D960E16F895,CinematicNode_Response_22,"Znacie dobrze Danisa, nie? ","Danis'i iyi tanıyorsunuz, değil mi? ",
ADCCF0044761118A5FDAC18E81AC7622,CinematicNode_Response_22,"No, a co? ","Tanıyoruz, e ne olmuş? ",
90ED3FE34C5F4C7C11F21EAAC387BF56,CinematicNode_Response_22,Interesują mnie tacy. Skrzywienie zawodowe. ,Onun gibiler ilgimi çeker. Meslek arazı. ,
3FEF600D4918EDF3783898B1D72514E6,CinematicNode_Response_22,...,...,
40FB1C404FAA87107BD878A3F5CC155C,CinematicNode_Response_22,Mogę wam zadać kilka pytań?,Size birkaç soru sorabilir miyim?,
6BEE59AA4CF61F4562FB4986607DECF7,CinematicNode_Response_22,"Zobaczmy, o co ci chodzi, czarowniku.","Derdin ne, görelim, büyücü.",
736F3E08445148C63A21F99C7F8C1B3F,CinematicNode_Response_23,Nie będę wam głowy zawracał. Pójdę już. ,Kafanızı ağrıtmayayım. Gideyim artık. ,
221C27BD46F36F98D89562A5AB5CAF79,CinematicNode_Response_24,"Danis miał narzeczoną, ale go rzuciła. O co poszło? ","Danis'in nişanlısı vardı ama onu terk etti. Neden böyle oldu? ",
6D8C880C4ECBB4A263ECD59DF7E43B14,CinematicNode_Response_24,"Wiesz, on nie jest zbyt wylewny. Ale zabolalo go to, tak myślę.","Bilirsin, çok açılmaz. Ama ona dokundu bence.",
92D4053E45F60E40990B5B828BA18AB1,CinematicNode_Response_24,"Może sprzykrzyło się jej czekanie? Miała tam, we wsi, z kogo wybierać.","Belki beklemekten bıkmıştır? Köyde seçebileceği başkaları vardı.",
1C764F15412A1E3DC1E36E81DE13F0BF,CinematicNode_Response_25,"Dobrze słyszałem, że rozmawiacie o Danisie?","İyi duydum mu, Danis hakkında mı konuşuyorsunuz?",
ED5E50DA439A345EC167B190F1702804,CinematicNode_Response_25,O Danisie i babach!,Danis ve karılar hakkında!,
