"Hash","NodeName","PL"
"4E7D714B4CCAC648731432BDA9191357","CinematicNode_Choice_3","Przyznaj, że dobrze się bawiłeś."
"1F6645E24B0052D2683CCE9E671CAB60","CinematicNode_Choice_3","Powiedz, że bywało lepiej."
"BC72C5E24E1BC8364EE1AC92D564CA1D","CinematicNode_Choice_4","Bądź sarkastyczny. "
"EF32647F41FF5F3BCBC8CA9A0075B192","CinematicNode_Choice_4","Przeproś."
"2800C2BA4604C68A643903ADBF727C4C","CinematicNode_Choice_4","Zrzuć winę na Abaurycego."
"AE72044A4E1AD1DB6557BDBF0E26679A","CinematicNode_Choice_5","Poproś Ligię o spłatę długu."
"5290458E40DA8BEB0C1AC9B5D7EC6F6F","CinematicNode_Choice_5","Powiedz, że nie masz pieniędzy."
"4534FB994FB003A255A665BF9F0B8F26","CinematicNode_Choice_5","Przyznaj, że nie pamiętasz."
"1D421B4445CC2E5FCAAD48A9205D6858","CinematicNode_Response_12","..."
"FB17100144D8E16FA8BC779EC05A0DF5","CinematicNode_Response_12","No dzień dobry, śpiąca królewno."
"E5F51D104CB72366371A8A949E0AE867","CinematicNode_Response_12","Głowa mi zaraz wybuchnie... Co my, do cholery, robimy pod moim domem?"
"72D2375E40BB2892FAA0C08AB740D6E3","CinematicNode_Response_12","Wejście po schodach cię przerosło. Ale Wiktor, chuj z tym! Co to była za noc!"
"B4DED44A4464037C2EE22296FB9A90B1","CinematicNode_Response_12","Przyznaj to, jak się bawić, to z Niedzicem!"
"A2666E694E3D3A0FC38A598379BD8AD4","CinematicNode_Response_13","No przyznaję... Było całkiem, całkiem..."
"A0D8843343DFCA25B6FEA392D3957917","CinematicNode_Response_13","Całkiem-srałkiem! Spektakularnie było i obaj to wiemy!"
"EF6F7A254669E13D2EA65FBE2301DBF9","CinematicNode_Response_13","Lepiej się stąd zbierajmy. Jak Ligia nas tu znajdzie..."
"AC5AF95C413B4FF4A2A990A1591E61A9","CinematicNode_Response_14","Bywałem na lepszych rautach. "
"47E881024A7A8671D0F0A2BAFFF1A9FD","CinematicNode_Response_14","Wybaczam ci, bo jeszcze nie wytrzeźwiałeś widocznie. "
"019E88044C7A5EF47BF55E96F85ED25D","CinematicNode_Response_14","Jak Ligia mnie zobaczy w takim stanie..."
"05F315C9412DBB440647C38875498C0F","CinematicNode_Response_15","..."
"A1B20D9C474649F4B75E92A251174DAB","CinematicNode_Response_15","<i>Ligio, i cożeś winna, że twe oczęta palą żywym żarem, że usteczka tak miłe? Zbyt ufnaś w mą...</>"
"858A25B74807C7CB55AD08921F60B95F","CinematicNode_Response_15","<i>...cnotę.</>"
"D93FB0F942ED6803C2D447AC23A9B93E","CinematicNode_Response_15","Widzę, że dbasz o nasze dobre imię, bracie. "
"C78CAF854D7D871D58E7A2891275CB2A","CinematicNode_Response_16","Do usług, siostro. Dobre imię naszej rodziny leży mi na sercu. Odłogiem. "
"DCC0B82A41BF64D67C4B93AA95A1245A","CinematicNode_Response_16","Udam, że to twoja obecna niedyspozycja wkłada ci te słowa w usta. "
"43D009E34C065F07A3351C8526EBBD16","CinematicNode_Response_16","Ligio złota! Nie słuchaj tego idioty. To alkohol przemawia, nie on! "
"9C6D54CD4C1805631C3358A9A54FF199","CinematicNode_Response_17","Wybacz mi, to się już nie powtórzy. "
"376DB69643EB8E1A3DAC4F97E37A8A8F","CinematicNode_Response_17","Nie powtórzy. Już moja w tym głowa!"
"C0697035496241A964EBAA9FFA5660EC","CinematicNode_Response_17","Zapewniam cię, kochana siostrzyczko. Następnym razem doczołgam się do drzwi. "
"F32F3DC4423418671DB4688A6446F2C5","CinematicNode_Response_18","Właściwie... to wszystko jego wina."
"4DAEE8E9448D8CA310406E846726A7ED","CinematicNode_Response_18","Co?! Moja wina, że cię trzy schodki pokonały?!"
"28E9E7AC4F0E56CECB33B48F875D2DA5","CinematicNode_Response_18","Lałeś we mnie alkohol. Ja się broniłem bohatersko, lecz... niestety... Poległem."
"F98B4CED48D132FD1AE71586D52C3F0F","CinematicNode_Response_18","Ligio złota! Walczył dzielnie, lecz zwyczajnie nie sposób mi się oprzeć!"
"1B395CD94DB6BBC2A69FDDB7C293FCB3","CinematicNode_Response_18","Obaj jesteście skończonymi idiotami. "
"DDA7F00540FEB0A0C65A84A54D36B4FD","CinematicNode_Response_19","Trafisz stąd sam do domu, czy ci pomóc?"
"868E96094446241B6E8292876265AE02","CinematicNode_Response_19","Ale, ale... te pięć rubelków, pamiętasz? "
"F7242BB14FDE04AFBFBDB6842E74E6B4","CinematicNode_Response_20","Trochę to niezręczne, ale..."
"CDAFAAE94085577B7173CDA1A984EF28","CinematicNode_Response_20","No, powiedz to. Pełnym zdaniem."
"15232A2B4AB6FF829435EAB983DBE997","CinematicNode_Response_20","Kochana siostrzyczko, czy mogłabyś oddać, w moim imieniu, pieniądze Abaurycemu?"
"84A8958C477A396600F7278F896A13D2","CinematicNode_Response_21","Skoro pożyczałem, to właśnie dlatego, że nie mam."
"05399E304AFC2FD95EC51DB31549807E","CinematicNode_Response_21","To idź się rozglądnij po domu. Jakiś złoty zegarek Satanisława się nada, jemu to już wszystko jedno. "
"2723847A4832FA97A045198BD1C82D08","CinematicNode_Response_21","Satanisława?!"
"164C2B724F6F4651E8DFAB87798C9BAE","CinematicNode_Response_22","Pięć?! Za jakie cholerstwo jestem ci tyle winien?"
"28F00CAA49AD9602BE7440B53ACFD3A3","CinematicNode_Response_22","No mój drogi, przy damie nie wypada mówić, za co. "
"68D7D6CF456A8BEB212BB3B6EB57A3F4","CinematicNode_Response_22","Warszawskie prostytutki nie są takie drogie. Daliście się zrobić."
"B550F72E4342BDC50F41BFB66C8D026F","CinematicNode_Response_22","Wiktor, twoja siostra z każdym słowem imponuje mi coraz bardziej! "
"A8F73E234D7A4FB6175552AF71BD29AC","CinematicNode_Response_22","Tak czy siak... Nie chciałbym mieć w tobie dłużnika."
"D1E4E6A84469B2F4CE5CF391F5148B04","CinematicNode_Response_23","Masz. Od teraz będziesz mógł balować za własne. Może i telegramy zaczniesz wysyłać na swój koszt. "
"2957D6F84A50DB356E8B0183E6EB21CE","CinematicNode_Response_23","A teraz wybaczcie, ja mam co robić w życiu. Jak się już doczołgasz do domu, bracie, to chciałabym z tobą pomówić."
"F7DF2EF04C2AF2EC2199088A18A8CD7F","CinematicNode_Response_23","Dobra, nie wypisuj tego teraz. Będzie okazja, żeby się spotkać. Następnym razem ty stawiasz! "
"B626630546DD68B8B8BF5297B09D7661","CinematicNode_Response_23","Następnym...?"
"A53E074F49ECC28B9A9C9587D8435402","CinematicNode_Response_23","No chyba nie myślisz, że już z tobą skończyłem?! Jedna taka noc to za mało na <dl>sztymunek</>!"
"1284ABB047D7410F942690BB0FFC5340","CinematicNode_Response_23","<i>Nie wiem, co też ludzie sobie upatrzyli, wielka im dziwota, żeśmy troszkę się napili...</>"
