"Hash","NodeName","PL"
"EE31929C487B274CFDD27796F8A5B5C5","vset_paperboy_m_01","Tu wasz <dl>ef-ef majdaniarz</>! Gazetki!"
"91383EB546E156A12378A5A3FAC48818","vset_paperboy_m_01","Kurjer Warszawski, Kurjer Codzienny!"
"AE5B68A4468AE4B8775C24B9ECD22BAA","vset_paperboy_m_01","Gazetki! Nie <dl>pietrać się</>! Brać, póki są!"
"2D63CEE84A3B1442F80293B065BEDD77","vset_paperboy_m_01","Mężu, mężu, nie bądź głupi! Niech ci żona Kurjer kupi!"
"2D9CD3264FE3823AC39123B036612564","vset_paperboy_m_01","Od czytania <dl>mańka</> zdrowsza! Gazety!"
"88B6809E4CBEB9FB57134F94636DF34E","vset_paperboy_m_01","<dl>Wyrychtowane</> wydanie! Jeszcze ciepłe!"
"CE3C496F49956DDCC14C3A820EAA89CB","vset_paperboy_m_01","Dobry dzień, Warszawo! ""Kurjer"", Warszawo!"
"E8B09C6A4DAB22CE2B4C268DDCEEFD4B","vset_paperboy_m_01","Wieści świeże, że jeszcze się tuszem można uwalać!"
"EEC166AB470DF8E4E4AF41A424D7E080","vset_paperboy_m_01","Gazetka ilustrowana, dla chłopa i pana!"
"F75C63724CF817A7A8B5688253D8108B","vset_paperboy_m_01","""Kurjer"" z rana, dla żony i pana!"
"5834C8C740BB6595FB72C7BA03988EE6","vset_paperboy_m_01","Dzisiaj poczytasz, jutro do butów papieru nawtykasz!"
"20CD50B24B312727743796B12F0CFCE0","vset_paperboy_m_01","Wieści, wieści, dla <dl>zielonej Warszawy,</> jak się w wielkim mieście odnaleźć!"
"E7A2F5AB467A0FDAB4D84397A3E8F84E","vset_paperboy_m_01","Ekstra, ekstra! Poczytajcie, poczytajcie!"
"648DD3D7483D4871248623ACC3FDAC91","vset_paperboy_m_01","<dl>Zygar</> nie kłamie, czas na nowe wydanie!"
"753E2A5A4F3280C63194F7906799FF44","vset_paperboy_m_01","<dl>Zygar</> tyka, gazeta znika!"
"DEA0FE09400B35D2610EDC8F8AEBFFDF","vset_paperboy_m_01","Weź pan, w robocie se pan poczytasz!"
"097CEA094DA0A304249518BB2A2FEBA0","vset_paperboy_m_01","Co tak <dl>dyrdać</> bez celu, kiedy można usiąść, poczytać?"
"524A2409467963AD220D80B8DBF455DC","vset_paperboy_m_01","Która gazetka, która? Dla <dl>dzwońca</> i dla króla!"
